기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량
클레온,경력 2~10년,회사내규에 따름,서울 중구 소월로2길 30 티타워 18층 클레온,딥러닝,"Deep Learning Researcher AI 딥러닝 연구원, CV 연구원 (Computer Vision, 병역특례 전문연구원 가능)","['DeepLearningTensorFlowPyTorch', '• 딥러닝 네트워크 고도화\n\u3000- CV : Computer Vision\n\u3000- Generative Model (Super Resolution, Latent Search, 3D Modeling, Facial Animation Generation, Body Generation, Stable Diffusion, etc)\n\u3000- Discriminative Model (Face Detection, Face Segmentation, Landmark Detection, etc)\n\n• 이 외 신기술 개발\n\u3000- Multimodal Model (CLIP, Lip Sync Generation, etc)\n\u3000- Meta Learning (Few-shot Learning, Continual Learning, etc)', '• 딥러닝 경력 2년 이상 (석사 이상 경력 인정)\n• PyTorch, Tensorflow 사용 경험', '• 딥러닝 혹은 유사 분야 논문 작성 경험\n• 논문 해석 및 Oral Presentation 이해 가능한 수준의 영어 실력\n• 새로운 연구에 대해 적극적이고 주도적인 분\n• Product/Data Centric AI를 경험해보신 분\n• 최신 기술 트렌드를 빨리 캐치하고 적용할 수 있는 분']"
에프에스솔루션,경력 10~15년,회사내규에 따름,경기 성남시 수정구 금토로80번길 11,딥러닝,컴퓨터 비전 딥러닝/머신러닝 개발자(ADAS/DMS/영상인식) (팀장급),"['OpenCVC++MachineLearningDeepLearningTensorFlowPythonEmbeddedDockerPyTorchC', '• 딥러닝/머신러닝 모델 개발\n  - Classification(분류) / Object Detection(객체 검출)\n  - 데이터 셋 설계 및 구축 / 데이터 셋 통합 / Semi-Supervised Learning\n  - Image Augmentation / Auto-Labeling\n  - 딥러닝 모델 개발 및 경량화\n• ADAS / DMS 개발\n  - ADAS : LDW / FCW / RCW / HMW / FVSA / MOD / FVSA / TSR / BSD / LPR 등\n  - DMS(Driver  Monitoring Systems) : 운전자 신원인식 / 표정 / 시선 / 행위인식 등\n• CCTV Surveillance\n  - 지능형 CCTV 솔루션 : 침입 / 배회 / 유기 / 폭행 / 화재 / 쓰러짐 / 신원인식\n  - 보행자 / 차량(차종/색상) / 번호판 인식/ 얼굴인식 / 인상착의(인종, 성별, 연령, 상하의, 신장)\n• Embedded System\n  - 딥러닝 모델 변환 및 경량화(Quantization / Pruning)\n  - PC 기반에서 개발된 영상 인식 알고리즘 및 딥러닝 모델을 Embedded(CPU, NPU) 환경에 포팅 및 최적화\n  - Embedded System 환경에서 이미지 처리 및 노이즈 제거 등의 영상 인식 Algorithm 개발 및 포팅', '• 학력 : 학사 이상 (석/박사 우대)\n• 나이/성별 : 무관\n• 경력 : 10년 이상\n• 전공 : 영상처리 관련 전공자\n• 필수 : \n  - Computer Vision 이론적 배경 및 지식\n  - 영상처리 / 딥러닝 관련 실무 경험\n  - Python / C / C++ / OpenCV 개발 경험\n  - 카메라 / 스트리밍 영상 / 녹화 영상처리 경험', '• SW공학, 수학, 통계학, 전자공학, 컴퓨터공학, 시스템공학, 기계공학 등 그에 준하는 업무 능력 보유\n• 영상처리 / 딥러닝 관련 전공자\n• 동종업계 근무자 우대 (ADAS, DMS, CCTV Surveillance, Embedded)\n• 탑티어 저널(CVPR, ICCV, ECCV, NeurlPS, ICML, ICLR, etc.) 논문 등재 및 특허 출원/등록 경험\n• 최신 기술 동향 파악 및 SOTA 알고리즘 적용 경험\n• Computer Vision 이론적 배경 지식 보유(전처리, 특징 추출,  머신비전 등)\n• Tensorflow / PyTorch / TensorRT / Onnx / OpenVINO / OpencvDNN 등 딥러닝 프레임워크 사용 경험\n• Docker / Conda / RTSP / FFmpeg / Cross compile / GUI 개발 경험\n• AI Embedded System 경험\n• Face Recognition, RCNN, SSD, Yolo 등 모델 학습 및 문제 해결 경험 \n• 주어진 문제를 해결하기 위해 다양한 기술적 방법을 연구하는 적극적인 자세를 가지신 분\n• 영어 가능자']"
에프에스솔루션,경력 3~9년,회사내규에 따름,경기 성남시 수정구 금토로80번길 11,딥러닝,컴퓨터 비전 딥러닝/머신러닝 개발자(ADAS/DMS/영상인식) (3년이상),"['OpenCVC++MachineLearningDeepLearningTensorFlowPythonEmbeddedDockerPyTorchC', '• 딥러닝/머신러닝 모델 개발\n  - Classification(분류) / Object Detection(객체 검출)\n  - 데이터 셋 설계 및 구축 / 데이터 셋 통합 / Semi-Supervised Learning\n  - Image Augmentation / Auto-Labeling\n  - 딥러닝 모델 개발 및 경량화\n• ADAS / DMS 개발\n  - ADAS : LDW / FCW / RCW / HMW / FVSA / MOD / FVSA / TSR / BSD / LPR 등\n  - DMS(Driver  Monitoring Systems) : 운전자 신원인식 / 표정 / 시선 / 행위인식 등\n• CCTV Surveillance\n  - 지능형 CCTV 솔루션 : 침입 / 배회 / 유기 / 폭행 / 화재 / 쓰러짐 / 신원인식\n  - 보행자 / 차량(차종/색상) / 번호판 인식/ 얼굴인식 / 인상착의(인종, 성별, 연령, 상하의, 신장)\n• Embedded System\n  - 딥러닝 모델 변환 및 경량화(Quantization / Pruning)\n  - PC 기반에서 개발된 영상 인식 알고리즘 및 딥러닝 모델을 Embedded(CPU, NPU) 환경에 포팅 및 최적화\n  - Embedded System 환경에서 이미지 처리 및 노이즈 제거 등의 영상 인식 Algorithm 개발 및 포팅', '• 학력 : 학사 이상 (석/박사 우대)\n• 나이/성별 : 무관\n• 경력 : 3년 이상\n• 전공 : 영상처리 관련 전공자\n• 필수 : \n  - Computer Vision 이론적 배경 및 지식\n  - 영상처리 / 딥러닝 관련 실무 경험\n  - Python / C / C++ / OpenCV 개발 경험\n  - 카메라 / 스트리밍 영상 / 녹화 영상처리 경험', '• SW공학, 수학, 통계학, 전자공학, 컴퓨터공학, 시스템공학, 기계공학 등 그에 준하는 업무 능력 보유\n• 영상처리 / 딥러닝 관련 전공자\n• 동종업계 근무자 우대 (ADAS, DMS, CCTV Surveillance, Embedded)\n• 탑티어 저널(CVPR, ICCV, ECCV, NeurlPS, ICML, ICLR, etc.) 논문 등재 및 특허 출원/등록 경험\n• 최신 기술 동향 파악 및 SOTA 알고리즘 적용 경험\n• Computer Vision 이론적 배경 지식 보유(전처리, 특징 추출,  머신비전 등)\n• Tensorflow / PyTorch / TensorRT / Onnx / OpenVINO / OpencvDNN 등 딥러닝 프레임워크 사용 경험\n• Docker / Conda / RTSP / FFmpeg / Cross compile / GUI 개발 경험\n• AI Embedded System 경험\n• Face Recognition, RCNN, SSD, Yolo 등 모델 학습 및 문제 해결 경험 \n• 주어진 문제를 해결하기 위해 다양한 기술적 방법을 연구하는 적극적인 자세를 가지신 분\n• 영어 가능자']"
에프에스솔루션,경력신입,회사내규에 따름,경기 성남시 수정구 금토로80번길 11,딥러닝,컴퓨터 비전 딥러닝/머신러닝 개발자(ADAS/DMS/영상인식) (신입),"['OpenCVC++MachineLearningDeepLearningTensorFlowPythonEmbeddedDockerPyTorchC', '• 딥러닝/머신러닝 모델 개발\n  - Classification(분류) / Object Detection(객체 검출)\n  - 데이터 셋 설계 및 구축 / 데이터 셋 통합 / Semi-Supervised Learning\n  - Image Augmentation / Auto-Labeling\n  - 딥러닝 모델 개발 및 경량화\n• ADAS / DMS 개발\n  - ADAS : LDW / FCW / RCW / HMW / FVSA / MOD / FVSA / TSR / BSD / LPR 등\n  - DMS(Driver  Monitoring Systems) : 운전자 신원인식 / 표정 / 시선 / 행위인식 등\n• CCTV Surveillance\n  - 지능형 CCTV 솔루션 : 침입 / 배회 / 유기 / 폭행 / 화재 / 쓰러짐 / 신원인식\n  - 보행자 / 차량(차종/색상) / 번호판 인식/ 얼굴인식 / 인상착의(인종, 성별, 연령, 상하의, 신장)\n• Embedded System\n  - 딥러닝 모델 변환 및 경량화(Quantization / Pruning)\n  - PC 기반에서 개발된 영상 인식 알고리즘 및 딥러닝 모델을 Embedded(CPU, NPU) 환경에 포팅 및 최적화\n  - Embedded System 환경에서 이미지 처리 및 노이즈 제거 등의 영상 인식 Algorithm 개발 및 포팅', '• 학력 : 학사 이상 (석/박사 우대)\n• 나이/성별 : 무관\n• 경력 : 신입\n• 전공 : 영상처리 관련 전공자\n• 필수 : \n  - Computer Vision 이론적 배경 및 지식\n  - 영상처리 / 딥러닝 관련 실무 경험\n  - Python / C / C++ / OpenCV 개발 경험\n  - 자료구조/알고리즘 C언어 개발 경험\n  - 카메라 / 스트리밍 영상 / 녹화 영상처리 경험', '• SW공학, 수학, 통계학, 전자공학, 컴퓨터공학, 시스템공학, 기계공학 등 그에 준하는 업무 능력 보유\n• 영상처리 / 딥러닝 관련 전공자\n• 탑티어 저널(CVPR, ICCV, ECCV, NeurlPS, ICML, ICLR, etc.) 논문 등재 및 특허 출원/등록 경험\n• 최신 기술 동향 파악 및 SOTA 알고리즘 적용 경험\n• Computer Vision 이론적 배경 지식 보유(전처리, 특징 추출,  머신비전 등)\n• Tensorflow / PyTorch / TensorRT / Onnx / OpenVINO / OpencvDNN 등 딥러닝 프레임워크 사용 경험\n• Docker / Conda / RTSP / FFmpeg / Cross compile / GUI 개발 경험\n• AI Embedded System 경험\n• Face Recognition, RCNN, SSD, Yolo 등 모델 학습 및 문제 해결 경험 \n• 주어진 문제를 해결하기 위해 다양한 기술적 방법을 연구하는 적극적인 자세를 가지신 분\n• 영어 가능자']"
슈어소프트테크,경력 3~15년,회사내규에 따름,경기 성남시 수정구 금토로80번길 37 인피니티타워 E동,딥러닝,[AI기술팀] 머신러닝/딥러닝 개발자,"['AI/인공지능C++MachineLearningDeepLearningNLPTensorFlowPythonPyTorchC', '• 머신러닝/딥러닝 관련 개발\n• 머신러닝/딥러닝 서비스 운영 시스템 설계 및 구현', '• 관련 분야 3년 이상 경력자\n• C/C++/Python 숙련자\n• Tensorflow/Pytorch 숙련자\n• 머신러닝/딥러닝 이론에 대한 숙련된 이해도', '• 딥러닝 프레임워크 저수준 활용 및 디버깅 경험\n• NLP 모델 개발 및 튜닝 경험\n• 딥러닝 모델 경량화 경험\n• 딥러닝 적대적 샘플 생성 등 모델 검증 방법론에 대한 연구 및 고민 경험']"
수퍼빈,경력 5~10년,회사내규에 따름,경기 성남시 황새울로 216 502-2호(휴맥스빌리지 5F),딥러닝,AI 및 딥러닝 개발 엔지니어,"['AI/인공지능MachineLearningDeepLearning', '• 딥러닝 기반 선별 알고리즘 연구 개발\n• 딥러닝 연구 개발 지원\n• 팀 자원관리 및 성과관리\n• 정부과제 관리 및 제반 문서 작성', '• 유관 경력 5년 이상\n• 상용화(가능) 서비스 및 제품에 탑재된 딥러닝 알고리즘 개발 경험\n• 외주 개발업체 / 데이터가공 공급업체 관리 경험\n• 개발 포트폴리오 제출', '• 컴퓨터비전 / 머신러닝 / 딥러닝 관련 Top-tier 학회 및 학술지 게재 경험\n• 딥러닝 알고리즘 관련 석사 학위 이상 수여자\n• 정부과제 책임자 수행 경험']"
블루닷,경력신입~3년,회사내규에 따름,"서울 강남구 언주로 527, 4층",딥러닝,[신입] 딥러닝 알고리즘 엔지니어,"['tensorflowdeeplearningnetworkai/인공지능pytorch', '• 딥러닝 기반 영상처리 알고리즘 개발\n   : AI 논문 서치 및 리뷰를 통한 구현 및 학습\n• 실시간 영상처리 제품을 위한 네트워크 최적화\n   : 뉴럴 네트워크 경량화 및 최적화(화질, 사용자원, 속도 tradeoff) 작업 수행', '• 컴퓨터비전/머신러닝/딥러닝 지식 보유 및 관련 프로젝트 수행 경험자\n• 영상처리 관련 프로젝트 수행 경험자(Super resolution, Denoising, Deblurring, Color adjustment 등)\n• 딥러닝 프레임워크 (e.g. Pytorch, Tensorflow 등) 개발 가능\n\n자격요건 중에 한 두가지 부족하지만, 노력으로 충분히 캐치업할 수 있는 자신이 있다면 망설이지말고 지원해주세요!', '• Top Tier 컨퍼런스 및 저널 1저자 경험\n• 뉴럴 네트워크 경량화 및 최적화 경험 및 기술 보유\n• 상용화(가능) 서비스 및 제품에 탑재된 알고리즘 개발 경험\n• 병역특례']"
블루닷,경력 3~12년,회사내규에 따름,"서울 강남구 언주로 527, 4층",딥러닝,[경력] 딥러닝 알고리즘 엔지니어,"['tensorflowdeeplearningai/인공지능pytorch', '• 딥러닝 기반 영상처리 알고리즘 개발\n   : AI 논문 서치 및 리뷰를 통한 구현 및 학습\n• 실시간 영상처리 제품을 위한 네트워크 최적화\n   : 뉴럴 네트워크 경량화 및 최적화(화질, 사용자원, 속도 tradeoff) 작업 수행\n• 프로덕트 출시 후 개선작업 리딩', '• 3년 이상 (박사 신입급 가능)\n• 컴퓨터비전/머신러닝/딥러닝 지식 보유 및 관련 프로젝트 수행 경험자\n• 영상처리 관련 프로젝트 수행 경험자 (Super resolution, Denoising, Deblurring, Color adjustment 등)\n• 딥러닝 프레임워크 (e.g. Pytorch, Tensorflow 등) 개발 가능\n\n자격요건 중에 한 두가지 부족하지만, 노력으로 충분히 캐치업할 수 있는 자신이 있다면 망설이지말고 지원해주세요!', '• Top Tier 컨퍼런스 및 저널 1저자 경험\n• 뉴럴 네트워크 경량화 및 최적화 경험 및 기술 보유\n• 상용화(가능) 서비스 및 제품에 탑재된 알고리즘 개발 경험']"
에이모,경력 4~10년,회사내규에 따름,경기 성남시 분당구 벌말로50번길 41 투아이센터 7층,딥러닝,[AIMMO] Data-centric 기반 딥러닝  연구/개발(Data Scientist),"['MachineLearningDeepLearningTensorFlowPyTorch', '• 머신러닝/딥러닝을 활용한 자율주행 데이터셋 개발 및 개선\n• 자율주행 데이터로 학습한 모델 결과 분석 리포팅 & 성능 개선', '• 관련 분야 경력 4년 이상이신 분 \n• Computer vision, Image/Video processing 이론에 대한 전반적인 이해가 있으신 분 \n• 딥러닝 프레임워크(Tensorflow, PyTorch 등)를 활용한 모델 개발 및 배포 경험이 있으신 분 \n• 대용량 데이터를 분석 및 시각화해본 경험이 있으신 분 \n• 해외 출장에 결격 사유가 없는 분 \n• 팀원들과 적극적으로 소통할 수 있는 분, 주도적으로 업무를 이끌어가시는 분', '• 관련 분야 석사/박사 학위 소지하신 분 (인공지능, 컴퓨터공학, 통계, 데이터분석 등) \n• Data-centric AI에 대한 이해도가 높고 관련 개발경험이 있으신 분 \n• 자율주행 데이터셋 생성/활용 경험이 있으신 분 (이미지, 라이다, 레이더 등등, 2D, 3D 데이터셋 경험) \n• Linux 기반 개발 경험이 있으신 분\n']"
모빌린트,경력신입~20년,회사내규에 따름,"서울 강남구 테헤란로19길 5, 7층",딥러닝,[전문연구요원 가능] Deep Learning Research Engineer,"['C++DeepLearningTensorFlowPythonPyTorchC', '• Task, Dataset, Size, NPU 별 최적화된 딥러닝 모델 연구 및 설계\n• Quantization, Pruning 등 딥러닝 모델 경량화 연구 및 적용\n• Computer vision 최신 연구 동향 분석\n• 각종 최신 딥러닝 알고리즘 연구\n• 고객사 데이터 분석 및 딥러닝 모델 학습\n• 딥러닝 모델 학습 관련 툴 개발', '• 딥러닝 프레임워크(PyTorch, TensorFlow 등) 활용 능력\n• 프로그래밍 언어(Python, C/C++ 등) 활용 능력\n• 딥러닝 모델 개발 관련 전체 프로세스 경험\n• 최종 성적증명서 제출 필수', '• 딥러닝 모델 학습 개발 경험 및 논문 실적\n• 컴퓨터비전 딥러닝 모델 학습과 관련된 높은 이해도\n• NPU에 대한 이해도\n• 딥러닝 핵심 연산들에 대한 정확한 이해']"
