기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량
니어스랩,경력 2~10년,회사내규에 따름,"서울 강남구 논현로 417, 4,5층 4,5층",드론,웹 프론트엔드 엔지니어,"['JavaScriptTypeScriptReactReact Hook FormNext.js', '• 드론으로 획득한 데이터를 관리하고 가공하는 B2B 웹 서비스 Front-end 개발', '• 2년 이상의 업계 경험\n• 웹 기술에 대한 깊은 이해\n• 웹 어플리케이션 성능 최적화 경험\n• TypeScript 및 Next.js 경험\n• React와 React Hook 동작 원리에 대한 깊은 이해', '• Tech Lead로서 개발팀을 이끌어 본 경험\n• 디자인 시스템 구축해본 경험\n• B2B 웹 서비스 런칭 경험\n• 기획자/디자이너와의 협업 능력\n• Javascript 관련 open source 기여\n• Test 및 CI/CD 구축 및 운영\n• 새로운 것에 관심을 갖고 팀원들과 공유하는 것을 즐기시는 분\n• 기술 전파, 코드 리뷰 등을 통해서 같이 성장을 하는 것을 좋아하시는 분']"
니어스랩,경력 3~10년,회사내규에 따름,"서울 강남구 논현로 417, 4,5층 4,5층",드론,임베디드 시스템 프로그래머,"['C++ARMROSFWMCUEmbedded LinuxEmbeddedC', '• Arm 기반 Embedded Linux 개발\n- 시스템 구성에 필요한 부품 및 장치들을 선정, 라이브러리 화, 검증\n- 선정 업무: 요구 사항 분석, 장치 사양 수집, 비교 분석, 동작 확인, 성능 비교 실험\n- 라이브러리화: 라이브러리 제작, 테스트 프로그램, 디바이스 드라이버 (Linux, ROS node)\n- 검증: 기능 검증 시험, 사양 확인 시험, 운용 환경 시험, 공인 시험 성적서 취득. 검증 시험을 위한 프로그램 작성 포함\n\n• Embedded Linux Device Driver 및 Application 개발\n- 장치 동작에 필요한 Device Driver 구현\n- 장치 동작 검증을 위한 Application 구현\n- 장치 간 사진, 동영상, 텍스트 데이터를 주고 받기 위한 시스템 설계 및 구현\n- 통신 장치 선정: 요구 사항(대역폭 등) 분석, 장치 사양 수집, 비교 분석, 동작 확인, 성능 비교 시험\n\n• MCU Firmware 개발\n- 센서 데이터 취득과 서비스 운영을 위한  Firmware code 작성\n- PX4 porting\n\n• ROS, MAVLink 등의 시스템 구축\n- ROS Porting \n- Mavlink 등의 메시징 시스템 구축\n\n• 통신 모듈 테스트 및 통신 시스템 구축\n- 각종 통신 모듈의 테스트 및 통신 시스템 구축', '• C/C++ programming 이 가능해야 합니다.\n• 3년 이상의 임베디드 관련 업무 경력 혹은 학위 소지가 필요합니다.\n• Arm 계열 CPU에 대한 이해 및 임베디드 시스템에 대한 이해가 있어야 합니다.\n• BUS, IO 등에 대한 이해 및 드라이버 구현이 가능 해야 합니다. ', '• Camera interface, framework 개발 경험 - MIPI, CSI, GMSL, Gstreamer\n• Qualcomm , Nvidia soc 개발 경험\n• ROS, MAVLink 등의 robotics 개발 경험\n• 전자 회로, 디지털 신호 처리, 제어 시스템, 역학 등 하드웨어 및 제어 관련 지식과 경험을 우대 합니다.\n• 다양한 플랫폼/장치에서의 소프트웨어 개발 경험을 우대 합니다.\n• 글을 통해 실험 결과를 정리하고 결론을 도출해본 경험과 역량을 우대 합니다. (논문, 불량 분석 보고서, 검증 보고서 등).']"
에너자이,경력신입~10년,회사내규에 따름,서울 강남구 테헤란로27길 27,드론,[전문연구요원 가능] ML Engineer/Researcher 채용,"['AI/인공지능MachineLearningDeepLearningTensorFlowPythonPyTorchKeras', '•  Computer Vision 알고리즘 개발\n\u3000- 다양한 형태의 데이터 처리 (Radar, Smartphone Image, CCTV Image, Industrial Image 등)\n\u3000- Vision 관련 task 수행 (super resolution, detection, inpainting, low lighting 등)\n• 딥러닝 모델 경량화 알고리즘 개발\n\u3000- 주어진 Task 와 Constraint를 고려한 딥러닝 모델 설계 및 경량화 알고리즘 개발(Quantization, NAS 등)\n\u3000- Edge Device 탑재될 경량화된 모델 개발', '• 학부 4학년 이상\n• 해외 여행에 결격 사유가 없으신 분\n• Python을 활용한 프로젝트 수행 경험이 있으신 분\n• 딥러닝 프레임워크(Pytorch, Keras, Tensorflow 등) 을 활용한 프로젝트 수행 경험이 있으신 분\n• 병역특례 지원 가능\n\u3000- 산업기능요원 현역, 전문연구요원(전직, 보충역) 지원 가능하며 이력서에 별도 표기하여 제출 부탁드립니다.', '• 이미지 or 신호 처리, 딥러닝 모델 최적화 (network compression, NAS) 경험이 있으신 분\n• Image enhancement 계열 (super resolution, inpainting, low light imaging 등)의 task 경험이 있으신 분\n• 관련 학회 및 저널 게재 경력자\n• 관련 전공 석사, 박사 학위 보유 시 경력 인정']"
에너자이,경력신입~10년,회사내규에 따름,서울 강남구 테헤란로27길 27,드론,(전문연구요원 가능) AI 컴파일러 엔지니어 채용,"['C++HaskellDeepLearningF#TensorFlowScalaPyTorchC', '• Edge device targeted AI compiler 개발\n• 경량화 파이프라인 시스템 구축\n• Optimizing ML/vision algorithm on DSP/NPU/AP\n\u3000- Preprocessing procedure, deep learning kernel 및 각종 Vision 알고리즘을 DSP/NPU/AP 등에 최적화하여 지연 시간 및 사용 메모리를 최소화\n\u3000- Graph / Kernel level 최적화', '• 학부 4학년 이상\n• C/C++을 활용한 프로젝트 개발 경험이 있으신 분\n• (컴파일러 엔지니어) 함수형 언어 (Scala, Haskell, F# 등) 사용 경험이 있으신 분\n• (컴파일러 엔지니어) 딥러닝 프레임워크 (Pytorch, tensorflow 등) 사용 경험이 있으신 분\n• 병역특례 지원 가능\n\u3000- 산업기능요원 현역, 전문연구요원(전직, 보충역) 지원 가능하며 이력서에 별도 표기하여 제출 부탁드립니다.', '• 딥러닝 개념을 알고 동작 커널 개념을 알고 구현해보신 분\n• 딥러닝 프레임워크에서 operation 에 대한 지식을 갖추신 분\n• 컴퓨터 아키텍쳐 관련 지식이 풍부하신 분\n• Compiler 혹은 Interpreter 를 제작/연구해보신 경험이 있으신 분\n• 병렬 프로그래밍 경험이 있으신 분\n• 딥러닝 커널 최적화 관련 경험이 있으신 분\n• 딥러닝 모델 경량화 기법에 관한 지식이 있으신 분\n• 관련 학회 및 저널 게재 경력자\n• 관련 전공 석사, 박사 학위 보유 시 경력 인정']"
에너자이,경력 2~3년,회사내규에 따름,서울 강남구 테헤란로27길 27,드론,[전문연구요원 가능] AI CCTV 어플리케이션 개발자,"['AI/인공지능C++Embedded LinuxEmbeddedC', '• CCTV 카메라 파이프라인상에서 에너자이의 AI 모델이 원활하게 작동하도록 해요\n• 에너자이의 AI 모델을 AI SDK 를 활용하여 구동하고 분석해요\n• 화질 최적화 및 테스트에 필요한 camera control setting들을 CCTV SDK 를 활용하여 제어해요\n• AI와 camera control가 결합된 실시간 AI 영상처리 파이프라인을 개발해요\n• AI 알고리즘 엔지니어, 화질 최적화 엔지니어와 협업해요', '• 유관 업종 경력 2년 이상\n• CCTV, IP Camera 개발 및 Camera Control 경험이 있으신 분\n• C/C++ 개발 경험이 있으신 분\n• 새로운 SDK, Library 에 대한 습득 및 활용 능력을 갖추신 분\n• 병역특례 지원 가능\n\u3000- 산업기능요원 현역, 전문연구요원(전직, 보충역) 지원 가능하며 이력서에 별도 표기하여 제출 부탁드립니다.', '• 임베디드, 모바일의 AI 가속칩 활용(NPU, TPU, VPU) 경험이 있으신 분\n• linux kernel 관련 지식 및 경험이 있으신 분\n• v4l2, gstreamer 등의 카메라 인터페이스에 대한 전반적인 이해를 갖추신 분\n• linux kernel 관련 지식 및 경험이 있으신 분\n• Nvidia Jetson, Raspberry Pi 개발 경험이 있으신 분']"
에너자이,경력신입,회사내규에 따름,서울 강남구 테헤란로27길 27,드론,[전문연구요원 가능] Runtime 소프트웨어 엔지니어 채용,"['AI/인공지능C++MachineLearningPythonC', 'Proprietary AI compiler (Optima)의 runtime 개발\n• device communication interface 및 프로토콜 디자인/구현\n   - ssh, adb, tcp/ip, packet 통신, RPC 통신 등\n• parallel programming\n   - multithread programming\n   - GPU\n• 다양한 디바이스 지원을 위한 binding 제작\n   - vulkan, spir-V, XNNPack 등\n• 사용자 api 제작\n• 모델 실행 시 최적화 알고리즘 제작\n   - memory planning, execution scheduling 등\n• 라이브러리  압축 / 보안을 위한 암호화\n• web backend\n   - 내부 사용을 위한 분석 tool 제작\n   - Optima 데모 application 제작', '• C/C++, python을 활용한 프로젝트 개발 경험이 있으신 분\n• 동시성 프로그래밍 경험이 있으신 분\n• 다양한 device/OS (Android, iOS, linux, ARM64, x86_64 등)를 활용하고 코딩하는데 있어 거리낌이 없으신 분\n• 병역특례 지원 가능\n  - 산업기능요원 현역, 전문연구요원(전직, 보충역) 지원 가능하며 이력서에 별도 표기하여 제출 부탁드립니다.', '• Swift, Kotlin 개발 경험이 있으신 분\n• objdump 등을 이용하여 library 분석하고 debugging 경험이 많으신 분\n• web programming 경험이 있으신 분\n  - FaspAPI(Flask), Django, React 등\n• 빠르게 변화하는 IT/AI 스타트업에 대한 흥미가 있으신 분']"
새론에스엔아이,경력신입~7년,회사내규에 따름,대전 유성구 둔곡동 405-12,드론,펌웨어 개발자,"['C++FWMCUC', '• 모터, 카메라, 센서제어 및 통신관련 펌웨어 개발\n• MCU 관련 펌웨어 개발', '• C/C++ 사용 가능자\n• 대졸 이상', '• 관련 전공자, 석사 우대\n• MCU(STM32계열) 펌웨어 개발 가능자 우대\n• AVR, PIC, MCU 사용 경험자 우대\n• BLDC 모터제어 펌웨어 개발 경험자 우대']"
아이로,경력신입~4년,회사내규에 따름,경기도 광명시 덕안로104번길 17 광명 M클러스터 3층 310호,드론,전자회로 개발자 모집,"['OrcadHWPCBAnalog', '• 회로 설계 및 디버깅\n  1) 새로운 기능 구현을 위한 센서 조사 및 적용을 위한 datasheet 분석 후 이를 기반으로 회로 작성\n  2) 배터리 기반의 전력 관리 회로 작성\n  3) 회로의 발열 요소 분석 후 발열을 최소화 하는 회로 작성\n  4) 각 센서 및 장치들의 신호/전원 레벨에 따라 적합한 변한 회로 작성\n  5) 전력과 신호 전달 계통을 복합 케이블을 통해 전달하고 잡음을 최소화 할 수 있는 회로를 작성\n  6) 개발된 회로 빛 불량 회로에서 불량 요소를 분석\n\n• 드론 및 Mission Planner 운영\n  1) Ardupilot 기반의 펌웨어 분석 및 개조\n  2) Mission Planner를 사용한 드론 경로제어\n  3) Mission Planner를 사용해서 드론의 설정 및 튜닝\n  4) Mission Planner를 사용해서 드론 군무를 조작\n  5) 드론의 각 부품을 이해하고 필요한 모듈을 추가하거나 설정\n\n• 부품 수급 및 관리\n  1) 부품 재고 관리\n  2) 수급 상태에 따라 대체 부품 조사\n  3) 개발을 위한 샘플 회로 제작의 전반을 관리\n  4) 개발 완료 제품의 생산 이관 및 생산관리 지원', '• 위 주요 업무 내용 중 각 항목 별 2개 이상 가능한 지원자\n• 전공 : 전기공학, 전자공학 필수\n• 경력 : 신입 ~ 4년', '• 로봇 개발의 다수 경험을 가진 지원자\n• 자기 주도적 업무를 지향하는 지원자\n• 새로움에 도전하며, 조직문화를 함께 만들어 나갈 지원자\n• 끈기 있게 원인을 탐색하고 해결방안을 찾아내며 함께 성장해 나 지원자']"
칼만,경력신입,회사내규에 따름,경기 안양시 동안구 엘에스로 142 안양 skv1 센터 511호,드론,로봇 개발자,"['RustHWC++ROSMCUMATLABHTML5PythonEmbeddedC', '저희 팀과 함께 로봇을 개발하고자 하는 분들을 모십니다. \n주요 업무는 하기 5가지 중에서 선택하실 수 있습니다. \n\n• Mechanical Engineer : 로봇 하드웨어 설계\n- Gear/Leg/Arm/Actuator 설계 \n- Tool : Inventor, Fusion360, Solidworks, AutoCAD 등 CAD 관련 업무\n\n• Control Engineer : 로봇 제어기 설계 및 시뮬레이션\n- PID, Optimal Control, Reinforcement learning, Filter 설계\n- ROS를 사용한 로봇 구동\n- Simulation \n- C/C++, Python, MATLAB 등 프로그래밍 \n\n• Software Engineer : 로봇 응용 프로그램 / 서비스 개발\n- 영상처리, Deep-learning\n- 다중 카메라 데이터 취득 및 처리\n- QT, HTML\n- C/C++, Python, Java, Rust 등 프로그래밍 \n\n• Embedded Engineer : 로봇 컴포넌트 개발\n- STM32, Arduino, DSP 등의 MCU를 사용한 제품 설계 \n- Circuit Design/Artwork  \n- C/C++, Python 등 프로그래밍\n\n• Robot Operator : 로봇 설치/조종/서비스 (경험자 우대)\n- 로봇 혹은 RC 조종 유-경험자\n- 드론, 모바일, 수중 드론 등\n- 고객 의견 반영,  로봇 사용성 개선', '• 4년제 대학(공학계열) 졸업 이상\n• 포트폴리오 ', '• 고성능 엑추에이터 설계 분야 경험\n• 로봇 관련 서비스 제작 경험\n• 로봇 제작 경험\n• 로보틱스 관련 연구실 졸업자\n• 위 내용들 보다는 [고성능 로봇 개발]에 관심을 갖고 있다면 저희 회사에 필요한 분입니다.']"
아르고스다인,경력신입~15년,회사내규에 따름,"경기 용인시 기흥구 기흥로 58-1, 제에이동 1306호, 1311호",드론,로봇 자율 이동 모듈 개발자,"['C++FWSWEmbedded LinuxEmbeddedC#C', '• 드론 자율 이동 모듈 개발\n• 임베디드 리눅스 기반 펌웨어 개발', '• C# 또는 C++을 활용하여 SW 개발이 가능한 자\n• Windows Application 개발 경험 우대\n• 임베디드, 펌웨어 환경에 대한 이해', '• ROS, 리눅스 기반 프로젝트 경험 우대\n• on-device AI 처리 가능자 우대']"
