기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량
엔젤로보틱스,경력 8~15년,회사내규에 따름,"서울 성동구 성수이로22길 37, 6층",로봇제어,[엔젤로보틱스] 로봇 제어 엔지니어,"['HWC++FWSWEmbeddedC', '• 모터드라이버를 이용한 로봇제어\n• 로봇제어를 위한 시스템 SW 구조설계\n• 로봇제어 관련 시스템 컨트롤 (임베디드 시스템 FW or 디바이스 드라이버와는 다른 영역)\n• 양산에 맞는 제품 최적화\n• 양산을 위한 각종 시험프로그램 설계', '• 임베디드 시스템을 이용한 제품개발 경험(경력) 또는 전공(석사이상/병특)하신 분\n• C 언어로 개발 가능하신 분\n• 로봇 기구학/동역학에 대한 이해가 있으신분\n• 새로운 분야에 능동적인 호기심으로 업무 가능하신 분', '• BLDC 제어이론 및 실무경험 보유하신 분\n• 로봇 제어 및 시스템 SW 개발 경험이 있으신 분\n• 로봇 시스템의 동역학 및 운동학 해석이 가능하신 분\n• 로봇 양산 경력 보유하신 분']"
비전세미콘,경력신입~10년,회사내규에 따름,세종특별자치시 집현중앙4로 79 (집현동),로봇제어,자동화 시스템 및 로봇제어 소프트웨어 개발,"['C++SW', '• 자동화 시스템 및 로봇 제어 연구 및 개발', '• 소프트웨어 개발 가능자\n• 컴퓨터 공학, 로봇공학 등 관련 전공자\n• C++ 가능자', '• 자동화 시스템 또는 로봇관련 소프트웨어 개발 경험자\n• OA 능력 우수자']"
지에스티,경력 3~10년,회사내규에 따름,경기 부천시 석천로 397 103동 1109호,로봇제어,백엔드 개발,"['GitMySQLC++AWSMSSQLPHPC#JSONGitHub', '• 미디어이즈 ( 콘텐츠관리 , 통합관제 ) \n• 패스봇 ( 무인출입관리 로봇 키오스크 )\n• 웹/앱 서비스를 만드는 데 필요한 백엔드 시스템의 디자인과 개발을 담당\n• 플랫폼화를 위한 API 개발', '• C++, C# 3년 이상 \n• Modbus 통신 프로그램 (RS-232, PLC)\n• RDBMS 개발 경험을 보유하신 분 (MS-SQL, MY-SQL)\n• json , RESTfull API 설계 \n• PHP 언어를 활용한 개발 경력이 3년 이상', '• 디지털사이니지 개발 경험 (콘텐츠 관리 솔루션, IOT 데이터 취합 및 데쉬보드 자동화 구성)\n• 출입관리 개발 경험 (출입통제 시스템 연동 및 통합관제 구성) \n• 로봇제어 개발 경험 (직교로봇 제어 및 연동 개발)\n• 모바일 출입관리 , DID 출입관리\n• AWS 지식 및 경험이 있는 분\n• 논리적이고 원활한 커뮤니케이션 능력으로 다양한 분야의 사람과 협업이 가능한 분\n• Git/Gitlab 활용이 가능한 분']"
한화로보틱스,경력 3~10년,회사내규에 따름,"경기 성남시 분당구 판교로 323 (삼평동,벤처포럼벤처타워) 5층",로봇제어,협동로봇 제어 SW 개발자 경력사원 모집,"['C++SWPythonShellEmbeddedC', '• C++ 기반 협동로봇 제어 S/W 및 API 개발\n• 산업용 통신 프로토콜 개발\n• 로봇 운영 및 이기종 장비 연동 개발', '• 프로그램 언어(C/C++, Python, Shell) 활용 능력 보유자\n• 산업용 프로토콜에 대한 이해와 개발, 운영 경험(Modbus, EtherCAT 등)', '• 임베디드 환경 개발 경험자\n• RTOS 및 Kernel 등 시스템 프로그램에 대한 이해\n• Modbus, EtherNet/IP 등 산업용 프로토콜 운영 및 개발 경험\n• 산업용 장비 개발 경험 및 다관절 로봇에 대한 이해\n• 로보틱스, 컴퓨터 관련 분야 석사 학위 보유자']"
유진로봇,경력 5~10년,회사내규에 따름,인천 연수구 하모니로187번길 33,로봇제어,청소로봇팀 제어엔지니어,"['C++EmbeddedC', '• 청소로봇의 주행 제어 및 센서 퓨전 알고리즘 개발\n• 청소로봇의 청소 로직 개발\n• 청소로봇의 UI 개발\n• 센서 퓨전 알고리즘 개발', '• 임베디드 시스템 환경 하, C/C++ 코드 구현\n• Mobile Platform 제어 혹은 SLAM 개발\n• Mobile platform 사용을 위한 UI 개발\n• 다수의 센서 퓨전을 통한 mobile platform 상태 추정\n', '• 시스템/컴퓨터/전자공학 전공자 우대 이동로봇 제어 및 개발 관련 경험자\n• Mobile platform을 사용, pioneering, coverage strategy 개발 경험자\n• Mobile platform을 사용, path planning/tracking 개발 경험자\n']"
알지에이아이엔씨(RGA Inc.),경력신입~20년,회사내규에 따름,서울 서초구 서초대로 396 7층,로봇제어,로보틱스 & 제어 엔지니어,"['HWC++LinuxROSSWMATLABEmbeddedCC#RTOS', '• 보행 로봇 제어 시스템 설계 및 SW 개발\n• RTOS 기반 로봇 제어 SW 개발\n• Embedded System 엔지니어링\n• 보행 로봇 Locomotion 개발 및 Field Test\n• 보행 로봇 HW 설계/제작/Field Test\n', '• 로보틱스/메카트로닉스/기계공학/전기전자공학 등 이 · 공 계열 학석사 이상 또는 그에 상응하는 경력의 소지자\n• Robot Control SW / Embedded SW /Device 통신/ Robot 설계 및 제어\n• Embedded System 핸들링 능력(Data Processing/CAN/SPI/LAN/GPIO)\n• RTOS 기반 메인 컨트롤 SW 개발 및 구현 능력(Multi-task 기반의 Motion Control)\n• MATLAB, C++, C#, 3D CAD, ROS 등을 활용한 Robot 개발 및 제품 구현 능력\n• 논문이나 기술관련 문서를 이해하고 이를 바탕으로 System 구현이 가능한 능력\n• Git을 통한 프로젝트 협업 능력\n• 구성원들과의 협업이 가능한 의사소통 능력과 이를 통한 기술적 문제 해결 능력\n\n( 자격요건과 업무 경험은 신입/경력에 따라 or 또는 and 조건이 될 수 있습니다.)', '• 로보틱스/메카트로닉스/기계공학/전기전자공학 등 이 · 공 계열 박사 이상 또는 5년 이상의 실무 경력\n• 로봇 제어/설계/ RTOS기반 제어 SW/Firmware/Device 통신/Locomotion(보행로봇) 및 Field Test 경험\n• 로봇에 대한 Control(position, velocity, impedance control)에 관한 이해와 구현 경험\n• 로봇 Kinematics/Robotics 및 구동 메커니즘에 대한 높은 이해\n• Vision/Lidar 등의 센서 퓨전을 활용한 환경인식 및 경로 생성\n• Slack, Confluence, JIRA 등 협업 툴 경험']"
한화로보틱스,경력 3~10년,회사내규에 따름,"경기 성남시 분당구 판교로 323 (삼평동,벤처포럼벤처타워) 5층",로봇제어,협동로봇 제어 HW 개발자 경력사원 모집,"['OrcadHWARMPCBAnalog', '• Analog & Digital 회로 설계\n• 전장 배선도, 레이아웃 설계\n• 자체 제작 PCB 및 상용 제어 모듈 성능 및 신뢰성 시험', '• 계측 및 시험 장비 활용 가능한 자\n• 전기/전자 회로 및 전장 개발 경험\n• Schematic Design(Cadence OrCAD), EMC Design/Test 등 가능한 자', '• 전력전자 또는 메카트로닉스 석사\n• 유무선 통신(UART, SPI, I2C, RS232/485, USB, Ethernet, CAN) 주변 회로 설계 및 문제점 검토 해석 경험\n• ARM core(ST, Infineon, Renesas등)및 TI 계열 코어(TMS320F 계열) 적용 개발 경험자\n• DC, BLDC, PMSM 모터 제어/Parameter tune 및 관련 회로에 대한 이해']"
알지티,경력 3~10년,회사내규에 따름,서울 금천구 디지털로10길 78 10층 1009호,로봇제어,모바일 로봇 제어 SW 개발자 채용,"['GitROSC++SWPython', '• 지도에서 효율적이고 안전한 global path planning 알고리즘 개발\n• 복잡하고 역동적인 환경에서 작동할 수 있는 local path planning 알고리즘 개발', '• 관련 경력 3년이상\n• 실내 Navigation 분야 상용화 제품 개발 경력자(저널 논문도 가능)\n• Global path algorithm 개발 경력자(A* 등등)\n• Local path planning 개발 경력자(DWA, RRT, 등등)\n• ROS, C++, python 개발 능통\n• 탁월한 의사 소통 및 대인 관계 기술을 바탕으로 팀 중심 환경에서 작업할 수 있는 능력\n• 비즈니스 회화 능력\n• Git 경험자', '• Navigation 관련 분야 석사 혹은 박사 학위 소유자\n• ISO13482 인증 경험자 우대\n• AMR or 자율주행로봇 (라인트레이서 제외)개발 경험자\n• ROS2 가능자\n• 열정적인 모습으로 팀원들에게 동기 부여를 줄 수 있는 분']"
알지티,경력 3~4년,회사내규에 따름,서울 금천구 디지털로10길 78 10층 1009호,로봇제어,다중 로봇 제어 SW 개발자,"['C++LinuxROSSWPythonC', '• 복잡하고 역동적인 환경에서 작동할 수 있는 다중 자율 주행 로봇 알고리즘을 설계 및 개발', '• 학력 : 대졸이상\n• 경력 : 경력3년↑\n• 실내 네비게이션 분야 상용화 제품 개발 경력자\n• 다중 로봇 네비게이션 알고리즘 개발 경력자\n• 다중 로봇 충돌 예측(collision map) 알고리즘 개발 경력자\n• Global path planning 개발 경력자(A* 등등)\n• C, C++, Python 등의 소프트웨어 언어 능통\n• 탁월한 의사 소통 및 대인 관계 기술을 바탕으로 팀 중심 환경에서 작업할 수 있는 능력\n• 비즈니스 회화 능력\n• Git 경험자', '• navigation관련 석사 혹은 박사 학위 수여자\n• 영어가능자\n• ISO13482 인증 경험자 우대\n• AMR(Autonomous Mobile Robot) or 자율주행로봇(라인트레이서 제외) 개발 경험자\n• ROS2 가능자\n• 열정적인 모습으로 팀원들에게 동기 부여를 줄 수 있는 분\n• 외국어 : OPIc IL 이상\n• 전공 : 기계·메카트로닉스·로봇, 응용소프트웨어공학, 제어계측공학']"
에프엠,경력 3~10년,회사내규에 따름,충북 청주시 흥덕구 오송읍 오송생명10로 47,로봇제어,소프트웨어 개발 경력직 채용,"['C++UnityPythonUnreal Engine', '• 해안 감시용 로봇 운용 S/W 개발\n\u3000- 로봇 휴대용 조종장치 S/W 개발\n\u3000- 운용통제장치 S/W 개발\n\u3000- 임무통제장치 S/W 개발\n• 기 개발된 정찰용 자율주행 선박 S/W 오류 수정\n\u3000- CCTV의 RGB카메라 프로그램 수정\n\u3000- INS 센서 데이터의 오류 수정\n\u3000- 기존의 센서 데이터 합성 프로그램 수정\n• 기타 S/W 관련 문서 작성 ', '• C++, PYTHON, UML 외 S/W 개발 툴 사용\n• 경력 : 5년 이상', '• 컴퓨터/시스템공학, 공학계열\n• 해당직무 근무경험\n• 정보처리기사\n• Unity 및 Unreal Engine 개발 경험자']"
