기업이름,키워드,연봉,평점,분야
인피닉,자율주행,2542,2.1,IT
슈어소프트테크,딥러닝,3948,3.1,IT
크래프톤,딥러닝,5179,3.4,IT
파수,딥러닝,4298,3.1,IT
와디즈,딥러닝,3852,2.9,IT
코난테크놀로지,딥러닝,3863,2.6,IT
엠디에스테크,딥러닝,4275,3.0,IT
아이헤이트플라잉버그스,딥러닝,3508,2.8,IT
엑셈,딥러닝,4030,3.3,IT
카카오모빌리티,자율주행,5851,3.7,IT
한화,로봇제어,4907,3.2,IT
트윔,로봇제어,3707,2.6,IT
미리디,딥러닝,3293,3.2,IT
알체라,딥러닝,4506,3.0,IT
딥브레인에이아이,딥러닝,4226,3.2,IT
넥서스커뮤니티,딥러닝,3465,3.0,IT
한국네트웍스,로봇제어,4638,2.6,IT
크라우드웍스,딥러닝,3864,3.2,IT
테스트웍스,딥러닝,3566,3.0,IT
에이모,딥러닝,4587,3.3,IT
이노시뮬레이션,자율주행,3672,2.3,IT
아이브,딥러닝,4017,2.3,IT
비트나인,자율주행,4251,2.9,IT
아이나비시스템즈,자율주행,3894,2.9,IT
마스,로봇제어,4597,2.9,IT
오케스트로,딥러닝,4059,2.4,IT
다비오,딥러닝,4339,2.9,IT
씨유박스,딥러닝,4159,2.5,IT
어센트코리아,딥러닝,4021,3.0,IT
라닉스,자율주행,2969,2.3,IT
펀진,딥러닝,3804,2.4,IT
이랜드이노플,딥러닝,5108,3.4,IT
엑스와이지,로봇 제어,4348,3.4,IT
엑스퍼넷,드론,3462,3.5,IT
서광시스템,딥러닝,3659,1.7,IT
인터엑스,딥러닝,3674,2.4,IT
마이너,딥러닝,3430,2.3,IT
애니펜,딥러닝,3391,3.1,IT
데이터메이커,딥러닝,3444,3.5,IT
클로봇,로봇제어,4334,3.2,IT
에이치알맨파워그룹,딥러닝,2779,3.6,IT
에프엠,로봇제어,5121,2.7,IT
에프에스솔루션,딥러닝,3470,2.7,IT
에스피에이치,딥러닝,3599,4.2,IT
모비루스,딥러닝,4633,3.3,IT
써로마인드,딥러닝,3946,2.6,IT
메이븐클라우드서비스,딥러닝,3830,3.1,IT
카비,딥러닝,4412,2.8,IT
딥인스펙션,딥러닝,3379,1.9,IT
로보코리아,딥러닝,3915,3.5,IT
마인즈앤컴퍼니,딥러닝,4874,3.8,IT
씨엔비스,자율주행,3331,2.7,IT
현대엠시스템즈,자율주행,4912,2.1,IT
뉴빌리티,로봇제어,5233,4.0,IT
로민,딥러닝,4463,3.6,IT
스마트디아그노시스,딥러닝,3006,2.9,IT
스마티,드론,3531,2.8,IT
무스마,딥러닝,3351,3.8,IT
안티그래비티,딥러닝,3592,2.6,IT
클레온,딥러닝,5587,3.4,IT
파인더스,딥러닝,4771,5.0,IT
클라모스,딥러닝,3754,4.3,IT
트라이디,드론,2870,3.4,IT
딥엑스,딥러닝,5823,4.4,IT
테서,딥러닝,5990,3.0,IT
에이비씨랩스,자율주행,2384,2.8,IT
피처링,딥러닝,3614,4.6,IT
파이온코퍼레이션,딥러닝,3879,4.5,IT
델타엑스,딥러닝,4037,5.0,IT
딥인사이트,딥러닝,3018,3.0,IT
디에스케이,로봇 제어,4657,3.3,IT
워트인텔리전스,딥러닝,4247,4.0,IT
알세미,딥러닝,5701,4.5,IT
오픈엣지테크놀로지,자율주행,5782,2.0,IT
고스트패스,딥러닝,3563,1.0,IT
코가로보틱스,딥러닝,3365,1.8,IT
제이디,로봇 제어,2754,2.5,건설업
현대자동차,로봇제어,5745,3.8,기계/설비/자동차
고영테크놀러지,로봇제어,4571,2.7,기계/설비/자동차
미래컴퍼니,로봇 제어,4106,2.7,기계/설비/자동차
모트렉스,자율주행,4655,2.6,기계/설비/자동차
비전세미콘,로봇제어,3461,2.1,기계/설비/자동차
전진건설로봇,로봇제어,3476,2.4,기계/설비/자동차
발레오오토모티브코리아,자율주행,5563,2.5,기계/설비/자동차
시스콘,로봇제어,4000,2.8,기계/설비/자동차
우정테크,로봇 제어,3176,1.6,기계/설비/자동차
윈텍오토메이션,딥러닝,3625,2.5,기계/설비/자동차
컨트롤웍스,딥러닝,3935,3.0,기계/설비/자동차
엔젤로보틱스,로봇제어,4282,2.5,기계/설비/자동차
긴트,로봇제어,3906,2.9,기계/설비/자동차
알지티,로봇제어,4064,2.6,기계/설비/자동차
앤씨앤,딥러닝,4407,2.6,반도체/디스플레이
넥스트칩,자율주행,4751,2.7,반도체/디스플레이
나인벨,로봇제어,3636,2.4,반도체/디스플레이
칩스앤미디어,딥러닝,6577,3.3,반도체/디스플레이
지에스티,로봇제어,3077,1.5,반도체/디스플레이
부원,로봇 제어,2960,2.5,반도체/디스플레이
트리즈엔지니어링,로봇제어,4034,2.9,석유/화학/에너지
파인디지털,자율주행,3714,3.2,전기/전자/제어
유진로봇,로봇제어,4407,2.5,전기/전자/제어
텔레칩스,자율주행,5108,3.3,전기/전자/제어
센서텍,로봇제어,3691,2.1,전기/전자/제어
슈프리마,딥러닝,4477,2.2,전기/전자/제어
엘에스메카피온,로봇 제어,3663,2.7,전기/전자/제어
한화비전,딥러닝,5874,3.5,전기/전자/제어
토페스,딥러닝,2695,2.7,전기/전자/제어
엠투아이코퍼레이션,로봇제어,3948,3.6,전기/전자/제어
캔탑스,딥러닝,3755,2.7,전기/전자/제어
오토엘,로봇제어,5452,2.8,전기/전자/제어
니어스랩,드론,4886,3.1,조선/항공/우주
