기업이름,고용형태,연봉,기업주소,키워드,담당업무,인덱스,필요역량
컨트롤웍스,2년,연봉업계평균이상,서울 강남구 언주로81길 13 진일빌딩 3층,자율주행,[2년 이상] 자율주행 Front-End 개발자,1,"['학사', '기획', '자율주행', '웹', '공학', '3D', 'Linux', '설계']"
뷰런테크놀로지,-,-,"서초구 강남대로 311, 19층",자율주행,자율주행 인지 개발자,2,"['석사', '학사', '자율주행', '컴퓨터공학', 'computer', 'C', 'Vision', 'vision', 'ADAS', '프로젝트', 'object', 'Python']"
씨엔비스,4년,-,"경기도 성남시 수정구 창업로 43, 판교 글로벌비즈센터 A동 907~910호",자율주행,자율주행 인지 개발자,3,"['석사', '자율주행', '논문', 'C', '분석', '딥러닝', '시스템', '프로젝트', '학위', '영상처리', 'AI', 'Python']"
컨트롤웍스,2년,연봉업계평균이상,서울 강남구 언주로81길 13 진일빌딩 3층,자율주행,자율주행 SW 엔지니어,4,"['공학', '자율주행', '제어', 'C', '딥러닝', '프로젝트', '학위', '최적화', '박사', 'Python', '알고리즘']"
베스텔라랩,2년,연봉업계평균이상,안양시 동안구 엘에스로116번길 118 안양2차 SKV1 Center,자율주행,자율주행 연구원(경기/대구)(전문연구요원가능),5,"['기획', '전공자', '자율주행', 'Embedded', '제어', 'C', '개선', '분석', '데이터', '시스템', '경력자', 'python', 'Python', '알고리즘', 'ROS']"
엑스와이지,2년,-,서울시 성동구 아차산로17길 48,자율주행,자율주행 로봇 엔지니어,6,"['학사', '자율주행', '제어', 'C', 'Vision', '로봇', '시스템', 'Python', '알고리즘', '설계', 'ROS']"
마스오토,-,-,"서초구 논현로 145, 수냐빌딩 3층",자율주행,소프트웨어 엔지니어 (자율주행),7,"['C', '자율주행']"
슈어소프트테크,1년,연봉업계평균이상,성남시 수정구 금토로80번길 37(금토동),자율주행,[자율주행검증개발팀] C++ 개발자,8,"['자율주행', 'C', '데이터', '통신', 'Linux']"
에스티피씨,-,-,성남시 분당구 성남대로69 로드랜드EZ타워,자율주행,[신입] 자율주행 Perception Engineer,9,"['자율주행', 'C', 'Object', 'Python', 'ROS']"
알지티,7년,-,서울 금천구 디지털로10길 78 가산테라타워 10층,자율주행,자율주행 F/W엔지니어,10,"['석사', '학사', '영어', 'C', '검증', '시스템', '프로젝트', '학위', '통신', '경험을', '임베디드', '설계']"
컨트롤웍스,-,연봉업계평균이상,서울 강남구 언주로81길 13 진일빌딩 3층,자율주행,자율주행 플랫폼 엔지니어,11,"['자율주행', '네트워크', 'C', '시스템', '프로젝트', '최적화', 'Python', '공학', '설계']"
슈어소프트테크,3년,연봉업계평균이상,성남시 수정구 금토로80번길 37(금토동),자율주행,[자율주행기술팀] SW 엔지니어링 (개발 및 검증),12,"['공학', '자율주행', '논문', 'C', '분석', 'SW', '시스템', '프로젝트', 'Python', '임베디드']"
에이모(AIMMO),5년,-,경기 성남시 분당구 벌말로 50번길 41 투아이센터 7층,자율주행,자율주행 System Engineer (SE),13,"['석사', 'Embedded', 'Linux', 'C', '딥러닝', '로봇', '프로젝트', '학위', '협업', 'TensorFlow', '경험을', 'Python', '알고리즘']"
클로봇,2년,연봉업계평균이상,"성남시 분당구 성남대로925번길 16, 7층 701호 (야탑동)",자율주행,자율주행 개발자 (병특지원가능),14,"['석사', '학사', '자율주행', '공학', 'Linux', 'C', '개선', 'SW', '검증', '협업', '학위', '박사', 'Python', '알고리즘', '설계', 'ROS']"
긴트,4년,연봉업계평균이상,"경기도 성남시 분당구 판교로 228번길 17, 판교벤처밸리 2단지 1동 4층 긴트",자율주행,자율주행 개발자,15,"['자율주행', '논문', '제어', 'C', '시스템', '최적화', 'AI', 'Python', '알고리즘']"
뷰런테크놀로지,2년,-,"서초구 강남대로 311, 19층",자율주행,자율주행 판단/제어 개발,16,"['학사', '공학', '제어', 'C', 'ADAS', '박사', 'Python', '알고리즘', '설계']"
에스티피씨,-,-,성남시 분당구 성남대로69 로드랜드EZ타워,자율주행,자율주행 로봇 Motion Control & Path Planning 개발,17,"['석사', '공학', '자율주행', '제어', 'C', 'S/W', '로봇', '학위', '박사', 'Linux', 'ROS']"
포티투닷(42dot),5년,연봉상위6~10%,"서울특별시 강남구 남부순환로 2621 (도곡동, 서브원 강남빌딩) 9층",자율주행,Sensor Fusion Engineer (자율주행),18,"['Data', '자율주행', 'C', 'ADAS', '프로젝트', 'object', '박사', 'Python']"
포티투닷(42dot),5년,연봉상위6~10%,"서울특별시 강남구 남부순환로 2621 (도곡동, 서브원 강남빌딩) 9층",자율주행,Machine Learning Engineer (자율주행),19,"['석사', '컴퓨터공학', '자율주행', '학습', 'C', '시스템', 'Object', '학위', '박사', 'Python', '알고리즘']"
포티투닷(42dot),7년,연봉상위6~10%,"서울특별시 강남구 남부순환로 2621 (도곡동, 서브원 강남빌딩) 9층",자율주행,모빌리티 서비스 UX 디자이너 (자율주행/IVI),20,"['자율주행', '시스템', '프로젝트', '설계']"
에스티피씨,-,-,성남시 분당구 성남대로69 로드랜드EZ타워,자율주행,자율주행 무인 배달로봇 SLAM 위치추정(Localization) 개발자,21,"['C', 'Vision', 'ROS']"
에스티피씨,-,-,성남시 분당구 성남대로69 로드랜드EZ타워,자율주행,자율주행 Perception Engineer,22,"['자율주행', 'C', 'Object', 'Python', 'ROS']"
니어스랩,3년,-,"서울시 강남구 논현로 417 화원빌딩 4, 5층",드론,소프트웨어 엔지니어 팀장 (드론 원격 관제 S/W 개발),23,"['학습', 'AI', 'S/W']"
메디인테크,-,-,서울특별시 종로구 대학로 60 동마루빌딩 2층,로봇제어,"[전문연구요원 가능] C/C++, Python 로봇 제어 개발자 (신입)",24,"['석사', '제어', 'C', '로봇', '학위', '박사', 'Python', 'Linux', '설계']"
에이치디현대로보틱스,3년,-,"경기도 성남시 분당구 분당수서로 477, HD현대그룹 R&D센터 10F",로봇제어,로봇 시스템 서보제어 개발,25,"['석사', 'Embedded', '제어', '분석', 'S/W', '알고리즘']"
알지티,3년,-,서울 금천구 디지털로10길 78 가산테라타워 10층,로봇제어,모바일 로봇 제어 SW 개발자 (navigation),26,"['석사', 'C', '경력자', '학위', '박사', 'python', '알고리즘']"
메디인테크,-,-,서울특별시 종로구 대학로 60 동마루빌딩 2층,로봇제어,"[전문연구요원 가능] C/C++, Python 로봇 제어 개발자",27,"['석사', '제어', 'C', '로봇', '학위', '박사', 'Python', 'Linux', '설계']"
알지에이아이엔씨(RGA Inc.),5년,-,"서울시 서초구 서초대로 396, 7층 (서초동, 강남빌딩)",로봇제어,로봇 제어 엔지니어,28,"['Data', 'Embedded', '제어', 'C', '3D', 'SW', 'Vision', '로봇', '시스템', '프로젝트', '협업', '통신', '박사', '설계', 'ROS']"
에이트테크,2년,연봉업계평균이상,금천구,로봇제어,로봇 제어 엔지니어,29,"['로봇', 'C', '컴퓨터공학']"
한국네트웍스,10년,연봉상위6~10%,경기도 성남시 분당구 판교로,로봇제어,로봇제어 엔지니어,30,"['Embedded', '제어', 'SW', '로봇', '시스템', '경력자', '경험을', '알고리즘', '설계', 'ROS']"
에이트테크,-,연봉업계평균이상,금천구,로봇제어,로봇 제어 엔지니어 (신입),31,"['로봇', 'C', '컴퓨터공학']"
알지티,3년,-,서울 금천구 디지털로10길 78 가산테라타워 10층,로봇제어,다중 로봇 제어 SW 개발자,32,"['석사', '회로', '자율주행', 'C', '로봇', '경력자', '학위', '박사', 'Python', '알고리즘', '설계']"
엔젤로보틱스,8년,-,"서울특별시 성동구 성수이로22길 37, 아크벨리지식산업센터 6층",로봇제어,로봇제어 엔지니어,33,"['컴퓨터공학', '제어', 'SW', '로봇', '시스템', '최적화', '임베디드', '설계']"
엑스와이지,-,-,서울시 성동구 아차산로17길 48,로봇제어,로봇 제어 엔지니어,34,"['공학', 'C', '제어', '로봇', '시스템', '통신', 'Python', '임베디드', 'ROS']"
매이드,5년,-,성수동 연무장길 89,로봇제어,로봇제어 엔지니어,35,"['Embedded', '영어', '제어', 'SW', '시스템', '학위', '통신', '박사', '공학', '설계']"
라덱셀(Radexel),3년,-,"용산구 서빙고로 17, 센트럴파크타워 1705호",로봇제어,로봇/기계 제어 SW 개발 (암치료 장비),36,"['석사', '컴퓨터공학', '제어', 'C', 'SW', '로봇', '시스템', '협업', '학위', 'Python']"
제이케이로보틱스,-,-,"경기도 시흥시 경기과기대로 239, 제이케이로보틱스",로봇제어,물류로봇 자동제어 엔지니어,37,['3D']
한국딥러닝,-,-,"서초구 강남대로 527, 브랜드칸 타워 6층",딥러닝,세일즈/전략 파트장,38,"['3D', '공학', 'AI']"
포지큐브(POSICUBE),-,연봉업계평균이상,"서울특별시 강남구 역삼1동 823-30 라인빌딩 10층, 11층, 12층",딥러닝,언어모델 딥러닝 개발자,39,"['학사', '머신러닝', '학습', '데이터', 'Tensorflow', '딥러닝', '최적화', '학위', 'Python', '인공지능', '공학']"
한국딥러닝,-,-,"서울특별시 서초구 강남대로 537, 브랜드칸 타워 6층",딥러닝,ML/DL Engineer (머신러닝/딥러닝 엔지니어),40,"['딥러닝', '최적화', 'Tensorflow']"
한국딥러닝,-,-,"서울특별시 서초구 강남대로 537, 브랜드칸 타워 6층",딥러닝,딥러닝 엔지니어 (3D Reconstruction / 3D Generation),41,"['석사', '학습', '논문', '3D', '분석', '데이터', '딥러닝', '협업', '프로젝트', 'AI', '설계']"
슈어소프트테크,3년,연봉업계평균이상,성남시 수정구 금토로80번길 37(금토동),딥러닝,[AI기술팀] 머신러닝/딥러닝 개발자,42,"['머신러닝', 'C', 'Tensorflow', '검증', '딥러닝', '시스템', '경력자', 'Python', '설계']"
클라모스,2년,-,구로구 디지털로 242 \u200b(구로한화비즈메트로1차) 709호,딥러닝,컴퓨터 비전 & 딥러닝 개발자,43,"['Computer', 'vision', '프로젝트', 'Python', '알고리즘']"
뉴로다임,1년,연봉업계평균이상,서울시 성동구 성수일로 77 서울숲 IT 밸리 805호,딥러닝,AI(딥러닝) 연구 및 개발,44,"['전공자', '분석', '시스템', 'Object', 'AI', '공학']"
허드슨에이아이,3년,-,"강남구 테헤란로 217, 오렌지플래닛",딥러닝,딥러닝엔지니어,45,"['석사', '학사', '딥러닝', '프로젝트', 'AI', 'Python']"
클레온,2년,-,"서울특별시 중구 소월로2길 30, T타워 18층",딥러닝,AI 딥러닝연구원 (CV),46,"['석사', 'Data', '네트워크', 'Computer', '영어', '논문', '3D', 'Tensorflow', 'Vision', '딥러닝']"
룩코,2년,-,"서울 강남구 테헤란로 43길 18, SC빌딩 6층",딥러닝,딥러닝 엔지니어,47,"['학습', '개선', '분석', '데이터', 'Tensorflow', '성능', '딥러닝', '최적화', '엔지니어', '경력자', 'Python', '인공지능', '알고리즘', 'API', '이미지']"
다비오(Dabeeo),3년,-,"서울 마포구 마포대로 144 (공덕동, 마포T타운) 8층",딥러닝,딥러닝 엔지니어,48,"['머신러닝', 'Computer', 'C', '3D', '데이터', '분석', 'Vision', 'Tensorflow', '딥러닝', '시스템', '프로젝트', 'vision', '협업', 'AI', 'object', 'Python', '설계', '이미지']"
파이온코퍼레이션,-,-,"서울시 강남구 삼성로 85길 26, V&S 601호",딥러닝,브이캣 딥러닝 엔지니어,49,"['Computer', '개선', '분석', '데이터', 'Vision', '딥러닝', '박사', 'Python']"
테서,-,-,"강남구 언주로 544, 4층 테서",딥러닝,의료 영상데이터(비전) 딥러닝 연구원,50,"['석사', '학습', '논문', '3D', '분석', '데이터', 'Tensorflow', '딥러닝', '협업', '프로젝트', '학위', 'AI', '알고리즘', '이미지']"
연합시스템,1년,-,경기도 김포시 양촌읍 황금로 323번길 26번지,딥러닝,"빅데이터 분석, AI (머신러닝,딥러닝)",51,"['머신러닝', '분석', '데이터', '딥러닝', 'Python']"
블루닷,-,-,강남구 언주로 527 강남텔레피아빌딩 4층,딥러닝,딥러닝 알고리즘 엔지니어(신입),52,"['머신러닝', '네트워크', '학습', '논문', 'Tensorflow', '딥러닝', '프로젝트', '영상처리', '최적화', 'AI', '알고리즘']"
블루닷,3년,-,강남구 언주로 527 강남텔레피아빌딩 4층,딥러닝,딥러닝 알고리즘 엔지니어,53,"['머신러닝', '네트워크', '학습', '논문', 'Tensorflow', '딥러닝', '프로젝트', '영상처리', '최적화', 'AI', '박사', '알고리즘']"
에이모(AIMMO),4년,-,경기 성남시 분당구 벌말로 50번길 41 투아이센터 7층,딥러닝,[100억↑투자] Data-centric 기반 딥러닝 연구/개발 (DS),54,"['개선', '인공지능', 'Data', 'Computer', 'vision', '협업', '학위', 'Linux', '경험을', '이미지', '석사', '자율주행', '3D', '분석', 'Tensorflow', 'AI', '머신러닝', '성능', '딥러닝', '프로젝트', '박사', '공학']"
애니펜,-,연봉업계평균이상,"경기도 성남시 분당구 분당내곡로 131, 7층(백현동, 판교테크원)",딥러닝,NLP(자연어 처리) 딥러닝 개발자,55,"['석사', 'C', '개선', 'Tensorflow', '딥러닝', '프로젝트', '학위', 'Python']"
에프에스솔루션,10년,연봉업계평균이상,경기도 성남시 수정구 금토로 80번길 11 (금토동) 판교이노베이션랩 지식산업센터 1409 /1410/ 1411호,딥러닝,컴퓨터 비전 딥러닝/머신러닝 개발자 (ADAS/DMS/영상인식) (팀장급),56,"['컴퓨터공학', 'C', '데이터', 'Vision', 'Computer', 'Embedded', '논문', 'ADAS', '설계', '학사', '영어', 'Tensorflow', '영상처리', 'Object', 'AI', '알고리즘', '머신러닝', '학습', '딥러닝', '박사', 'Python']"
에프에스솔루션,-,연봉업계평균이상,경기도 성남시 수정구 금토로 80번길 11 (금토동) 판교이노베이션랩 지식산업센터 1409 /1410/ 1411호,딥러닝,컴퓨터 비전 딥러닝/머신러닝 개발자(ADAS/DMS/영상인식) (신입),57,"['컴퓨터공학', 'C', '데이터', 'Vision', 'Computer', 'Embedded', '논문', 'ADAS', '설계', '학사', '영어', 'Tensorflow', '영상처리', 'Object', 'AI', '알고리즘', '머신러닝', '학습', '딥러닝', '박사', 'Python']"
에프에스솔루션,3년,연봉업계평균이상,경기도 성남시 수정구 금토로 80번길 11 (금토동) 판교이노베이션랩 지식산업센터 1409 /1410/ 1411호,딥러닝,컴퓨터 비전 딥러닝/머신러닝 개발자(ADAS/DMS/영상인식) (3년 이상),58,"['컴퓨터공학', 'C', '데이터', 'Vision', 'Computer', 'Embedded', '논문', 'ADAS', '설계', '학사', '영어', 'Tensorflow', '영상처리', 'Object', 'AI', '알고리즘', '머신러닝', '학습', '딥러닝', '박사', 'Python']"
보이저엑스(VoyagerX),-,연봉업계평균이상,서초구 서초대로38길 12 마제스타시티 타워1 10층 (주)보이저엑스,딥러닝,딥러닝 모델 개발자,59,"['딥러닝', 'Tensorflow', '인공지능', '이미지']"
펀진,-,-,서울시 성동구 연무장5가길 7 현대테라스타워 East동 13층,딥러닝,딥러닝 엔지니어,60,"['석사', '학습', 'C', '데이터', '분석', 'Tensorflow', '딥러닝', '시스템', 'AI', 'Python', '알고리즘']"
안티그래비티,5년,-,서울 성동구 성수이로22길 37 (성수동2가) 아크밸리 지식산업 센터 303c호 안티그래비티,딥러닝,AI (딥러닝) 연구 및 개발자,61,"['석사', '머신러닝', '학습', 'Computer', '논문', '3D', '데이터', '분석', '3d', 'Vision', '검증', '딥러닝', '프로젝트', 'AI', '알고리즘', '설계', '이미지']"
아이네블루메(채티),3년,연봉업계평균이상,서울특별시 강남구 삼성로 571 K빌딩 8층,딥러닝,AI 엔지니어 (머신러닝 ML/딥러닝 DL),62,"['머신러닝', 'API', '분석', '딥러닝', 'AI', 'Python', '알고리즘', '설계']"
이스트오토,-,-,용인시 기흥구,딥러닝,영상처리 딥러닝 개발자,63,"['딥러닝', 'C', 'Python', '영상처리']"
아하랩스,-,연봉업계평균이상,경기도 성남시 분당구 성남대로 43번길 10 (하나EZ타워) 712호,딥러닝,딥러닝 / 머신러닝 연구원,64,"['C', 'Vision', '딥러닝', '최적화', 'Object', 'AI', 'Python']"
한국딥러닝,1년,-,"서초구 강남대로 527, 브랜드칸 타워 6층",딥러닝,"사업계획서 작성 / 사업 관리 담당자 (정부 지원, 과제, R&D, B2B)",65,"['Data', '프로젝트', '경험을', 'AI']"
스카이랩스(SkyLabs),-,-,"성남시 분당구 판교로 255번길 58, 씨즈타워 703호",딥러닝,딥러닝/머신러닝(AI) 개발자,66,"['전공자', '컴퓨터공학', '머신러닝', '논문', '분석', '데이터', 'Tensorflow', '딥러닝', '프로젝트', 'Python', '알고리즘']"
한국딥러닝,-,-,"서울특별시 서초구 강남대로 537, 브랜드칸 타워 6층",딥러닝,Product Designer (UX/UI),67,"['개선', '경험을', '설계']"
