기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량,인덱스,키워드추출
컨트롤웍스,2년,연봉업계평균이상,서울 강남구 언주로81길 13 진일빌딩 3층,자율주행,", 자율주행관련 UI/UX 컨셉 기획- 자율주행 Driving Experience에 적합한 컨셉 기획- 자율주행 UI 프로토타입 설계, 자율주행 프론트엔드 개발- 자율주행시 탑승자와 시스템간 UI 구현- 자율주행 인터페이스 유지 및 보수","[자격요건], 학사 이상 (컴퓨터 공학/감성 및 인간공학 등 전공), 프론트엔드 개발 경력 2년 이상, 프로그래밍 능력 (HTML, CSS, JavaScript, etc.)[채용절차], 서류전형   실무·임원면접  채용검진  최종합격(상황에 따라 실무면접이 별도로 진행될 수 있습니다.)[제출서류], 이력서, 자기소개서, 최종학력 성적증명서(90일 이내 발급), 포트폴리오(선택), 이력서 내 희망연봉 필수기재[근무조건], 근무형태: 정규직, 근무일시: 주",1,"['포트폴리오', '공학', '학사']"
베스텔라랩,2년,연봉업계평균이상,안양시 동안구 엘에스로116번길 118 안양2차 SKV1 Center,자율주행,"사용기술- ROS, Python, Github, Git, 리눅스 등주요업무- 자율주행차량 제어 프로그램 개발- 자사 측위 알고리즘 개선 및 엔진 고도화- 라이다, 카메라, BLE 등의 다양한 이동체 탑재 센서 기반 측위 알고리즘 개발- 새로운 기술개발 R&D 사업 기획, 시장 조사","- 2년이상 경력자- C++ 혹은 Python 프로그래밍 능력- 국영문 학술논문 등 전문 아티클 리딩 능력- 새로운 영역 및 분야 리서치 능력(*전문용어를 기반으로 통합적 사고력 및 이해 능력)- 논리적인 사고 및 접근 방법- 통계 및 수학 전공자- 센서 및 GPS 신호분석, 응용 알고리즘 개발 이해도 보유- Embedded SW개발 (C / C++)- 데이터 분석 (Matlab 또는 python)- ROS에 대한 이해- 측위기술 과제 경험, Embed",2,"['python', 'Python', '전공자', '알고리즘', '분석', '경력자', '데이터', 'Embedded', 'C']"
뷰런테크놀로지,-,-,"서초구 강남대로 311, 19층",자율주행,", 라이다 인지 기술 개발 (C/Python), 자율주행 인지 솔루션 연구, 디자인, 개발, 실시간 데이터를 활용한 차량주변 객체 움직임 예측, Develop LiDAR perception algorithm (C/Python), Research, design, and develop perception solutions and algorithms, Imple",", 전자전기/컴퓨터공학 학사 이상 또는 이와 비슷한 동종업계 경력, C/C++ 또는 Python 개발, MS or higher degree in CS/CE/EE(Candidate) or equivalent industry experience, Experience in the field of deep learning/ machine learning, Strong programming skills in C/C++ or Python, 전자전기/컴퓨터 공학관련",3,"['Python', 'deep', '컴퓨터공학', '학사', 'C']"
씨엔비스,4년,-,"경기도 성남시 수정구 창업로 43, 판교 글로벌비즈센터 A동 907~910호",자율주행,", 영상처리 기술 분석 및 구현, AI 기반 실시간 객체 인지, 추적 등의 기술 구현, 관련 논문 게재 또는 특허 출원",", 관련 분야 학사학위(4년제) 이상, 혹은 유관 분야 경력 2년 이상이신 분, C/C++ 또는 Python 프로그래밍 언어를 익숙하게 다룰 수 있는  분, 딥러닝/기계학습 분야 경험, 관련 분야 석사 학위 이상 소지자, 자율주행 시스템 구성에 대한 이해, 자율주행 센서(GNSS, IMU, Camera, Lidar 등) 사용 경험, 관련(자율주행 및 AI) 분야 저서/학술활동 이력, 자율주행 및 로보틱스 관련 프로젝트 참여 혹은 개발 경험, 자율주행 차",4,"['Python', '딥러닝', '자율주행', 'AI', '학위', '시스템', '로보틱스', '프로젝트', 'C', '석사']"
엑스와이지,2년,-,서울시 성동구 아차산로17길 48,자율주행,[팀 소개]XYZ는 자율주행 로봇을 전문적으로 개발하는 스타트업으로 자율주행 로봇을 활용하여 건축물 내 XY축 이동뿐만 아니라 Z축 이동을 통해 다양한 식음료를 전달하고 있습니다.XYZ의 로봇 자동화팀은 로봇 서비스 운영과 제어에 필요한 시스템 임베디드부터 사용자 프론트 앱까지 전반적인 제어 시스템과 소프트웨어를 디자인하고 개발하는 팀입니다. 바리스타 로봇,"- 해당 분야 학사 이상- 해당 개발 경력 2년 이상- ROS 환경에서 개발 경험이 있는 분- Cartographer ROS Integration 경험이 있는 분- Lidar & Vision SLAM 경험이 있는 분- MCU, 모터 제어, IMU 센서 제어 경험이 있는 분- C/C++, Python 언어 개발 경험이 있는 분- 자동화 시스템 제어 경험 보유- 지도 및 경로 계획 알고리즘 개발 경험이 있는 분- 자율주행 로봇 제품의 개발 경험이 있는 분",5,"['로봇', 'Python', 'SLAM', 'ROS', '알고리즘', '자율주행', '시스템', '학사', '제어', 'C']"
마스오토,-,-,"서초구 논현로 145, 수냐빌딩 3층",자율주행,", Low-level 최적화에 중점을 둔 자율주행 소프트웨어 개발",", 현대 컴퓨터의 작동 방식에 대한 지식, ARM 및 x86 아키텍처에 익숙함, C/C++ 및 Python에 익숙함, IOI 또는 IMO 경험, 경쟁적 프로그래밍 경험 (예: topcoder), GPU에서 실행되는 소프트웨어 작성 경험 (예: CUDA)",6,['C']
에스티피씨,-,-,성남시 분당구 성남대로69 로드랜드EZ타워,자율주행,", Camera / Lidar Sensor Fusion, Object Pose Estimation, Object Shape Estimation, Object Velocity Estimation, Other General Object Info",", Perception 관련 개발, C/C++ , Python, ROS, 자율주행 관련 개발, 자율주행 경력, 자율주행 학과",7,"['ROS', '자율주행', 'C', 'Python']"
슈어소프트테크,1년,연봉업계평균이상,성남시 수정구 금토로80번길 37(금토동),자율주행,", 사내 솔루션 DCAT 및 자율주행 관련 과제 수행: 센서 데이터 송수신 기능, 데이터 로깅/파싱 기능, 다종/다중 센서 데이터 시간 동기화 기능 개발",", 경력 1년 이상 C++ 개발자, 데이터 통신 관련(UDP, TCP) 개발 경험자, Linux 기반 개발 경험자, 개인 보다 팀 워크를 중요시 하는 성격, 라이다, 레이더, 카메라, IMU, GPS 등, 센서 데이터 처리 경험자, QT 개발 경험자, 새로운 일에 대한 도전적인 태",8,"['데이터', 'C', 'Linux', '라이다']"
폴라리스쓰리디(Polaris3D),4년,-,서울시 강남구 봉은사로 524 인터컨티넨탈 서울 지하2층 스파크플러스 코엑스점로,자율주행,[우리가 하는 일]우리 팀은 곧 다가올 '1인 1로봇' 시대를 준비하면서 이리온을 경험하고 있는 고객들의 목소리로부터 치열하게 이리온의 미래 모습을 상상하고 실현해 나갑니다.이리온이 세계적인 로봇플랫폼으로 자리잡도록  자율주행 임베디드 소프트웨어를 개발하면서 나아가 Full Self Driving 시스템 구현하도록 함께 고민하고 나아갈 훌륭한 능력자 분들을,", 임베디드 소프트웨어 개발 경험이 있으신 분, Cortex A 기반 Kernel 수정 및 소프트웨어 개발 경험이 있으신 분, 4년제 대학교 학위를 보유하시거나, 관련 경력 1년 이상이신 분【전형 절차】, 서류 전형, 1차 면접, 추가 면접 (필요 시 진행), 2차 면접, 최종 합격* 처우 및 입사일 협의시용기간 (3개월) 후, 평가 결과에 따라 정규직 전환 결정되며 평과결과에 따라 본 채용이 거부 될 수도 있습니다., freertos 개발 경험과 지식",9,['임베디드']
알지티,7년,-,서울 금천구 디지털로10길 78 가산테라타워 10층,자율주행,", 당사제품에 대한 펌웨어 개발, 당사제품에 대한 하드웨어 설계 및 검증, 당사제품에 대한 시스템 통합, 당사제품에 대한 테스트 및 검증, 당사제품에 대한 문서작성, 기타 필요한 업무＜전형절차＞서류검토 ＞ 1차면접 ＞  임원면접 ＞ 최종합격 (절차는 변동될 수 있습니다.)＜유의사항＞허위사실이 발견될 경우 채용이 취소될 수 있습니다.",", 경력 : 3~7년차, 학력 : 전자공학, 로봇공학 관련 분야의 학사 이상 학위 소지자, 기술 : C/C++ 언어를 활용한 펌웨어 개발능력, 회로설계 및 PCB 레이아웃 설계 능력, 기타 : 임베디드 시스템에 대한 이해, 통신 프로토콜(UART, I2C, SPI 등..)에 대한 지식, 다양한 직무의 팀원들과의 원활한 커뮤니케이션 능력, 자율주행로봇 관련분야에서의 프로젝트 경험을 가진자, 전자공학, 로봇공학 관련 분야의 석사 이상 학위 소지자, 영어 능",10,"['펌웨어', '영어', '설계', '학위', '학사', '임베디드', '프로젝트', 'C', '석사']"
