기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량
알지티,3년,-,서울 금천구 디지털로10길 78 가산테라타워 10층,로봇제어,ㆍ지도에서 효율적이고 안전한 global path planning 알고리즘 개발ㆍ복잡하고 역동적인 환경에서 작동할 수 있는 local path planning 알고리즘 개발＜전형절차＞서류검토 ＞ 1차면접 ＞ 임원면접 ＞ 최종합격 (절차는 변동될 수 있습니다.)＜유의사항＞허위사실이 발견될 경우 채용이 취소될 수 있습니다.,"ㆍ관련 경력 3년이상ㆍ실내 Navigation 분야 상용화 제품 개발 경력자(저널 논문도 가능)ㆍGlobal path algorithm 개발 경력자(A* 등등)ㆍLocal path planning 개발 경력자(DWA, RRT, 등등)ㆍROS, C++, python 개발 능통ㆍ탁월한 의사 소통 및 대인 관계 기술을 바탕으로 팀 중심 환경에서 작업할 수 있는 능력ㆍ비즈니스 회화 능력ㆍGit 경험자ㆍNavigation 관련 분야 석사 혹은 박사 학위 소유자ㆍISO13482 인증 경험자 우대ㆍAMR or 자율주행로봇 (라인트레이서 제외)개발 경험자ㆍROS2 가능자ㆍ열정적인 모습으로 팀원들에게 동기 부여를 줄 수 있는 분"
에이트테크,2년,연봉업계평균이상,금천구,로봇제어,", 로봇 셋업 및 안정화 업무 (80%), 로봇 소프트웨어 및 GUI Application 개발 (20%)",", 경력 2년 이상이신 분, 컴퓨터공학, 메카트로닉스 전공 선호, 해외 여행에 결격 사유가 없는 분, Robot Engineering 경험이 있으신 분, C++, C# 프로그래밍에 익숙하신 분, WPF, Winform GUI 개발 경험자"
메디인테크,-,-,서울특별시 종로구 대학로 60 동마루빌딩 2층,로봇제어,", 의료 로봇 응용 프로그램 개발 업무, 의료 로봇 모션 제어, C, C++, Python 등을 활용한 로봇 시나리오 구현, 의료 로봇 응용 프로그램 아키텍쳐 설계 및 구현",", 경력 무관, Robot Engineering / Mechanical Engineering 에 대한 전반적인 이해, Linux 기반 C/C++, Python Programming 경험, 응용 프로그램 분야에 대한 포괄적 이해, 해외여행에 결격사유가 없는자, 해당 분야 석사/ 박사 학위, Robot framework 개발 및 툴 사용 경험, Robot Hardware 관련 경험, 맥슨 모터 제어 관련 경험, ROS2 개발 관련 경험, Gazebo, NVIDIA ISSAC platform for Robotics, Webots  등 로봇 시뮬레이션 관련 경험"
알지에이아이엔씨(RGA Inc.),5년,-,"서울시 서초구 서초대로 396, 7층 (서초동, 강남빌딩)",로봇제어,", 보행 로봇 제어 시스템 설계 및 SW 개발, RTOS 기반 로봇 제어 SW 개발, Embedded System 엔지니어링, 보행 로봇 Locomotion 개발 및 Field Test",", 로보틱스/메카트로닉스/기계공학/전기전자공학 등 이 · 공 계열 학석사 이상 또는그에 상응하는 경력의 소지자, Robot Control SW / Embedded SW /Device 통신/ Robot 설계 및 제어, Embedded System 핸들링 능력(Data Processing/CAN/SPI/LAN/GPIO), RTOS 기반 메인 컨트롤 SW 개발 및 구현 능력(Multi-task 기반의 Motion Control), MATLAB, C++, C#, 3D CAD, ROS 등을 활용한 Robot 개발 및 제품 구현 능력, 논문이나 기술관련 문서를 이해하고 이를 바탕으로 System 구현이 가능한 능력, Git을 통한 프로젝트 협업 능력, 구성원들과의 협업이 가능한 의사소통 능력과 이를 통한 기술적 문제 해결 능력( 자격요건과 업무 경험은 신입/경력에 따라 or 또는 and 조건이 될 수 있습니다.), 로보틱스/메카트로닉스/기계공학/전기전자공학 등 이 · 공 계열 박사 이상또는 5년 이상의 실무 경력, 로봇 제어/설계/ RTOS기반 제어 SW/Firmware/Device 통신/Locomotion(보행로봇) 및Field Test 경험, 로봇에 대한 Control(position, velocity, impedance control)에 관한 이해와 구현 경험, 로봇 Kinematics/Robotics 및 구동 메커니즘에 대한 높은 이해, Vision/Lidar 등의 센서 퓨전을 활용한 환경인식 및 경로 생성, Slack, Confluence, JIRA 등 협업 툴 경험"
유진로봇,-,연봉상위6~10%,인천광역시 연수구 하모니로 187번길 33,로봇제어,"- 센서 퓨전 알고리즘 개발: 다양한 센서 정보를 퓨전하는 기술 개발- SLAM and localization: Lidar 기반의 지도작성 및 위치인식 기술 개발- Navigation: 배송로봇을 위한 경로계획, 경로추종 기술 개발- 배송로봇 운용을 위한 상위 제어 프로그램 작성",- 전기/전자/컴퓨터/로봇 또는 관련학과 학사 이상- C/C++ 가능자- 이동 로봇 제어 및 개발 관련 경험자- ROS/소스 버전/CMake개발 도구 경험자
에이트테크,-,연봉업계평균이상,금천구,로봇제어,"함께해요!,로봇 셋업 및 안정화 업무 (80%),로봇 소프트웨어 및 GUI Application 개발 (20%)",", 컴퓨터공학, 메카트로닉스 전공 선호, 해외 여행에 결격 사유가 없는 분, Robot Engineering 경험이 있으신 분, C++, C# 프로그래밍에 익숙하신 분, WPF, Winform GUI 개발 경험자"
유진로봇,-,연봉상위6~10%,인천광역시 연수구 하모니로 187번길 33,로봇제어,", 청소로봇의 주행 제어 및 센서 퓨전 알고리즘 개발, 청소로봇의 청소 로직 개발, 청소로봇의 UI 개발, 센서 퓨전 알고리즘 개발",", 임베디드 시스템 환경 하, C/C++ 코드 구현, Mobile Platform 제어 혹은 SLAM 개발, Mobile platform 사용을 위한 UI 개발, 다수의 센서 퓨전을 통한 mobile platform 상태 추정, 시스템/컴퓨터/전자공학 전공자 우대 이동로봇 제어 및 개발 관련 경험자, Mobile platform을 사용, pioneering, coverage strategy 개발 경험자, Mobile platform을 사용, path planning/tracking 개발 경험자"
알지티,3년,-,서울 금천구 디지털로10길 78 가산테라타워 10층,로봇제어,", 자율주행 로봇 개발 및 회로 설계＜전형절차＞서류검토 ＞ 1차면접 ＞ 임원면접 ＞ 최종합격 (절차는 변동될 수 있습니다.)＜유의사항＞허위사실이 발견될 경우 채용이 취소될 수 있습니다.",", 학력 : 대졸이상, 경력 : 경력3년이상, 실내 네비게이션 분야 상용화 제품 개발 경력자, 다중 로봇 네비게이션 알고리즘 개발 경력자, 다중 로봇 충돌 예측(collision map) 알고리즘 개발 경력자, Global path planning 개발 경력자(A* 등등), C, C++, Python 등의 소프트웨어 언어 능통, 경력 : 경력3년이상, 비즈니스 회화 능력, Git 경험자, navigation관련 석사 혹은 박사 학위 수여자, 영어가능자, ISO13482 인증 경험자 우대, AMR(Autonomous Mobile Robot) or 자율주행로봇(라인트레이서 제외) 개발 경험자, ROS2 가능자, 열정적인 모습으로 팀원들에게 동기 부여를 줄 수 있는 분, 외국어 : OPIc IL 이상, 경력 : 경력3년이상, 전공 : 기계·메카트로닉스·로봇, 응용소프트웨어공학, 제어계측공학"
한국네트웍스,10년,연봉상위6~10%,경기도 성남시 분당구 판교로,로봇제어,"- 로봇 제어 프로그래밍 (수직 다관절 로봇/물류 이송 로봇 등)- 모터 제어 알고리즘 설계 및 개발- ROS기반 각종 센서 장치 드라이버 개발- 물류 자동화 시스템 구축 및 개발[근무조건], 근무형태 : 정규직, 근무지 : 판교 테크노밸리(경기도 성남시), 근무시간 : 주5일, 8시 ~ 17시, 급여 : 회사내규에 따름(면접 후 결정)[전형절차]서류전형  - 1차면접 - 온라인 인성검사 - 2차면접(채용검진) -처우협의(레퍼런스 체크)- 최종합격※ 2차면접 및 레퍼런스 체크는 상황에 따라 생략될 수 있습니다.[접수방법], 접수 기간: 채용시 마감※ 이력서 접수 순서대로 면접을 진행하며 우수인재 확보 시 마감, 이력서: 자유양식 (희망연봉 필수기재)[기타사항], 입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다., 지원자의 적성 및 경험을 고려하여 타 직무가 적합하다고 판단되는 경우, 지원분야가 변경될 수 있습니다.,「채용절차의 공정화에 관한 법률」 에 따라 원본으로 제출한 서류는 최종합격자 발표일부터 14일 이내 본인이 요청할 경우 반환 받을 수 있으며, 기한이 지나면 「개인정보보호법」에 따라 파기합니다.",- 관련 경력 10년 이상- Robotics 분야 개발에 능통한 자- Embedded System 구성 및 소프트웨어 개발 경력자- ROS/ROS2 이용 로봇 SW 개발 경험 보유자
엔젤로보틱스,8년,-,"서울특별시 성동구 성수이로22길 37, 아크벨리지식산업센터 6층",로봇제어,- 모터드라이버를 이용한 로봇제어- 로봇제어를 위한 시스템 SW 구조설계- 로봇제어 관련 시스템 컨트롤(임베디드 시스템 FW or 디바이스 드라이버와는 다른 영역)- 양산에 맞는 제품 최적화- 양산을 위한 각종 시험프로그램 설계,"- 학력 : 경력 8년 이상- 전공 : 전기전자공학,기계공학(제어전공), 컴퓨터공학, 제어계측공학에 준하는 전공- 경력ㆍ임베디드 시스템을 이용한 제품개발ㆍC 언어로 개발 가능하신 분ㆍ로봇 기구학/동역학에 대한 이해가 있으신분ㆍ새로운 분야에 능동적인 호기심으로 업무 가능하신 분- BLDC 제어이론 및 실무경험 보유하신 분- 로봇 제어 및 시스템 SW 개발 경험이 있으신 분- 로봇 시스템의 동역학 및 운동학 해석이 가능하신 분- 로봇 양산 경력 보유하신 분"
