,Unnamed: 0,기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량
0,0,㈜시스윈로보틱스,신입/경력,회사내규에 따름,경기 화성시 동탄기흥로 64-4 ,자율주행,"소프트웨어개발자,앱개발자,설계엔지니어,설비엔지니어,반도체엔지니어,IT·기술영업,필드엔지니어,기계엔지니어,R&D·연구원","['C++,Python,ROS, 석사/박사 학위,이공학계열,바로 출근 가능한자']"
1,1,(주)하이콘소프트,경력무관,회사내규에 따름,서울 강서구 마곡중앙로 165,자율주행,"IT개발·데이터,연구·R&D","['C/C++,(머신러닝,자율주행 지식 보유), 머신러닝,자율주행 관련 지식 및 경험 보유']"
2,2,(주)베스텔라랩기업부설연구소,-,회사내규에 따름,경기도 안양시 동안구 호계동,자율주행,-,['석사']
3,3,현대엠시스템즈(주),경력2년,"연봉 3,000 만원 ~ 8,000 만원",경기도 수원시 영통구 신원로 88,자율주행,- 레이더 컨트롤보드 micom firmware 개발 - 감지센서류 micom firmware 개발 - Raddar 실차 / Bench 성능시험 및 튜...,"['RTOS,CAN통신,Git, 장기근무가능자/운전면허증']"
4,4,㈜넥스트칩,경력1년,회사내규에 따름,경기 성남시 분당구 판교역로 230 ,자율주행,총무,"['AutoCAD, 2년이상경력자 우대']"
5,5,현대엠시스템즈(주),경력무관,회사내규에 따름,경기도 수원시 영통구 신원로 88,자율주행,IT개발·데이터,"['C++,Python,ROS,자율주행 관련 경험자, 제조업 총무 업무 경험자,업주 관련 자격증 보유자']"
6,6,HL Klemove,신입/경력,회사내규에 따름,인천 연수구 하모니로 224,자율주행,"백엔드개발자,시스템엔지니어,소프트웨어개발자,기계엔지니어,R&D·연구원,하드웨어개발자,QA,전기·전자엔지니어,설계엔지니어,생...","['C++,Python,ROS, Radar/CAN통신/Firmware/Linux/HAL API 설계 경험자']"
7,7,엑스와이지,경력무관,회사내규에 따름,서울 성동구 아차산로17길 48,자율주행,"빅데이터/AI, 응용프로그램개발","['석/박사,기능안전 개발,비즈니스 영어 가능자']"
8,8,HL그룹,경력,회사내규에 따름,경기도 성남시 수정구 금토로80번길 21,자율주행,신입-R&D-자율주행 시스템 설계 Engineer-판교 경력-R&D-자율주행 시스템 설계 Engineer-판교 전문연구요원-R&D-자율주행 시스템 ...,"['프로그래밍 숙련자,자율주행 시스템 개발 경험자']"
9,9,(주)브이디에스,경력무관,회사내규에 따름,경기 부천시 송내대로 388,자율주행,생산,['납땜 가능자 우대']
10,10,(주)디바인테크놀로지,경력1년,회사내규에 따름,경기 성남시 분당구 판교로289번길 20,자율주행,연구·R&D,"['기계/자동차/조선공학, 관련 1년 이상 경력자 우대']"
11,11,㈜이젠시스,경력5년,"연봉 5,000 만원 ~ 6,000 만원",서울 금천구 가산디지털1로 168,자율주행,"웹개발자,앱개발자","['정보처리기사, 정보처리기사']"
