,기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량
0,(주)미래전파공학연구소,경력무관,회사내규에 따름,서울 종로구 새문안로 69,딥러닝,  IT개발·데이터,"정보통신· IT사업(빅데이터, AI) 신입 /경력사원모집 공고"
1,(주)더블유컨셉코리아,경력3년,회사내규에 따름,서울 강남구 테헤란로 231,딥러닝,"  기획·전략,IT개발·데이터",-
2,(주)윈텍오토메이션,경력무관,회사내규에 따름,경기 수원시 영통구 영통로200번길 71,딥러닝,"  IT개발·데이터,연구·R&D",-
3,(주)서광시스템,경력1년,회사내규에 따름,서울 송파구 법원로11길 11,딥러닝,  IT개발·데이터,주정차단속 솔루션(MFC) 개발자 채용 (경력직)
4,롯데멤버스㈜,신입/경력,회사내규에 따름,서울 중구 순화동 AIA타워 14층,딥러닝,"  웹기획,마케팅기획,CRM마케터,시스템엔지니어,DBA,데이터엔지니어,데이터사이언티스트,고객센터관리자,머신러닝엔지니어",[롯데멤버스] 2024년 1월 신입 및 경력 모집 (AI기획 / FDS / 데이터추출)
5,주식회사오앤,경력2년,"연봉 3,000 만원 ~ 6,000 만원","서울특별시 강서구 마곡중앙1로 26, 604",딥러닝,  업무 주요 내용 - 온라인 쇼핑몰 상품 등록 수정 등 상품 관리 - 온라인 쇼핑몰 상품 수발주 관리 - 온라인 쇼핑몰 입주기업 간 상품 ...,-
6,(주)슈프리마,경력2년,회사내규에 따름,경기 성남시 분당구 정자일로 248,딥러닝,"  IT개발·데이터,연구·R&D",[슈프리마 AI] 얼굴인식/비디오분석 알고리즘 개발자 모집
7,밸류플러스테크놀러지(주),경력5년,회사내규에 따름,경기 성남시 중원구 사기막골로 164,딥러닝,  IT개발·데이터,-
8,(주)에이아이네이션,경력3년,회사내규에 따름,서울 서초구 매헌로 16,딥러닝,"  생산,기획·전략,IT개발·데이터,영업·판매·무역",인공지능 컨설던트 경력직 채용
9,㈜앤에이치씨,신입/경력,회사내규에 따름,인천 연수구 송도과학로 56,딥러닝,"  프론트엔드개발자,소프트웨어개발자,머신러닝엔지니어",소프트웨어개발 엔지니어 채용
10,(주)하이퍼놀로지,경력무관,회사내규에 따름,경기 수원시 장안구 서부로 2066,딥러닝,"  IT개발·데이터,연구·R&D",[하이퍼놀로지] AI 비전 R&D 경력 모집
11,(주)하이퍼놀로지,경력무관,회사내규에 따름,경기 수원시 장안구 서부로 2066,딥러닝,"  IT개발·데이터,연구·R&D",[하이퍼놀로지] ROS2 기반 디지털트윈 개발자 모집
12,주식회사 넥스버,신입/경력1년,회사내규에 따름,경기 안양시 동안구 시민대로 230,딥러닝,"  IT개발·데이터,연구·R&D",기술연구소 프로그램 개발 및 기술지원 인재 채용(C / C++)
13,(주)캔탑스,경력2년,"연봉 3,000 만원 ~ 6,000 만원",경기도 수원시 영통구 덕영대로1556번길 16,딥러닝,"  1. 임베디드 시스템 소프트웨어 개발 (주요 업무) ㆍ센서(카메라, 라이다 外) 인터페이스 드라이버 개발 ㆍ디지털 신호 처리 알고리즘...",[병역특례 전문연구요원 채용 포함] 임베디드 시스템 전자제품 개발자 모집 (경력)
14,(주)캔탑스,경력2년,"연봉 3,000 만원 ~ 6,000 만원",경기도 수원시 영통구 덕영대로1556번길 16,딥러닝,"  임베디드 시스템 소프트웨어 개발 (주요 업무) ㆍ센서(카메라, 라이다 外) 인터페이스 드라이버 개발 ㆍ디지털 신호 처리 알고리즘 개...",[병역특례 전문연구요원 채용 포함] 임베디드 시스템 소프트웨어 개발자 모집(경력)
15,㈜에프엠커뮤니케이션즈,신입/경력,회사내규에 따름,서울 서초구 반포대로22길 34,딥러닝,"  마케팅기획,AE(광고기획자),온라인마케터,콘텐츠마케터,백엔드개발자,머신러닝엔지니어,홍보,CRM마케터,채널관리자",-
16,주식회사 아이티테크,경력5년,월급 350 만원 ~ 500 만원,경기도 안양시 동안구 시민대로327번길 11-41,딥러닝,  1. 근무위치  경기도 안양시 평촌역 인근 도보 10분 내외 안양시 창업지원 센터내 2. 모집인원 SW  2명 3.  ㆍAI deep le...,임베디드 리눅스 SW 개발자 모십니다.
17,주식회사 넥스버,경력무관,회사내규에 따름,경기 안양시 동안구 시민대로 230,딥러닝,"  IT개발·데이터,연구·R&D",임베디드 리눅스 C/C++ SW 개발 / 기술지원
18,(주)바이오뉴트리온,경력2년,회사내규에 따름,서울 강남구,딥러닝,"  IT개발·데이터,연구·R&D",[IT 바이오 스타트업] AI Scientist 연구자 채용
19,보은전자방송통신㈜,경력1년,"연봉 4,500 만원 ~ 4,500 만원",서울 강서구 양천로57길 26,딥러닝,"  IT개발·데이터,연구·R&D","S/W 개발자 경력 1~3년 채용 (윈도우, C#/WPF, C/C++)"
20,보은전자방송통신㈜,신입,"연봉 3,700 만원 ~ 3,700 만원",서울 강서구 양천로57길 26,딥러닝,"  IT개발·데이터,연구·R&D","S/W 개발자 신입 채용(윈도우, C#/ WPF, C/ C++, 연봉 3700만)"
21,에이아이테크(주),경력무관,"연봉 8,000 만원 ~ 8,000 만원",경기 평택시 산단로16번길 12,딥러닝,  IT개발·데이터,-
