,기업이름,고용형태,연봉,기업위치,키워드,담당업무,필요역량
0,(주)위플로,신입/경력,회사내규에 따름,서울특별시 마포구 마포대로 122,드론,"회계,세무 - 정부 연구개발 과제 비용 정산 및 관리- 일반적인 회계 및 세무 업무- 비품 및 자산관리- 기타 경영지원 업무","['더존프로그램,엑셀']"
1,(주)윈드위시,경력2년,회사내규에 따름,서울특별시 강서구 마곡중앙8로 14,드론,"S/W 엔지니어,HTML·DHTML 플랫폼 고도화","['Javascript,HTML,PHP,MySQL,UI/UX,']"
2,태건측량엔지니어링주식회사,경력무관,"연봉 2,472만원 ~ 2,472만원",경기도 포천시 신북면 중앙로405번길 10,드론,"1. GIS DB구축을 전문으로하는 측량 및 지도제작 업체입니다. 2. 측지,지적관련 자격증 소지자, CAD활용 가능자와 공간정보 측량업무...","['토목공학,컴퓨터']"
3,제이씨현시스템㈜,경력1년,회사내규에 따름,서울 용산구 새창로45길 74,드론,"상품기획·MD,마케팅·홍보·조사,영업·판매·무역","['드론,동영상 편집,컴퓨터 활용 능력,GIS Pix4D SW']"
4,합자회사한빛,경력1년,"연봉 4,500 만원 이상",경기도 수원시 권선구 세지로140번길 15,드론,캐드도면 작성 드론 사진측량 현황측량 측량관련 자격증 소지자 우대,"['토목공학,워드프로세서,PPT']"
5,"주식회사 엠더블유테크 (MW TECH Co.,Ltd.)",경력3년,"연봉 3,000 만원 ~ 10,000 만원",경기도 남양주시 화도읍 비룡로141번길 60,드론,"드론 탐지 레이다 및 제밍 용 안테나, 3축 제어 보드,펌웨어 설계, 초고주파용 마이크로스트립,웨이브가이드혼어레이안테나 설계, 이...","['제어계측공학,기계공학']"
6,한국교통안전공단,신입/경력,회사내규에 따름,경기도 화성시 송산면 삼존로 200,드론,화성드론자격센터 운영 보조 및 민원 응대/조종자격증 자격시험 업무 보조 및 민원 응대/실기평가과정 운영 보조 및 민원 응대,"['드론조종능력,보조']"
7,(주)스마티,경력2년,회사내규에 따름,경기 성남시 분당구 판교역로 221,드론,IT개발·데이터,"['소프트웨어,전자회로,시스템,드론,통신 중계,정보통신']"
8,(주)포디게이트,신입/경력1년,월급 300 만원 ~ 300만원,경기도 안양시 동안구 시민대로109번길 29,드론,"담당업무ㆍ 드론 프로젝트 (용역사업/연구과제 등) 수행 - 항공촬영, 영화세트장 촬영 - 드론 촬영후 Reality Capture (데이터편집,...","['드론 조종사 자격증,Reality Capture']"
9,주식회사 쉴드론,경력1년,월급 300 만원 이상,서울특별시 금천구 벚꽃로 254,드론,"1. 전자회로 개발 2. DSP, STM32F 칩 사용 펌웨어 개발 3. 제어장치 개발 펌웨어","['임베디드,펌웨어,전자기기,제품 개발']"
10,(주)비씨디이엔씨(BCDenc),경력무관,"연봉 2,500 만원 이상",경기도 양주시 광적면 부흥로 847,드론,당사는 드론개발 및 콘텐츠 제작하는 업체입니다. 아래와 같이 영업 및 관리 사무원 모집합니다. ㆍ영업 : 입찰공고 확인 및 관련 업...,"['드론,워드프로세서']"
