기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량
(주)제이디,경력무관,회사내규에 따름,경기 수원시 권선구 ,로봇 제어, 연구·R&D,자동화 소프트웨어 개발
에이치알코어스,경력3년,회사내규에 따름,서울 용산구,로봇 제어," 산업기계,메카트로닉스,제어 로봇 엔지니어",자동차 로봇 지그 엔지니어 신입/경력직 모집
(주)백운,경력무관,월급 400 만원 이상,경기도 시흥시 봉우재로209번길,로봇 제어," 모집분야 : 산업 운반기계 엔지니어 (기계, 전기) 관리자 3명, 기능직 5명  관리자(PM) 전기(1명), 기계(1명) - 거래처관리...","전장설계, PLC 제어, FA 프로그램 정규직 채용"
(주)티라로보틱스,경력1년,회사내규에 따름,경기 성남시 중원구 ,로봇 제어," 생산,연구·R&D",PCB Artwork 설계
(주)디에스케이,경력2년,회사내규에 따름,경기 안산시 상록구 ,로봇 제어, 생산,단순 생산직
(주) 서보스타,경력3년,"연봉 3,500 만원 ~ 4,000 만원",경기 시흥시 ,로봇 제어, SMC 공압 및 비공압 영업 업무,-
모빈(주),경력1년,회사내규에 따름,경기 수원시 영통구 ,로봇 제어, 생산,-
(주)라인테크솔라,경력2년,회사내규에 따름,경기 화성시,로봇 제어," 건설·건축,연구·R&D",자동화기기 전기제어 신입/경력(다관절로봇 티칭 우대) 모집
주식회사포디아이비젼,경력무관,"연봉 3,000 만원 ~ 6,000 만원",서울특별시 서초구 매헌로16길,로봇 제어, (주)포디아이비젼은 기술 기반 스타트업으로 센서 개발부터 컴퓨터비젼을 적용한 임베디드 시스템 개발을 하고 있습니다. # 3D 빈피킹...,[다관절로봇] 설계/제어/SW 개발자 모집의 건
주식회사포디아이비젼,경력무관,"연봉 2,500 만원 ~ 4,000 만원",서울특별시 서초구 매헌로16길,로봇 제어," [ 담당 업무 ] - 정부 과제 기획 및 관리 - 총무, 회계 - 기획 및 일반 사무 - 정부 보조금 지원 및 관리 [ 지원 자격 ] - 학력 : 대...",기술영업(엔지니어) 경력직 채용
주식회사포디아이비젼,경력무관,"연봉 3,000 만원 ~ 6,000 만원",서울특별시 서초구 매헌로16길,로봇 제어, (주)포디아이비젼은 기술 기반 스타트업으로 센서 개발부터 컴퓨터비젼을 적용한 임베디드 시스템 개발을 하고 있습니다. # 3D 빈피킹...,C/C++/Linux 펌웨어 및 임베디드 엔지니어 모집
주식회사포디아이비젼,경력무관,"연봉 3,000 만원 ~ 10,000 만원",서울특별시 서초구 매헌로16길,로봇 제어, 저희 회사는 기술 기반 스타트업 컴퍼니로 센서 개발부터 컴퓨터비젼을 적용한 임베디드 시스템 개발을 하고 있습니다. 사업영역 확대...,OpenCV/MATLAB/TensorFlow/Python/C/C++/Linux 알고리즘 엔지니어 모집
아비만로보랩 주식회사,경력무관,회사내규에 따름,경기 화성시,로봇 제어, IT개발·데이터,"임베디드 SW 개발(모션제어, 서보드라이버) 신입/경력사원 채용"
(주)휘경시스템,경력무관,월급 207 만원 ~ 207 만원,경기 평택시 ,로봇 제어, 구매·자재·물류,-
주식회사김포산업,경력무관,"연봉 3,500 만원 ~ 5,500 만원",경기도 김포시 통진읍,로봇 제어," - 모집인원 : 2명 (신입, 경력자 상관없음) - 직무내용 : 자동화제어 - 우대조건 : 1. PLC 판넬 CAD 설계, 제작, 설치, 시운전 가능...","자동화 설비 전기, 계전, CAD 및 PLC 프로그램 가능자 채용"
내비간티스코리아유한회사,경력3년,회사내규에 따름,서울 강서구,로봇 제어, 연구·R&D,"로봇 개발 (기계설계, 전장, 제어 분야) 인재 채용"
