기업이름,매출액
스노우(주),"192억 9,483만원"
캐논코리아(주),"7,216억 5,651만원"
현대오토에버(주),"2조 2,408억 1,639만원"
SK매직,"1조 273억 7,756만원"
롯데정보통신(주),"9,901억 4,002만원"
현대오토에버(주),"2조 2,408억 1,639만원"
(주)케이티,"18조 2,892억 4,300만원"
DL이앤씨 주식회사,"5조 2,756억 6,001만원"
(주)포스코에이앤씨건축사사무소,"1,850억 8,101만원"
삼성생명,2조원
GS에너지(주),"3,050억 4,900만원"
현대위아(주),"7조 3,146억 2,600만원"
현대자동차(주),"49조 1,556억 9,300만원"
한국타이어앤테크놀로지(주),"3조 4,717억 738만원"
LG디스플레이(주),"24조 1,311억 7,200만원"
한화시스템(주),"2조 1,874억 567만원"
현대오토에버(주),"2조 2,408억 1,639만원"
현대자동차(주),"49조 1,556억 9,300만원"
SK플래닛 Tacademy,"2,778억 6,713만원"
한국마이크로소프트(유),"1조 3,698억 3,011만원"
현대자동차(주),"49조 1,556억 9,300만원"
현대커머셜(주),"3,863억 7,734만원"
고려대학교의료원,"1조 3,269억 2,580만원"
(주)카카오엔터테인먼트,"1조 2,925억 2,663만원"
(주)사피온코리아,"24억 7,937만원"
(주)포스코퓨처엠,"3조 412억 8,702만원"
(주)한화컨버전스,"1,081억 2,195만원"
롯데멤버스(주),"785억 9,769만원"
(주)엘지유플러스,"12조 7,815억 6,900만원"
삼성SDI(주),"17조 4,582억 9,361만원"
(주)퍼플아이오,"45억 5,334만원"
씨제이대한통운(주),"8조 2,146억 5,386만원"
한국마이크로소프트(유),"1조 3,698억 3,011만원"
현대자동차(주),"49조 1,556억 9,300만원"
지멘스(주),"4,179억 9,731만원"
한화솔루션(주),"9조 6,863억 9,946만원"
현대자동차(주),"49조 1,556억 9,300만원"
씨제이대한통운(주),"8조 2,146억 5,386만원"
(주)에스앤아이코퍼레이션,"7,358억 1,800만원"
(주)한화,"3조 8,799억 2,548만원"
(주)엑스엘게임즈,"178억 7,603만원"
LX인터내셔널,"4조 1,083억 6,228만원"
현대자동차(주),"49조 1,556억 9,300만원"
LG전자(주),"27조 7,917억 4,600만원"
현대자동차(주),"49조 1,556억 9,300만원"
씨제이푸드빌(주),"6,421억 8,656만원"
(주)카카오엔터테인먼트,"1조 2,925억 2,663만원"
LG전자(주),"27조 7,917억 4,600만원"
라인플러스,"5,793억 2,700만원"
현대위아(주),"7조 3,146억 2,600만원"
현대위아(주),"7조 3,146억 2,600만원"
현대위아(주),"7조 3,146억 2,600만원"
현대위아(주),"7조 3,146억 2,600만원"
현대위아(주),"7조 3,146억 2,600만원"
현대위아(주),"7조 3,146억 2,600만원"
현대트랜시스(주),"7조 5,601억 6,900만원"
현대자동차(주),"49조 1,556억 9,300만원"
현대자동차(주),"49조 1,556억 9,300만원"
현대자동차(주),"49조 1,556억 9,300만원"
한화비전(주),"8,040억 8,711만원"
라인플러스,"5,793억 2,700만원"
CJ제일제당(주),"7조 8,426억 6,287만원"
자이C&A,"1조 4,207억 7,900만원"
(주)드림어스컴퍼니,"2,577억 1,468만원"
(주)카카오엔터테인먼트,"1조 2,925억 2,663만원"
현대자동차(주),"49조 1,556억 9,300만원"
현대자동차(주),"49조 1,556억 9,300만원"
유안타증권 주식회사,"1조 910억 6,913만원"
현대자동차(주),"49조 1,556억 9,300만원"
현대자동차(주),"49조 1,556억 9,300만원"
(주)카카오모빌리티,"6,209억 8,026만원"
(주)드림어스컴퍼니,"2,577억 1,468만원"
한화시스템(주),"2조 1,874억 567만원"
씨제이올리브네트웍스(주),"6,652억 2,925만원"
(주)한화,"3조 8,799억 2,548만원"
르노코리아자동차 주식회사,"4조 8,619억 5,833만원"
가천대학교 (글로벌),"2,451억 6,404만원"
(주)카카오페이,"4,827억 6,897만원"
(주)엘지유플러스,"12조 7,815억 6,900만원"
넷마블컴퍼니(주),"9,626억 479만원"
현대자동차(주),"49조 1,556억 9,300만원"
씨제이푸드빌(주),"6,421억 8,656만원"
에스케이텔레콤(주),"12조 4,145억 8,800만원"
씨제이대한통운(주),"8조 2,146억 5,386만원"
카카오페이증권(주),"581억 2,236만원"
(주)드림어스컴퍼니,"2,577억 1,468만원"
삼성SDI(주),"17조 4,582억 9,361만원"
라인플러스,"5,793억 2,700만원"
에쓰-오일토탈에너지스윤활유 주식회사,"3,595억 6,888만원"
현대자동차(주),"49조 1,556억 9,300만원"
(주)두산 전자사업부,"1조 5,493억 3,593만원"
지멘스(주),"4,179억 9,731만원"
삼성서울병원,"1조 6,958억 5,205만원"
효성인포메이션시스템(주),"2,085억 408만원"
DL이앤씨 주식회사,"5조 2,756억 6,001만원"
서울대학교,"8,080억 232만원"
라인플러스,"5,793억 2,700만원"
현대트랜시스(주),"7조 5,601억 6,900만원"
씨제이올리브네트웍스(주),"6,652억 2,925만원"
