기업이름,고용형태,연봉,기업주소,키워드,기업형태,사원수,매출액,인덱스
테크웨이즈,신입 · 경력 · 정규직,면접 후 결정,"경기 용인시 수지구 광교중앙로 338, C동 9층 (상현동,우미뉴브)",자율주행,"중소기업, 스타트업, 외부감사법인, 주식..",73,-,1
현대오토에버,신입 · 경력 · 정규직,면접 후 결정,서울 강남구 테헤란로 510,자율주행,"코스피, 대기업, 1000대기업, 외부감사법..업종응용 소프트웨어 개발 및 공급업",4871,-,2
디지트론,신입 · 경력 · 정규직 외,회사내규에 따름,"경기 성남시 분당구 판교로 697, A동 701호 (야탑동,분당테크노파크)",자율주행,"중소기업, 주식회사, 외부감사법인, 연구..업종그 외 기타 전자부품 제조업",83,-,3
엑스와이지,신입 · 정규직,면접 후 결정,-,자율주행,"중소기업, 주식회사설립일*",-,-,4
에이치엘클레무브,신입 · 경력 · 정규직,면접 후 결정,인천 연수구 하모니로 224,자율주행,"대기업, 1000대기업, 주식회사, 병역특례..업종그 외 자동차용 신품 부품 제조업",1114,1조,5
보스반도체,경력 5년↑ · 정규직,면접 후 결정,"경기 성남시 분당구 판교로255번길 24, 3층",자율주행,중소기업업종비메모리용 및 기타 전자집적회로 제조업,61,-,6
현대자동차,경력 7년↑,면접 후 결정,서울 서초구 헌릉로 12,자율주행,"코스피, 대기업, 1000대기업, 외부감사법..업종승용차 및 기타 여객용 자동차 제조업",68427,-,7
보스반도체,신입 · 경력 · 정규직,면접 후 결정,"경기 성남시 분당구 판교로255번길 24, 3층",자율주행,중소기업업종비메모리용 및 기타 전자집적회로 제조업,61,-,8
보스반도체,신입 · 경력 · 정규직,면접 후 결정,"경기 성남시 분당구 판교로255번길 24, 3층",자율주행,중소기업업종비메모리용 및 기타 전자집적회로 제조업,61,-,9
에스유엠,경력무관 · 정규직,면접 후 결정,"경기 시흥시 배곧2로 82, 301호 (배곧동,미래모빌리티기술센터)",자율주행,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",36,-,10
티라로보틱스,1 ~ 10년 · 정규직,면접 후 결정,"경기 성남시 중원구 둔촌대로 388, 304호 (상대원동,크란츠테크노)",자율주행,"중소기업, 주식회사업종그 외 기타 특수목적용 기계 제조업",45,-,11
테크윙,3 ~ 10년 · 정규직,면접 후 결정,경기 화성시 동탄산단6길 37,자율주행,"코스닥, 주식회사업종반도체 제조용 기계 제조업",505,-,12
코가로보틱스,경력무관 · 정규직,면접 후 결정,"서울 성동구 왕십리로 222, 516호",자율주행,"중소기업, 주식회사, 연구소업종응용 소프트웨어 개발 및 공급업",49,-,13
하이콘소프트,경력무관 · 정규직 외,면접 후 결정,"서울 강서구 마곡중앙로 165, 13층 1303호 (마곡동,마곡나루역프라이빗타워1)",자율주행,"중소기업, 주식회사업종컴퓨터시스템 통합 자문 및 구축 서비스업",63,"54억 5,000만",14
주식회사잇츠센서,신입 · 경력 · 정규직,면접 후 결정,"대구 달서구 월곡로 260, 7층 (상인프라자)",자율주행,"중소기업, 주식회사업종솔루션·SI·ERP·CRM설립일",-,-,15
앤씨앤,신입 · 경력 · 정규직,면접 후 결정,경기 성남시 분당구 판교로 323,자율주행,"코스닥, 외부감사법인, 수출입 기업업종기타 반도체소자 제조업",141,-,16
트리즈엔지니어링,신입 · 경력 · 정규직,면접 후 결정,경기 화성시 동탄산단5길 10-12,자율주행,"중소기업, 주식회사업종기타 엔지니어링 서비스업",24,"23억 5,687만",17
에스더블유엠,경력 5년↑ · 정규직,면접 후 결정,"경기 안양시 동안구 시민대로327번길 28, 5,6층",자율주행,"중소기업, 연구소, 주식회사, 병역특례 ..업종응용 소프트웨어 개발 및 공급업",176,-,18
보스반도체,신입 · 경력 · 정규직,면접 후 결정,"경기 성남시 분당구 판교로255번길 24, 3층",자율주행,중소기업업종비메모리용 및 기타 전자집적회로 제조업,61,-,19
오토노머스에이투지,경력무관 · 계약직,"월급 250 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 2,060,740원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다","경북 경산시 가마실길 50, 201호",자율주행,"중소기업, 연구소, 주식회사, 병역특례 ..",133,-,20
모빌테크,신입 · 경력 · 계약직,면접 후 결정,"서울 서초구 마방로 28, 3층, 5층",자율주행,"스타트업, 연구소, 주식회사, 병역특례 ..업종전기ㆍ전자공학 연구개발업",108,"64억 6,905만",21
네이버랩스,신입 · 인턴직,면접 후 결정,"경기 성남시 분당구 정자일로 95, 18층",자율주행,"대기업, 1000대기업, 외부감사법인, 연구..업종그 외 기타 정보 서비스업",226,-,22
한밭대학교산학협력단,경력무관 · 교육생,면접 후 결정,대전 유성구 동서대로 125,자율주행,"기타, 학교/교육기관업종기타 공학 연구개발업",149,-,23
반프,신입 · 경력 · 정규직,면접 후 결정,"서울 강남구 역삼로 175, 3층 (역삼동,현승빌딩)",자율주행,"중소기업, 주식회사, 수출입 기업업종전자감지장치 제조업",17,"1억 2,360만",24
에이치엘클레무브,신입 · 경력 · 정규직,면접 후 결정,인천 연수구 하모니로 224,자율주행,"대기업, 1000대기업, 주식회사, 병역특례..업종그 외 자동차용 신품 부품 제조업",1114,1조,25
엑스와이지,경력 5년↑ · 정규직,면접 후 결정,-,자율주행,"중소기업, 주식회사설립일*",-,-,26
