기업이름,고용형태,연봉,기업주소,키워드,기업형태,사원수,매출액
미디어젠(주),신입 · 경력 · 정규직,면접 후 결정,"경기 성남시 분당구 성남대로331번길 8, 11층 1103호",딥러닝,"코스닥, 중소기업, 외부감사법인, 연구소..업종응용 소프트웨어 개발 및 공급업",189,-
(주)에스피파트너스,신입 · 경력 · 정규직,면접 후 결정,"경북 경산시 펜타힐즈2로 59, 802호",딥러닝,"중소기업, 주식회사업종시스템 소프트웨어 개발 및 공급업",22,"34억 5,777만"
디아이티(주),신입 · 경력 · 정규직,면접 후 결정,경기 화성시 정남면 가장로 355-26,딥러닝,"코스닥, 중소기업, 외부감사법인, 병역특..업종디스플레이 제조용 기계 제조업",194,-
(주)코난테크놀로지,신입 · 경력 · 정규직,회사내규에 따름,"서울 서초구 강남대로 327, 6층, 7층, 9층 (서초동,대륭서초타워)",딥러닝,"코스닥, 중소기업, 외부감사법인, 주식회..업종응용 소프트웨어 개발 및 공급업",270,-
(주)뷰온,경력무관 · 정규직,면접 후 결정,"서울 금천구 가산디지털1로 128, 806호, 807호, 808호",딥러닝,"중소기업, 병역특례 인증업체업종기타 광학기기 제조업",43,"77억 9,954만"
(주)아이브릭스,신입 · 경력 · 정규직,면접 후 결정,"경기 성남시 분당구 판교로255번길 62, 6층",딥러닝,"중소기업, 주식회사, 병역특례 인증업체업종시스템 소프트웨어 개발 및 공급업",79,-
(사)한국아이씨티기술협회,경력무관 · 교육생,면접 후 결정,"서울 마포구 백범로 23, 3층, 지하1층 7호, 9호",딥러닝,"중소기업, 사단법인, 비영리단체/협회업종기타 기술 및 직업훈련학원설립일",-,-
한화로보틱스(주),3 ~ 10년 · 정규직,회사내규에 따름,"경기 성남시 분당구 판교로 323 (삼평동,벤처포럼벤처타워)",딥러닝,"대기업, 주식회사, 수출입 기업업종산업용 로봇 제조업",81,-
(주)에프엠커뮤니케이션즈,경력 · 정규직,면접 후 결정,서울 서초구 반포대로22길 34,딥러닝,"중소기업, 주식회사업종전시, 컨벤션 및 행사 대행업",125,-
(주)크래프트테크놀로지스,경력 1년↑ · 정규직,면접 후 결정,"서울 영등포구 국제금융로 10, 30층",딥러닝,"중소기업, 스타트업, 주식회사, 병역특례..업종응용 소프트웨어 개발 및 공급업",75,-
(주)메가젠임플란트,경력 2년↑ · 정규직,면접 후 결정,대구 달성군 다사읍 세천로7길 45,딥러닝,"중견기업, 외부감사법인, 주식회사, 수출..업종치과용 기기 제조업",700,"2,119억 7,765만"
(주)오누이,신입 · 경력 · 정규직 외,면접 후 결정,"서울 마포구 연희로 11, 4층 (동교동,한국특허정보원빌딩)",딥러닝,"중소기업, 스타트업, 주식회사업종기타 교육지원 서비스업",89,-
(주)딥인사이트,경력 2년↑ · 정규직,면접 후 결정,"경기 성남시 분당구 대왕판교로 660, 7층 비-702호 (삼평동,유스페이스1)",딥러닝,"중소기업, 연구소, 주식회사업종컴퓨터 프로그래밍 서비스업",33,11억
대전대학교,경력무관 · 교육생,면접 후 결정,대전 동구 대학로 62 대전대학교,딥러닝,학교/교육기관업종교육업,504,-
(주)패턴앤,경력무관 · 정규직,면접 후 결정,"대구 북구 대학로 80, 창업보육센터 306호 (산격동,경북대학교)",딥러닝,중소기업업종응용 소프트웨어 개발 및 공급업,5,-
(주)마이렌,경력(년수무관) · 정규직 외,면접 후 결정,"충남 천안시 서북구 천안천4길 32, 412호 (와촌동,그린스타트업타운)",딥러닝,"중소기업, 주식회사, 수출입 기업업종응용 소프트웨어 개발 및 공급업",10,"4억 3,000만"
더모임컴퍼니(주),2 ~ 3년 · 정규직,면접 후 결정,-,딥러닝,"중소기업, 주식회사홈페이지",-,-
