기업이름,고용형태,연봉,기업주소,키워드,기업형태,사원수,매출액
(주)디지트론,신입 · 경력 · 정규직 외,회사내규에 따름,"경기 성남시 분당구 판교로 697, A동 701호 (야탑동,분당테크노파크)",드론,"중소기업, 주식회사, 외부감사법인, 연구..업종그 외 기타 전자부품 제조업",83,-
전문건설공제조합기술교육원,신입 · 경력 · 교육생,면접 후 결정,충북 음성군 금왕읍 609,드론,-,-,-
(주)프리뉴,경력 2년↑ · 정규직,면접 후 결정,"경기 안산시 단원구 산단로 325, 에프-501호,502호,503호,513호,514호,854호 (신길동,리드스마트스퀘어지)",드론,"중소기업, 주식회사업종항공기용 부품 제조업",88,"53억 9,290만"
(주)케이엠티,경력 3년↑ · 정규직,면접 후 결정,대전 유성구 테크노2로 120-7,드론,"중소기업, 주식회사, 수출입 기업업종무인 항공기 및 무인 비행장치 제조업설립일",-,-
한국자동차연구원,경력무관 · 계약직,면접 후 결정,충남 천안시 동남구 풍세면 풍세로 303,드론,"기타, 비영리단체/협회업종기타 엔지니어링 서비스업",802,-
플레이코딩유한책임회사,경력 1년↑ · 정규직,면접 후 결정,"충남 천안시 서북구 백석공단1로 10, A동 906호",드론,"중소기업, 사단법인, 협동조합업종기타 교육지원 서비스업",10,10조
현대자동차(주),경력 5년↑,면접 후 결정,서울 서초구 헌릉로 12,드론,"코스피, 대기업, 1000대기업, 외부감사법..업종승용차 및 기타 여객용 자동차 제조업",68427,-
현대자동차(주),경력 5년↑,면접 후 결정,서울 서초구 헌릉로 12,드론,"코스피, 대기업, 1000대기업, 외부감사법..업종승용차 및 기타 여객용 자동차 제조업",68427,-
현대자동차(주),경력 3년↑,면접 후 결정,서울 서초구 헌릉로 12,드론,"코스피, 대기업, 1000대기업, 외부감사법..업종승용차 및 기타 여객용 자동차 제조업",68427,-
태경전자(주),경력 2년↑ · 정규직,면접 후 결정,경기 안양시 동안구 귀인로 15,드론,중소기업업종그 외 기타 전자부품 제조업,26,-
(주)네스앤텍,경력무관 · 정규직,면접 후 결정,대전 유성구 테크노11로 32,드론,"중소기업, 스타트업, 주식회사, 병역특례..업종무인 항공기 및 무인 비행장치 제조업",18,"120억 7,458만"
(주)아세아텍,신입 · 경력 · 정규직,면접 후 결정,대구 달성군 유가읍 비슬로96길 11,드론,"코스닥, 외부감사법인, 주식회사, 수출입..업종농업 및 임업용 기계 제조업",267,-
윈디텍(주),신입 · 경력 · 정규직,면접 후 결정,"대전 유성구 테크노중앙로 47, 713호",드론,중소기업업종기타 엔지니어링 서비스업설립일,-,-
(주)하이텍알씨디코리아,신입 · 경력 · 정규직,면접 후 결정,"서울 금천구 가산디지털1로 19, 1908호 (가산동,대륭테크노타운18차)",드론,"외부감사법인, 수출입 기업업종레이더, 항행용 무선기기 및 측량기구 제..",34,-
지오캡쳐,신입 · 경력 · 정규직,면접 후 결정,-,드론,"중소기업업종기타 측정, 시험, 항해, 제어 및 정밀기..홈페이지",-,-
로보스텍,경력(년수무관) · 정규직 외,면접 후 결정,부산 기장군 기장읍 읍내로15번길 11,드론,"중소기업, 주식회사업종주형 및 금형 제조업",10,10억
(주)프리뉴,경력 1년↑ · 정규직,면접 후 결정,"경기 안산시 단원구 산단로 325, 에프-501호,502호,503호,513호,514호,854호 (신길동,리드스마트스퀘어지)",드론,"중소기업, 주식회사업종항공기용 부품 제조업",88,"53억 9,290만"
(주)프리뉴,신입 · 경력 · 정규직,면접 후 결정,"경기 안산시 단원구 산단로 325, 에프-501호,502호,503호,513호,514호,854호 (신길동,리드스마트스퀘어지)",드론,"중소기업, 주식회사업종항공기용 부품 제조업",88,"53억 9,290만"
(주)네드솔루션스,신입 · 경력 · 정규직,면접 후 결정,"대전 유성구 테크노중앙로 47, 713호",드론,중소기업업종기타 엔지니어링 서비스업설립일,-,-
베셀에어로스페이스(주),신입 · 경력 · 정규직,면접 후 결정,경기 수원시 권선구 산업로155번길 281,드론,"중소기업, 연구소, 주식회사, 병역특례 ..업종유인 항공기, 항공우주선 및 보조장치 제..",110,"24억 8,520만"
(재)전남테크노파크,경력 3년↑ · 정규직,면접 후 결정,전남 순천시 해룡면 율촌산단4로 13,드론,기타업종비주거용 건물 임대업,5,-
(주)한컴어썸텍,경력무관 · 정규직,면접 후 결정,"대전 유성구 유성대로1689번길 70, 케이티대덕2연구센터 연구3동 504호",드론,"중소기업, 주식회사, 수출입 기업업종산업용 로봇 제조업",8,"8억 1,461만"
글로벌산업기술교육원,경력무관 · 위촉직 외,"시급 15,000원","서울 금천구 시흥대로 422, B1,4,5,6층",드론,"중소기업, 학교/교육기관업종기타 기술 및 직업훈련학원",10,10억
(주)프리뉴,경력 2년↑ · 정규직,면접 후 결정,"경기 안산시 단원구 산단로 325, 에프-501호,502호,503호,513호,514호,854호 (신길동,리드스마트스퀘어지)",드론,"중소기업, 주식회사업종항공기용 부품 제조업",88,"53억 9,290만"
(주)아세아텍,경력무관 · 정규직,면접 후 결정,대구 달성군 유가읍 비슬로96길 11,드론,"코스닥, 외부감사법인, 주식회사, 수출입..업종농업 및 임업용 기계 제조업",267,-
(주)아크로사,경력무관 · 계약직,"시급 10,000원","경기 수원시 권선구 호매실로90번길 24, 247호,248호 (호매실동,수원프리마비즈타워)",드론,"중소기업, 주식회사업종무인 항공기 및 무인 비행장치 제조업",4,-
(주)헬셀,경력무관 · 정규직 외,면접 후 결정,"경기 하남시 미사대로 520, 현대지식산업센터 한강미사2차 디에이동 323호,324호,325호",드론,"중소기업, 연구소, 주식회사, 수출입 기업업종항공기용 부품 제조업",21,-
