,기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량
0,(주)에이알247,경력(연차무관),"6,000~7,000"," 경기도 성남시 분당구 성남대로 69 (구미동,로드랜드EZ타워) 1층",자율주행,"빅데이터·AI(인공지능), 응용프로그래머, 소프트웨어·하드웨어","['자율주행', 'C', 'Tracking', 'SW', 'Camera', '인공지능', 'ROS', '석사', '시스템', 'Lidar', 'Object Detection', '알고리즘', '박사', 'Object Segmentation']"
1,쓰리핸즈,경력1~5년,," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"소프트웨어·하드웨어, 게임(Game), 응용프로그래머","['플랫폼', '자율주행', '로보틱스', '서비스', 'SW', 'QA', '소프트웨어공학', '리눅스', 'ROS', 'Linux', '시스템', 'Python', '컴퓨터공학', '소통', '알고리즘']"
2,매버릭컨설팅(주),경력8~22년,," 서울특별시 서초구 강남대로 309 2016호(서초동,코리아비지니스센타)",자율주행,경영·기획·전략,"['자율주행', 'ADAS']"
3,현대자동차(주),경력(연차무관),, 서울특별시 서초구 헌릉로 12 (양재동),자율주행,"빅데이터·AI(인공지능), 품질관리, 기계·금속·재료","['네트워크', '자율주행', '대회', 'SW', '센서', '전자', '마이크로프로세서', '동역학', '전자회로', '컴퓨터', '기계공학', '프로젝트', '이미지센서', '아키텍처', '전기', '신호처리', '딥러닝', '센서퓨전', 'Simulink', '자동차공학', '영상처리', '알고리즘', 'C', 'Vector', '운영체제', 'Matlab', 'Tool', 'dSPACE', '레이더', '영어', '컴퓨터공학', '제어', '학사', '시스템', 'Python', '임베디드', '소통', '로봇공학']"
4,현대자동차(주),경력(연차무관),, 서울특별시 서초구 헌릉로 12 (양재동),자율주행,"빅데이터·AI(인공지능), ERP·시스템분석·설계","['네트워크', '자율주행', '대회', 'SW', '센서', '전자', '마이크로프로세서', '동역학', '전자회로', '컴퓨터', '기계공학', '프로젝트', '구동부', '아키텍처', '전기', '신호처리', '딥러닝', '센서퓨전', 'Simulink', '자동차공학', '제어부', '영상처리', 'C', 'Vector', '운영체제', 'Matlab', 'Tool', 'dSPACE', '레이더', '영어', '컴퓨터공학', '제어', '학사', '시스템', 'Python', '임베디드', '소통', '로봇공학']"
5,(주)에이알247,신입/경력(연차무관),"5,000~10,000"," 경기도 성남시 분당구 성남대로 69 (구미동,로드랜드EZ타워) 1층",자율주행,"소프트웨어·하드웨어, 응용프로그래머","['자율주행', 'SLAM', 'SW', '시스템', 'Lidar']"
6,(주)에이알247,경력(연차무관),," 경기도 성남시 분당구 성남대로 69 (구미동,로드랜드EZ타워) 1층",자율주행,"빅데이터·AI(인공지능), 응용프로그래머, 소프트웨어·하드웨어","['자율주행', 'C', 'LiDAR', 'SW', 'ai', 'Camera', 'Lidar', 'Object Detection']"
7,쓰리핸즈,경력1~6년,," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"소프트웨어·하드웨어, 게임(Game), 응용프로그래머","['플랫폼', '자율주행', 'SW', 'QA', '시스템', 'Python', '데이터']"
8,현대자동차(주),경력7년↑,, 서울특별시 서초구 헌릉로 12 (양재동),자율주행,"빅데이터·AI(인공지능), 소프트웨어·하드웨어, 전산·IT기술지원","['네트워크', '자율주행', '대회', 'SW', '센서', '전자', '마이크로프로세서', '동역학', '전자회로', '컴퓨터', '기계공학', '프로젝트', '아키텍처', '전기', '신호처리', '딥러닝', '센서퓨전', 'Simulink', '자동차공학', '회화', '데이터', '영상처리', '알고리즘', 'C', 'Vector', '운영체제', 'Matlab', 'Tool', 'dSPACE', '영어', 'Computer Vision', '컴퓨터공학', '제어', 'DSP', 'Embedded', '학사', '시스템', 'Python', '임베디드', '소통', '로봇공학']"
9,매버릭컨설팅(주),경력3~23년,," 서울특별시 서초구 강남대로 309 2016호(서초동,코리아비지니스센타)",자율주행,"기계·금속·재료, 전자·반도체","['자율주행', 'Radar', 'Platform']"
10,쓰리핸즈,경력2~10년,," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"소프트웨어·하드웨어, 응용프로그래머","['자율주행', '전자', '석사', '컴퓨터', 'ROS', '전기', '알고리즘', 'C', '운영체제', '경로 계획', '프로그래밍', '영어', '커뮤니케이션', '플랫폼', '제어', 'Embedded', '학사', 'Control', 'Linux', '시스템', '문서']"
11,쓰리핸즈,경력3~6년,," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"소프트웨어·하드웨어, 응용프로그래머","['adas', '자율주행', '클러스터링', '센서', '석사', 'camera', 'Geometry', 'Tracking', '통계', 'ROS', '자료구조', '데이터', '알고리즘', 'C', 'Camera', '프로그래밍', '확률', '수학', '플랫폼', '트리', 'AI', '시스템', 'ML', '박사']"
12,쓰리핸즈,경력3~8년,," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"소프트웨어·하드웨어, 응용프로그래머","['플랫폼', '자율주행', '프로젝트', '서비스', 'Control', 'IT', '커뮤니케이션']"
13,코가로보틱스(주),신입/경력(연차무관),," 서울특별시 성동구 왕십리로 222 516호(사근동,한양대학교 에이치아이티)",자율주행,"빅데이터·AI(인공지능), 소프트웨어·하드웨어",['자율주행']
