,기업이름,담당업무,연봉,고용형태,키워드,기업주소,필요역량
0,(주)커리어케어,빅데이터·AI(인공지능),,경력3년↑,딥러닝," 서울특별시 강남구 테헤란로87길 35 5-8층 (삼성동,씨엔드에치빌딩) 커리어케어 ","


머신러닝, 딥러닝 경력  채용 - 인크루트 채용

















우리 회사를 한 줄로 표현해주세요

머신러닝, 딥러닝 경력  채용


우리 회사에 대해 4줄 이내로 소개해주세요


모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




Machine Learning• 신약 개발 관련 인공지능 모델 구현
• 데이터 큐레이션 및 데이터에 맞는 최적의 학습방법 고도화
• 인공지능 최신 논문 서치 및 세미나, 관련 내용 구현
• 기 구축 된 인공 지능 모델 튜닝 및 제품/서비스 화• 컴퓨터 공학과 혹은 관련학과 졸업자
• 빠르게 성장하는 스타트업에서 능동적이고 자기주도적으로 업무를 꼼꼼하게 처리 하시는 분
• 머신러닝 / 딥러닝 관련 프로젝트를 하나 이상 end-to-end로 수행해 보신분
• 머신러닝 / 딥러닝 관련 오픈 소스 및 관련 논문 파악에 무리가
없으신 분
• 여러 딥러닝 프레임워크 활용 및 python 코드 구현에 능숙하신
분
• 문제에 봉착했을 때 이를 끝까지 해결해내는 근성을 가지신 분(Get
things done.)우대사항• 머신러닝/딥러닝 관련 전공 (석사
이상)• 머신러닝 / 딥러닝 분야 3년
이상 경력• 머신러닝 / 딥러닝 프로젝트 리딩 경력• 다양한 머신러닝/딥러닝 모델 구현 경험 및 모델을 직접 튜닝하여
새로운 도메인에 적용해 본 경험• 딥러닝 모델 제품/서비스화 경험• CS 탑 논문 발표 경험
(NIPS, ICML, KDD, AAAI, IJCAI, ACL, NAACL, EMNLP 등)• 제약/바이오/화학/메디컬 필드 지식 소유자
• 영어 (Written/Verbal) 능통자


근무조건
고용형태: 정규직급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
1,(주)메디픽셀,"응용프로그래머, 빅데이터·AI(인공지능)",,경력5년↑,딥러닝," 서울특별시 마포구 양화로 61 7층 (서교동,두암빌딩) ","


[메디픽셀] 딥러닝 & SW 개발 엔지니어 채용 - 인크루트 채용
















(주)메디픽셀
[메디픽셀] 딥러닝 & SW 개발 엔지니어 채용



모집부문 및 자격요건






담당업무
자격요건
인원





[담당업무]ㆍ 의료 도메인 관련 제어 알고리즘 개발ㆍ 의료 영상 (Angiograthy) Al 딥러닝 알고리즘 개발ㆍ 업무 관련 논문 이해 및 구현ㆍ 프로젝트 기획 및 관리


[자격요건]ㆍ 경력 5년 이상ㆍ Deep learning framework에 대한 이해가 있으신 분ㆍ C++, python 개발 경험이 있으신 분[우대사항]ㆍ관련 학과 석사 이상 학위(컴퓨터공학, 로봇제어)ㆍDeep learning framework에 대한 Contributor 수준의 구현ㆍ의료영상분야 개발 경력이 있으신 분ㆍROS 관련 개발 경험이 있으신 분

0 명





근무조건
고용형태: 정규직(수습기간3개월)근무부서: 제어팀급여조건: 연봉 협의 후 결정메디픽셀 채용에 관해 더 자세히 알고싶으신 분들은 메디픽셀 채용페이지를 참조하세요.


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서포트폴리오


접수방법
채용시
접수방법: 인크루트 채용시스템, 자사 홈페이지접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.














"
2,(주)유비소시어스,응용프로그래머,,경력6년↑,딥러닝," 서울특별시 금천구 가산디지털2로 123 월드메르디앙2차 1110호, 1116호 ","


[딥러닝개발] 전자부품 전문기업, 딥러닝 AI 알고리즘 개발 경력자 모집 - 인크루트 채용














전자부품 전문기업, 딥러닝 AI 알고리즘 개발 경력자 모집본 공고에 지원하시면 성심성의껏 진행하겠습니다.




모집부문 및 자격요건






모집부문담당업무자격요건 및 우대사항인원




딥러닝기반AI 알고리즘 개발[포지션]- 코스피상장사 중견기업 전장연구팀, 직급 협의[담당업무]- Linux OS 기반의 S/W Program 설게- 딥러닝 기반의 AI 알고리즘 개발 및 관리- 운전자모니터링 영상처리 알고리즘 개발

- 대졸이상- 관련경력 6년이상 보유자- C, C++ SW Program 개발 가능자[우대사항]- Linux OS 기반의 S/W 개발 경험자 우대- 딥러닝 기반의 AI 알고리즘 개발에 대한 이해가 높은자 우대[기타사항]- 정규직, 주 5일 근무- 근무지역 : 서울 구로 온수역 근처

0 명





근무조건
고용형태: 정규직 주 5일 근무 근무지: 서울 구로근무부서: 연구팀급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접전형 > 최종심사 > 최종합격


접수방법
채용시 마감
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서, 자유양식담당자 : 오기범 파트너(전무)연락처 : ***-****-****이메일 : linkhuman@naver.com******@*******.*** / gboh@ubsocius.com******@*******.***


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.














"
3,글로빛주식회사,"대학(교)강사·교수, 교육·교재개발",,신입/경력(연차무관),딥러닝," 서울특별시 서초구 사임당로 174 (서초동,강남미래타워) ","


글로빛논문컨설팅 빅데이터 분석,AI(머신러닝,딥러닝)박사 모집 - 인크루트 채용















   글로빛논문컨설팅                                 *빅데이터분석,AI(머신러닝,딥러닝),메타분석 가능한 박사님을 모십니다.     모집부문 및 자격요건






담당업무
자격요건
인원





[담당업무]**빅데이터분석,AI(머신러닝,딥러닝),메타분석[근무부서 및 직급/직책]직급/직책: 임시직/프리랜서


[자격요건]경력사항: 신입, 경력(연차무관)학력사항: 박사졸업 이상

00 명





근무조건
고용형태: 계약직(근무기간 협의 후 결정, 정규직 전환검토), 프리랜서(근무기간 협의 후 결정, 정규직 전환검토)급여조건: 건별 회사내규


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류제출서류 : 이력서, 자기소개서, 연구실적 리스트, 박사학위증


접수방법
채용시
접수방법: 이메일 (glow_beam@naver.com******@*******.***),인크루트 시스템접수양식: 자사양식


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.











"
4,(주)위드브레인,"소프트웨어·하드웨어, 응용프로그래머, 데이터베이스·DBA",,경력4~11년,딥러닝," 서울특별시 강남구 테헤란로 327 402호 (역삼동,빅토리아오피스텔) ","


머신러닝/딥러닝-영상인식 / 머신비젼 / AI-SW개발자 채용 - 인크루트 채용
















머신러닝 / 딥러닝
.영상인식,머신비젼,AI-SW개발자   채용



모집부문 및 자격요건






담당업무
자격요건
인원





[담당업무]머신러닝 / 딥러닝 : 영상인식 / 머신비젼 / AI용 SW개발 / DB구축[근무부서 및 직급/직책]근무부서: R&D팀직급/직책: 대리, 과장


[자격요건]경력사항: 경력(4년 이상 11년 이하)학력사항: 대학교(4년)졸업 이상직무기술: 머신러닝기타: 필수 : 관련 경력 4년 이상 / 4년제 대졸이상우대 : Python 능숙자 (중급이상)

1 명





근무조건
고용형태: 정규직근무부서: R&D팀급여조건: 연봉 회사내규


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템, 이메일접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.














"
5,주식회사 경연파트너스,"경영·기획·전략, 응용프로그래머, ERP·시스템분석·설계",,경력9~20년,딥러닝," 서울특별시 금천구 디지털로9길 46 (가산동,이앤씨드림타워7차) ","


지도데이터 전문기업 딥러닝센터 센터장 모집 - 인크루트 채용













[주요업무]• 딥러닝 기반 지도 기술, 연구 프로젝트 관리, 연구개발계획 등 융합기술센터 총괄• 자사 딥러닝 기술 센터 리딩[자격요건]• 경력 9년 이상• 연구 조직 또는 유사한 조직 총괄 경험자 또는 기술 사업화 경험자• 비즈니스 수준 영어 구사• 높은 커뮤니케이션 역량• 새로운 기술에 대한 높은 관심도[우대사항]• 개발 경험 (딥러닝, 웹개발)• 석/박사학위 수여자• 유사 업무 경험자






"
6,주식회사 딥브레인에이아이,빅데이터·AI(인공지능),,경력3년↑,딥러닝, 서울특별시 강남구 역삼로7길 6 성룡빌딩 ,"


[인공지능기업] 머신러닝/딥러닝 엔지니어 경력 모집 - 인크루트 채용
















주식회사 머니브레인
[인공지능기업] 머신러닝/딥러닝 엔지니어 경력 모집



모집부문 및 자격요건
담당업무자격요건인원
[담당업무]- 영상처리 알고리듬(모델)개발(특히, 사람의 얼굴, 신체 관련)(landmark detection, 3D reconstraction,image restruction 등)[근무부서 및 직급/직책]직급/직책: 팀원

[자격요건]- 학력: 대학원(석사)이상- 경력: 3년 이상- 알고리즘(모델)에 기반한 영상처리 및   컴퓨터 그래픽 전공자 또는 경력자- 파이썬/C/C++및 영상처리 라이브러리   (ffmpeg,opencv, dlib등) 사용 개발 경험[우대사항]- 관련 딥러닝 모델 연구/개발자 우대  (Tensor Flow, PyTorch)- 석박사 학위 소지자(취득 예정자)의 경우   전문연구원(병역특례) 가능
0 명


근무조건
고용형태: 정규직(수습기간3개월)급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종합격- 전형일정은 변경될 수 있습니다.- 개발자에 한해 코딩테스트가 진행될 수 있습니다.- 합격자에 한해 개별 통보 안내 드립니다.


접수방법
채용시 마감
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.














"
7,제이엠피코리아(주),"응용프로그래머, 빅데이터·AI(인공지능), 조사·분석·통계",,신입/경력(연차무관),딥러닝," 서울특별시 영등포구 영신로 220 (영등포동8가,KnK디지털타워) 1301호 ","


[국비무료/취업실무준비]딥러닝기반 데이터분석 서비스 전문가과정 교육생 모집 - 인크루트 채용













#유통 # 이커머스 #헬스케어 #데이터분석 #딥러닝  #서울디지털인재개발원딥러닝기반 데이터 분석 서비스 전문가교육생 모집서울디지털인재개발원은 서울 구로구 디지털로26길 111 (구로동, 제이앤케이디지털타워)에 치하고 있으며, 23년도 고용노동부 5년 우수훈련기관으로, 국비지원, K-digital, #핀데크 #빅데이터 #딥러닝 #빅데이터 플랫폼 개발 관련 교육을 제공 하고 있습니다.딥러닝기반 데이터분석 서비스 전문가가 되기 위한 특화실무 여정★★ 수강생을 위한 취업 준비를 위한 특별한 혜택 ★★1. 당일 수업강의 Q&A 톡방 운영 : 수업이 어렵고, 당일 진도를 못 따라가서 어려움을 겪는 문제 해결2. 협약기업 실무진들의 프로젝트 멘토링 : 최신트렌드를 반영한 포트폴리오 멘토링3. 코딩테스트, 공모전, 실무 프로젝트 그룹별 스터디 모임 및 미션4. 전/현직 아나운서가 티칭하는 취업 면접 준비 특강 - 개인별 퍼스널 컬러, 면접 스피킹/태도 교정 준비를 통해 수강생 취업 준비 경쟁력 강화5. 연수생 개인별 PC 장비 보유 (노트북 필참 X) 및 전용 강의실 / 수업 후 개인 자습 가능★★ 교육비 및 지원 사항 ★★ㆍ교육비 9,147,840원 전 액 무료 (★국민내일배움카드 1회 한정 )  ㆍ매월 훈련 수당 : 매월 최대 316,000원 ~ 816,000 원 (★국민내일배움카드 실업자 유형만 해당)ㆍ훈련생 PC 보유 (개인용 노트북 필참 X) ㆍ이력서 / 자소서 컨설팅 / 면접 특강  및 멘토 개인 면담ㆍ(비전공자를 위한) 선행학습 자료 제공- 자격요건 ㆍ학력 : 고졸이상 (대졸 우대)ㆍ내일배움카드소지 혹은 소지 예정자ㆍ맞춤 상담을 통하여, 자격 확인 후, 진행 합니다.1. 수강신청 후 순차적으로 연락드립니다. (신청 후 2~3일이내 소요) 2. 국민내일배움카드는 교육 시작 전 실물카드를 수령하여야 하며, 발급까지는 1주일 정도 소요되기 때문에   사전에 미리 발급 신청하여 주시기 바랍니다.   국민내일배움카드 문의사항 : 고용노동부 1350 혹은 가까운 고용복지센터 방문 3. 교육 상담 문의 : 서울디지털인재개발원   - 전화 :  ***-****-****   - 1:1 카톡 상담 : https://open.kakao.com/o/sL86vC4e   - 상담 신청하기 : https://forms.gle/2iJyG43fQnDU6VQf9   - 상세과정 설명 웹페이지: www.korea-hrd.co.kr










"
8,주식회사 라피플코리아리미티드,빅데이터·AI(인공지능),,경력3~13년,딥러닝," 서울특별시 강남구 테헤란로 328 901호(역삼동,동우빌딩) ","


국내 대기업 - AI 및 딥러닝 관련 경력자 - 인크루트 채용




















모집부문 및 자격요건






담당업무
자격요건
인원





[담당업무]- AI 기술을 활용한 고객 서비스 개선을 위한 AI 모델 개발- 분석 플랫폼의 개인화 영역 고도화 - Text AI Engine 개선- AI/DT 선도 기술에 대한 Research


[자격요건]- 관련경력 3년~13년- AI 알고리즘을 활용한 서비스 개발 경험자- 딥러닝 프레임워크 활용 역량 좋은 분- 자연어처리 관련 전문 지식 있는 분- Python 또는 Scala, JAVA 활용 역량- 미디어/커머스/전자/IT 업계 경험자 선호- Spark / Spark 머신러닝 관련 경험 우대- 대졸이상(AI 관련 학과 석사 학위 이상 우대)

1 명





근무조건
고용형태: 정규직급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템, 이메일접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.














"
9,주식회사 경연파트너스,"응용프로그래머, ERP·시스템분석·설계",,경력2~10년,딥러닝," 서울특별시 금천구 디지털로9길 46 (가산동,이앤씨드림타워7차) ","


지도데이터 전문기업 딥러닝 엔지니어 모집 - 인크루트 채용













[주요업무]• Computer Vision 및 Deep Learning 모델 설계, 구축, 테스트(semantic segmentation, object detection, classification)- 연구 논문을 코드로 변환, 결과물 도출• 공간 데이터 분석[자격요건]• 경력 : 2년 이상 또는 관련 분야 석사 학위 이상 소유자• Python 경험과 이해• OpenCV, Tensorflow, PyTorch 경험 또는 이해도• 기본적인 이미지 처리와 DL 개념의 이해- 전문연구요원 지원 가능[우대사항]• 장애인• Shapely, Fiona, and Geopandas을 이용한 지리공간 데이터 분석 경험• 기본 수학능력 보유자 (선형대수학, 확률, 통계학 등)• 커뮤니케이션 능력 우수자






"
