,기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량
0,(주)포디게이트,신입/경력1년↑,"월급 3,000,000"," 경기도 안양시 동안구 시민대로109번길 29 (호계동,에이스하이테크시티 범계)3D SCAN STUDIO 512호, OFFICE 706호 ",드론,"여행·레저, 광고·CG·시각디자인","


드론 조종사 / Reality Capture 데이터 편집 가능자 - 정규직 채용 - 인크루트 채용
















안녕하세요. (주)포디게이트입니다. 2010년에 설립된 회사로3D스캐너 판매 및 교육, 3D스캔 용역, 역설계, 치수검사 서비스등을 진행하고 있으며, 건축 건설, 항공 선박, 플랜트 역설계, 디지털트윈, 문화재 복원, 영화 드라마 등다양한 래퍼런스를 보유하고 있는 3D 컨설팅 전문업체입니다.
(주)포디게이트
드론 조종사 / Reality Capture 데이터 편집 가능자 - 정규직 채용




모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




드론조종

[담당업무]담당업무ㆍ 드론 프로젝트 (용역사업/연구과제 등) 수행     - 항공촬영, 영화세트장 촬영     - 드론 촬영후 Reality Capture (데이터편집, Texture Mapping) 후가공 까지


[자격요건]ㆍ드론 조종사 1급 자격증ㆍReality Capture 프로그램 사용 가능자[우대사항]ㆍ인근거주자ㆍ운전가능자ㆍ유관업무 경력자

0 명





근무조건
고용형태: 정규직(수습기간3개월)인근지하철역: 서울4호선 범계 (7번 출구에서  400m이내), 서울1호선 명학(성결대앞) (2번 출구에서  400m이내)급여조건: 월급 주40시간, 세전 300만원 (경력에 따라 협의가능)


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
2024-02-07 (수) 23시59분까지
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
1,(주)엑스퍼넷,신입/경력(연차무관),," 서울특별시 구로구 디지털로31길 38-21 609호 (구로동,이앤씨벤처드림타워3차) ",드론,"기술영업, 여행·레저, 소프트웨어·하드웨어","


[엑스퍼넷] 드론 관련 영업직 공개채용 - 인크루트 채용















(주)엑스퍼넷안티드론 영업직 신입/경력직 채용




모집부문 및 자격요건






모집부문
담당업무
자격요건
인원




      안티드론        영업

[담당업무]드론 관련 국내 영업 및 판촉활동- 안티드론 영업기획 및 시장전략 수립, 신규시장 개발, 해외 벤더사 커뮤니케이션 진행, 국내 총판 역할 등[근무부서 및 직급/직책]근무부서: 솔루션사업본부직급/직책: 사원, 주임, 대리, 과장, 차장

[자격요건]경력사항: 신입/경력기       타: 영어 가능자, 해외여행에 결격이 없는자[우대사항]   - 전기/전자공학 졸업자   - 컴퓨터활용능력 우수자   - 안티드론 사업 및 현장 경험자   - RF 관련 국내/해외 영업 경험자

0 명





근무조건
고용형태: 정규직(수습기간3개월)근무부서: 솔루션사업본부인근전철역: 4호선 안산역급여조건: 연봉 회사내규근무시간 : 08:00 ~ 19:00 (8시간 탄력근무제) / 주 5일


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서에 연락처, 희망연봉 기재제출한 서류는 일체 반환하지 않음이력서, 자기소개서서류전형, 면접전형


접수방법
채용시 마감
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서복리후생연금보험 : 4대보험 및 퇴직연금 (DC) 사내문화 : `인싸`만들기 캠페인, 스포츠 동호회, 사우회, 해외봉사활동, 기타단체활동 적극지원사내복지 : 조 중식 및 간식 (탐앤탐스) 제공, 외부식당 및 카페 무료이용, 직무교육비 지원, - 사내복지 : 대학(원)등록금 지원, 경조금, 상조서비스 지원, 장기근속사원 감사보너스 및 휴가, - 사내복지 : 생일자 조기퇴근, 월 1회 조기퇴근, 안마의자 (바디프랜드 팬텀) 및 공기청정기,                  법인 리조트 지원, 사내 카페, 탄력근무제청년내일채움공제 참여가능 (요건 충족 시)


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.














"
2,(주)엑스퍼넷,신입/경력(연차무관),," 서울특별시 구로구 디지털로31길 38-21 609호 (구로동,이앤씨벤처드림타워3차) ",드론,"기술영업, 여행·레저, 소프트웨어·하드웨어","


[엑스퍼넷] 드론 관련 기술지원 공개채용 - 인크루트 채용















(주)엑스퍼넷드론 관련 기술지원 공개채용




모집부문 및 자격요건






모집부문
담당업무
자격요건
인원




       안티드론      기술자원
[담당업무]안티드론 관련 기술지원- 안티드론 관련 최신기술 분석 및 기술협력 지원, 안티드론 임무장비 관리, 안티드론 현장 테스트 지원/기술지원/현장적용 등[근무부서 및 직급/직책]근무부서: 기술본부직급/직책: 사원, 주임, 대리, 과장, 차장

[자격요건]경력사항: 신입/경력기       타: 영어 가능자, 해외여행에 결격이 없는자[우대사항]   - 전기/전자공학 졸업자   - 컴퓨터활용능력 우수자   - 안티드론 사업 및 현장 경험자   - RF/재머 관련 기술 국내/해외 영업 경험자

0 명





근무조건
고용형태: 정규직(수습기간3개월)근무부서: 솔루션사업본부인근전철역: 4호선 안산역급여조건: 연봉 회사내규근무시간 : 08:00 ~ 19:00 (8시간 탄력근무제) / 주 5일


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서에 연락처, 희망연봉 기재제출한 서류는 일체 반환하지 않음이력서, 자기소개서서류전형, 면접전형


접수방법
채용시 마감
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서복리후생연금보험 : 4대보험 및 퇴직연금 (DC) 사내문화 : `인싸`만들기 캠페인, 스포츠 동호회, 사우회, 해외봉사활동, 기타단체활동 적극지원사내복지 : 조 중식 및 간식 (탐앤탐스) 제공, 외부식당 및 카페 무료이용, 직무교육비 지원, - 사내복지 : 대학(원)등록금 지원, 경조금, 상조서비스 지원, 장기근속사원 감사보너스 및 휴가, - 사내복지 : 생일자 조기퇴근, 월 1회 조기퇴근, 안마의자 (바디프랜드 팬텀) 및 공기청정기,                  법인 리조트 지원, 사내 카페, 탄력근무제청년내일채움공제 참여가능 (요건 충족 시)


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.














"
3,(주)비에이블컨설팅그룹,경력4년↑,," 서울특별시 금천구 가산디지털2로 165 1501호 (가산동,백상스타타워2차) ",드론,"생산관리, 전기·전자·통신기능, 전자·반도체","


[가전부품제조사] 드론 제조 전문가 (대리-차장급) - 인크루트 채용













[채용회사] 가전부품 중견기업[포지션명] 드론 제조 전문가 (대리-차장급)[담당업무]- 드론 개발 및 제조[지원자격]- 학력 : 2년제 이상- 경력 : 드론업계 4년 이상[우대사항]- 중국 드론업체에서 드론 개발 및 제조(생산기술) 경력자[채용형태] 정규직[처우조건] 면접 후 협의[근무지] 경기도 안양시[진행절차] 서류전형 -> 1차 면접 -> 2차 면접 -> 최종합격[지원 방법]- 제출서류: 이력서 및 자기소개서(당사 양식에 사진첨부, 연락처, 최종/희망연봉 기재)- 제출방법: 온라인 또는 이메일(leejw1172@nate.com******@*******.***)지원- 제출기한: ASAP (채용 시 마감)- 서류결과: 서류 pass되신 분만 개별 연락드리오니 이점 사전 양해바랍니다.- 긴급 연락처 : (주)비에이블컨설팅그룹 이재운전무(***-****-**** / leejw1172@nate.com******@*******.***)  *****************************************************************************************▣ 직접지원 보다 헤드헌터 이용 시 장점- 서류작성에 도움(특히, 경력직이기 때문에 경력기술이 중요)- 면접 및 회사에 대한 정보 제공- 일정이나 진행사항 수시 체크 가능- 연봉협상 시 후보자의 의견 적극 반영(주)비에이블컨설팅그룹은 구직을 의뢰한 분의 신원은 철저히 보안을 유지하고 있으며구직을 의뢰한 분에게는 일체의 사례를 받지 않고 있습니다.**************************************************************************************(주)비에이블컨설팅그룹 헤드헌터 이재운 전무TEL : ***-****-****HP : ***-****-****   FAX: ***-****-****E-mail: leejw1172@nate.com******@*******.*** / jwlee@babcg.com******@*******.***









"
4,(주)피플스카우트,경력3~10년,, 서울특별시 마포구 삼개로 16 근신빌딩 2신관 501호 (도화동) ,드론,기계·금속·재료,"


[대기업/그룹사] 모터개발(BLDC 모터 설계) / 대리-과장급 채용 - 인크루트 채용













◈ 추천회사- 국내 대기업 자동차 부품 제조 전문회사(대기업/그룹사)* 자동차용 브레이크드림, 자동차 조향장치, 허브, 디스크, 스티어링컬럼등* 1티어 자동차 부품사로 현대기아차, BMW 등을 주요 고객사* 사원수: 1,000명 / 해외사업장: 미국, 인도, 중국 등 8개국 / 국내사업장: 본사외 4개지역 공장 등 ◈ 포지션- [대기업/그룹사]모터개발(BLDC 모터 설계)/대리-과장급/2명                                         ◈ Job description:■ 현대중공업 ED 모터 기구 개발 ■ 드론 모터 기구 담당 ■ 150kW 다이나모 테스트 운영 ◈ Requirement capability- 학력: 4년제 대졸 이상자- 경력: 관련 직무 경력 3년 ~ 10년차 이하자- 전공: 기계공학, 공학계열 전공자- BLDC 모터 설계 경험자 우대- CATIA 활용 능숙자 우대- 밸브 관련업체 경력자(재직/퇴직) 우대- 대기업 및 중견기업 경력자- 해외여행에 결격 사유가 없는 자- 이직 회수가 적은 자(1개 회사 최소 3년 이상 재직자)  [우대사항]- 동종업계 경력자- 영어 능통자 우대[근무지]경기도 화성시 소재   ◈제시 연봉 : 경력에 따라 협의 ◈ 제출서류  - 국문이력서 (자기소개 및 경력기술 내용포함) 1개 파일로 제출요망  - 포토폴리오(해당자에 한함)  - 이력서 제출시 최종연봉,희망연봉 필수 기재,   - 문서이름은 “지원분야?성명”으로 표기  - 경력기술서 작성시 보유기술 및 경험직무에 대해서 상세 기술 요망  ◈ 제출기한 및 근무가능일 : ASAP(채용시 마감)  ◈ 접수방법 ; [담당자 : 임정우 본부장]- e-mail 접수 : hunter@peoplescout.co.kr******@*******.*** - 제출기한 : 선착순 E-mail 접수 분에 한합니다.- 전화문의 : ***-****-**** / ***-****-****- 합격통보 : 합격자에 한하여 개별 연락드리오니 양해바랍니다.






"
5,잡앤서비스,경력(연차무관),, 광주광역시 북구 추암로 201 월출동 (첨단) 인근 ,드론,"원자력·우주·조선·철강, 연구원·연구개발, 경영·기획·전략","


드론 관련 경험자 / 나이무관 - 인크루트 채용
















잡앤서비스
드론 관련 경험자 / 나이무관



모집부문 및 자격요건






담당업무
자격요건
인원





[근무부서 및 직급/직책]직급/직책: 전문직, 연구소장, CEO, COO, CFO, CIO, CCO, 임시직/프리랜서, 지사장, 그룹장, 센터장, 본부장, 사업부장, 고문


[자격요건]경력사항: 경력(연차무관)학력사항: 학력무관

0 명





근무조건
고용형태: 정규직급여조건: 연봉 회사내규


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템, 이메일접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.











"
6,(주)프리뉴,경력2년↑,," 경기도 안산시 단원구 산단로 325 (신길동,리드 스마트스퀘어 지식산업센터) F-501호 ~ 503호 ",드론,소프트웨어·하드웨어,"


(주)프리뉴 기업부설연구소 선행개발팀 경력직 채용 - 인크루트 채용















(주)프리뉴
기업부설연구소 선행개발팀 채용﻿



모집부문 및 자격요건






담당업무
자격요건
인원





회로설계 엔지니어[담당업무]- 드론 전자장치 및 임무장치 보드 설계[근무부서 및 직급/직책]- 근무부서: 연구소- 직급/직책: 연구원, 전임연구원

[자격요건]- 대졸 이상(4년) / 전기,전자공학계열- 관련 업무 경력 2년 이상자[우대사항]- OrCAD 능숙자- ARM 계열 프로세서 적용 보드 설계 유경험자

0 명





근무조건
고용형태: 정규직 (수습기간3개월 공통)근무부서: 기업부설연구소근무지역: 경기도 안산시 단원구 신길동 1229 안산스마트스퀘어 501, 502, 503호급여조건: 연봉 회사내규


전형단계 및 제출서류
전형단계: 서류전형 > 1차면접 > 2차면접 > 최종합격추가 제출서류이력서에 연락처, 희망연봉 기재제출한 서류는 일체 반환하지 않음이력서, 자기소개서서류전형, 면접전형


접수방법
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


복리후생

연금보험 : 4대보험 및 퇴직연금 (DC)사내문화 :  스포츠 동호회, 사우회사내복지 : 조식,중식,석식 및 간식 제공, 직무교육비 지원, 대학(원) 등록금 지원, 경조금, 상조서비스 지원, 장기근속사원 감사보너스 및 휴가, 생일자 조기퇴근, 월 1회 조기퇴근, 공기청정기, 법인 리조트 이용














"
7,(주)봄날,경력1년↑,," 서울특별시 금천구 가산디지털2로 70 (가산동,대륭테크노타운19차) ",드론,방송제작·연출·촬영·기자,"


촬영·카메라 경력 정규직 채용공고합니다. - 인크루트 채용
















(주)스튜디오 에스오아이
촬영·카메라 경력 정규직 채용공고합니다. 



모집부문 및 자격요건






담당업무
자격요건
인원





[담당업무]라이브커머스, 홍보영상, 광고영상 등 외주프로덕션에서 촬영감독님을 모십니다. 주 업무는 라이브커머스, 홍보영상 입니다. 별도 드론 촬영도 가능하신 감독님 모집합니다. [근무부서 및 직급/직책]근무부서: 촬영팀직급/직책: 사원


[자격요건]경력사항: 경력(1년 이상 )학력사항: 학력무관직무기술: 촬영·카메라

1 명





근무조건
고용형태: 정규직(수습기간3개월)근무부서: 촬영팀급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서(경력사항필히포함), 자기소개서. (별도 드론촬영 가능한분)


접수방법
채용시
접수방법: 인크루트 채용시스템, 이메일접수양식: 인크루트 이력서, 자유양식


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.














"
8,다스코리아,신입,, 경기도 화성시 반월북길 23 다스코리아(반월동) ,드론,"기술영업, 영업관리·영업지원","


[다스코리아(주)] 자동화 제품 기술 영업   (신입/경력) 모집 - 인크루트 채용


















[다스코리아(주)] 자동화 제품 기술 영업   (신입/경력) 모집
우리 회사를 한 줄로 표현해주세요
우리 회사에 대해 4줄 이내로 소개해주세요




모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




기술영업

[담당업무]ㆍPLC, Remote I/O, 드라이브, 서보모터 등 자동화 제품 기술 영업 ㆍ전기전자부품(슈나이더일렉트릭, 필츠, 바이드뮬러 등) B2B 영업 ㆍ제품 상담, 기술지원, 거래처 관리 등[근무부서 및 직급/직책]근무부서: 영업팀


[자격요건]경력사항: 신입학력사항: 대학(2,3년)졸업 이상기타: 자동화제품(Motion, PLC등) 영업 유경험자[우대사항]우대사항: 인근거주자, 운전가능자

2 명





근무조건
고용형태: 정규직(수습기간3개월)근무부서: 영업팀급여조건: 연봉 회사내규


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
9,(주)잡뉴스솔로몬서치,경력2~12년,," 서울특별시 서초구 방배로 39 1층 104호 (방배동,미주빌딩) ",드론,기계·금속·재료,"


항공방산 엔진 제어 개발 (항공/ 드론/ 장갑차, 사원-과장급) - 자동차 엔진 설계, 개발 전문기업 - 인크루트 채용













[의뢰사]- 자동차 엔진 설계, 개발 전문기업, 국내 1위 기업- 국내외 완성차, 중장비 생산기업, 미국/ 인도/ 인도네시아/ 유럽 소재 기업 의 엔진/ 트랜스미션 설계 개발- 최근 전기차, 내장재 부문 사업 다각화 확장중 - 회사위치/ 근무지 : 경기도 화성시 동탄연구소 [채용내용, 담당업무, 자격요건]1. 채용부문 :     - 항공방산 엔진 제어 개발  2. 담당업무 :    - 항공 및 방산 엔진 제어 개발    - 첨단 무인 드론 추진계 신규 국산화 개발       * 엔진 성능 최적화       * 제어기 캘리브레이션    - 차세대 장갑차 엔진 신규 국산화 개발       * 제어기 캘리브레이션3. 채용직급 :    - 사원~과장급 4. 자격요건 :    - 4년제 대졸이상     - 관련경력 2년~12년    - 영어 가능자 (성적 제출 필요)              5. 회사위치/ 근무지 :    - 경기도 화성시 동탄연구소 [전형방법]- 서류전형- 면접전형, 서류전형 합격자에 한하여 개별 통보[제출서류]- 한글 이력서 : 사진첨부 및 희망직급, 희망연봉, 연락처 등 기재- MSword 파일로 작성 [지원방법]- Online 시스템 지원 : Incruit- e-Mail 지원 : jirhee@jobnews.co.kr******@*******.*********@*******.***,  jaeinrhee@naver.com******@*******.*********@*******.***[근무여건]- 회사위치/ 근무지 : 경기도 화성시 동탄연구소- 직급/ 연봉 :  면접시 경력에 따라 협의 결정- 회사복지 : 최고 수준, 기숙사/ 사택 제공===========================================================================- (주)잡뉴스 H.R.Consulting  솔로몬서치- `미래와 신뢰`를 약속드리는 컨설턴트 이사 이 재 인- 전화 연락처 : 070-7712-9378,  ***-****-****- e-Mail : jirhee@jobnews.co.kr******@*******.*********@*******.***,  jaeinrhee@naver.com******@*******.*********@*******.***






"
