기업이름,담당업무,연봉,고용형태,키워드,기업주소,필요역량
(주)잡뉴스솔로몬서치,기계·금속·재료,,경력10년↑,로봇제어," 서울특별시 서초구 방배로 39 1층 104호 (방배동,미주빌딩) ","


로봇 제어 엔지니어 (경력 10년이상) - IT 서비스 전문기업, 그룹 계열사 - 인크루트 채용













[의뢰사]- IT 서비스 전문기업, 그룹 계열사- 한국타이어 그룹,  IT 서비스 및 물류 안정화 지원 종합엔지니링 기업- 회사위치/ 근무지 : 경기도 판교 [채용내용]1. 채용부문 :     - 로봇 제어 엔지니어2. 담당업무 :    - 로봇 제어 프로그래밍       * 수직 다관절 로봇/ 물류 이송 시스템 등    - 모터 제어 알고리즘 설계 및 개발    - ROS 기반 각종 센서 장치 드라이버 개발    - 물류 자동화 시스템 구축 및 개발3. 채용직급 :    - 경력에 따라 결정4. 자격요건 :    - 4년제 대졸 이상 및 메카트로닉스, 로봇, 제어, 전자 등 관련 전공자 (석사 이상 우대)     - 관련경력 10년이상    - 우대사항 :       * Robotics 분야 개발에 능통한 자       * Embedded System 구성 및 소프트웨어 개발 경력자       * ROS/ ROS2 이용 로봇 SW 개발 경험자            5. 회사위치/ 근무지 :    - 경기도 판교 [전형방법]- 서류전형- 면접전형, 서류전형 합격자에 한하여 개별 통보[제출서류]- 한글이력서 : 사진첨부 및 희망직급, 희망연봉, 연락처 등 기재- 한글경력 및 자기소개서 : 경력 상세 작성- MSword 파일로 작성 [지원방법]- Online 시스템 지원 : Incruit- e-Mail 지원 : jirhee@jobnews.co.kr******@*******.*********@*******.***,  jaeinrhee@naver.com******@*******.*********@*******.***[근무여건]- 회사위치/ 근무지 : 경기도 판교 - 직급 및 연봉 : 면접시 경력에 따라 협의 결정- 회사복지 : 최고 수준==============================================================- (주)잡뉴스 H.R.Consulting  솔로몬서치- `미래와 신뢰`를 약속드리는 컨설턴트 이사 이 재 인- 전화 연락처 : 070-7712-9378,  ***-****-****                             - e-Mail : jirhee@jobnews.co.kr******@*******.*********@*******.***,  jaeinrhee@naver.com******@*******.*********@*******.***






"
(주)잡뉴스솔로몬서치,응용프로그래머,,경력3년↑,로봇제어," 서울특별시 서초구 방배로 39 1층 104호 (방배동,미주빌딩) ","


R&D, 제어 알고리즘 (대리-과장급) - 산업용 로봇 생산기업, 그룹계열사 - 인크루트 채용













[의뢰사]- 산업용 로봇 생산기업, 그룹계열사- 회사위치/ 근무지 : 경기도 분당[채용내용]1. 채용부문 :    - R&D, 제어 알고리즘2. 담당업무 ;    - 다관절 로봇 제어 알고리즘 개발3. 채용직급 :    - 대리~과장급4 자격요건 :    - 4년제 대졸이상 및 기계, 전자, 메카트로닉스 공학 계열 전공자    - 프로그래밍 스킬 (C++ 필수) 보유자    - Robot Kinematics, Dynamics에 대한 이해    - 로봇 모션, 힘, 감성 제어 개발 경험자    - 관련경력 3년이상    - 우대사항 :       * 로봇 모션, 힘, 강성제어 개발 경험자       * Mathlab 경험자5. 근무지 :    - 경기도 분당    [전형방법]- 서류전형- 면접전형, 서류전형 합격자에 한하여 개별 통보[제출서류]- 한글이력서 : 사진첨부 및 희망직급, 희망연봉, 연락처 등 기재- 한글경력 및 자기소개서 : 경력 상세 작성- MSword 파일로 작성 [지원방법]- Online 시스템 지원 : Incruit- e-Mail 지원 : jirhee@jobnews.co.kr******@*******.*********@*******.***,  jaeinrhee@naver.com******@*******.*********@*******.***[근무여건]- 근무지 :  경기도 분당 - 직급/ 연봉 : 접시 경력에 따라 협의 결정- 회사복지 : 최고 수준 ===========================================================================- (주)잡뉴스 H.R.Consulting  솔로몬서치- ""미래와 신뢰""를 약속드리는 컨설턴트 이사 이 재 인- 전화 연락처 : 070-7712-9378,  ***-****-****- e-Mail : jirhee@jobnews.co.kr******@*******.*********@*******.***,  jaeinrhee@naver.com******@*******.*********@*******.*** 






"
(주)피플케어코리아,"전자·반도체, 기계·금속·재료",,경력13~20년,로봇제어," 서울특별시 강남구 영동대로 511 (삼성동,트레이드타워) 27층, 33층 ","


자동차 차체설비 전기제어 로봇팀 팀장(부장급) - 2명 - 인크루트 채용

















우리 회사를 한 줄로 표현해주세요
우리 회사에 대해 4줄 이내로 소개해주세요

자동차 차체설비 전기제어 로봇팀 팀장(부장급) - 2명




모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




자동차 차체설비 전기제어 로봇팀 팀장

[담당업무]	자동차 차체 설비 전기제어 설계 및 견적 검토	PLC 프로그래밍	HMI 프로그래밍	차체설비 로봇 시스템 적용[근무부서 및 직급/직책]직급/직책: 부장, 팀장


[자격요건]경력사항: 경력(13년 이상 20년 이하)학력사항: 대학교(4년)졸업직무기술: PLC, HMI, 차체설비 로봇 시스템 적용, 자동차 차체 설비 전기제어 설계 전기관련 전공자 자동차 차체설비 전기제어 경력 10년 이상자 책임감이 강하고 부서의 화합과 타 부서와의 협업을 중요시하는자 국내외 출장업무 가능자[우대사항]. 전공계열: 공학계열 / 전기관련 전공자 전기기사 1,2급 영어토익 700점 이상 인근 거주자

2 명





근무조건
고용형태: 정규직급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
2024-02-01 (목) 23시59분까지
접수방법: 인크루트 채용시스템, 이메일접수양식: 인크루트 이력서, 자사양식


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
메리텍산업,전자·반도체,,신입/경력(연차무관),로봇제어, 경기도 안산시 단원구 지원로115번길 23 (성곡동) ,"


자동화기기 전기제어 신입/경력(다관절로봇 티칭 우대) 모집 - 인크루트 채용

















우리 회사를 한 줄로 표현해주세요
메리텍산업
자동화기기 전기제어 신입/경력(다관절로봇 티칭 우대) 모집
우리 회사에 대해 4줄 이내로 소개해주세요




모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




전기제어 경력자모집

[담당업무]전기제어, 다관절로봇(티칭) 조작가능자 우대[근무부서 및 직급/직책]근무부서: 설계팀직급/직책: 사원, 팀장


[자격요건]경력사항: 신입, 경력(연차무관)학력사항: 고등학교졸업직무기술: 전기기술자, 전기설계

1 명





근무조건
고용형태: 정규직(수습기간3개월)근무부서: 설계팀급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서에 연락처, 희망연봉 기재제출한 서류는 일체 반환하지 않음이력서, 자기소개서서류전형, 면접전형


접수방법
2024-02-03 (토) 23시59분까지
접수방법: 인크루트 채용시스템, 이메일접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
㈜에이트테크,"빅데이터·AI(인공지능), 소프트웨어·하드웨어, 전기·전자·통신기능",,신입/경력(연차무관),로봇제어," 인천광역시 서구 정서진로 410 D동 230호 (오류동,환경산업연구단지 본부동) ","


[IT/로봇] (주)에이트테크  AI, 로봇제어, 백엔드 개발 채용 - 인크루트 채용
















[IT/로봇] (주)에이트테크  AI, 로봇제어, 백엔드 개발 채용
에이트테크 소개]에이트테크는 올바른 자원 순환을 위해 수거된 자원을 종류별로 분리 후 가공을 거쳐 고품질의 재생원료로 탈바꿈하여, 다시 우리생활에 필요한 자원으로 되돌아오게 만들고자 첨단 IT기술과 환경이 결합된 회사입니다.[에이트테크의 현재]2020년 에이트테크는 재활용 선별 로봇인 '에이트론'을 개발하였습니다. 재활용선별장에서 손으로 선별하던 방식에서 인공지능을 기반으로한 에이트론이 직접 재활용을 분류하는 것입니다. 실제로, 인천 등 재활용선별장에서 상용화 되고 있습니다.[에이트테크의 미래]재활용품 분류를 위한 '스마트 공장 솔루션' 부터 효율적인 재활용이 가능하게 이끌어주는 '자원순환 플랫폼', 재활용된 자원을 활용하여 '재생의류' 생산까지 우리는 자원순환에 대한 일련의 과정을 만들어 갈 것입니다.당장의 편의를 위한 기술보다 더 먼 미래를 마주할 수 있는 기술을 개발하고자 하는 우리의 여정에 함께 하실 분을 찾고자 합니다! 




모집부문 및 자격요건









모집부문
담당업무
혜택 및 복지
인원




인공지능 개발자(석사 이상)로봇 제어/PLC/API기구 설계CS엔지니어/필드엔지니어

인공지능 개발자(석사이상)경력: 3년~5년(과장급)﻿주요업무ㆍ머신러닝을 활용한 데이터분석/모델 개발ㆍAI 알고리즘 센싱 및 연구ㆍ재활용 이미지 데이터 수집 및 분석우대사항ㆍAI, 영상처리,  FA자동화 소프트웨어 개발 경험자ㆍ딥러닝 프레임워크(tensorflow, pytorch) 사용이 능숙하신 분로봇제어/PLC/API경력: 2년~5년 (대리,과장급)주요업무ㆍ로봇 Program을 활용해 속도/동작 구현ㆍPLC전장 설계ㆍ장비 제어 소프트웨어 및 GUI Application  개발우대사항ㆍC++, C# 자동화 소프트웨어 개발 경험자ㆍ서보모터 제어 및 전장 설계 유경험자기구 설계경력: 3년~5년(대리,과장급)주요업무ㆍAutoCAD or Solidworks를 활용한 설계ㆍ로봇 frame, Vison Control Box 설계ㆍ렌더링 및 기구 설계ㆍ스마트공장 설계우대사항ㆍ기계설계(산업)기사ㆍ일반기계(산업)기사ㆍ전산응용기계제도기능사ㆍAutoCAD 또는 Solidworks 능숙하신 분CS엔지니어/필드엔지니어경력: 무관(신입 지원가능) (사원,대리급)주요업무ㆍ현장관리ㆍ유지보수우대사항ㆍ운전가능자


ㆍ수평적인 조직 문화ㆍ자유 복장ㆍ유연출근제 운영ㆍ자유로운 연차 사용ㆍ경조서 휴가 제공ㆍ최신 성능 컴퓨터 제공ㆍ듀얼 모니터 제공ㆍ모니터암 제공ㆍ시디즈 의자 제공ㆍ맛있는 간식, 음료 제공ㆍ교육비 지원

0 명





근무조건
고용형태: 정규직(수습기간3개월)근무부서: 기술개발팀인근전철역: 서울2호선 강남 (10번 출구에서 100m이내), 서울7호선 가산디지털단지 (7번 출구에서)급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격


접수방법
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
(주)프로매치코리아,"전자·반도체, 기계·금속·재료, 응용프로그래머",,경력(연차무관),로봇제어," 서울특별시 강남구 테헤란로 333 10층 (역삼동,신도벤처타워) ","


반도체-로봇기업 컨트롤러 제어SW 개발/기구설계-IMP(임플란타)개발 과장-이사급 6명 - 인크루트 채용













* 인쿠르트 사﻿용하시는 분들 지원시 필수사항!!!  아직도 온라인 지원만 하시는 분이 있습니다. 인쿠르트 파일은 에러가 나오니 지원전에 문자(이메일주소)나 이메일로   이메일주소를 알려주시면 지원서를 송부드리겠습니다.(반드시 지켜주셔야 선택을 받습니다)  신속 진행을 위해 반드시 준수 부탁합니다. ***MS-WORD지원서가 필요합니다.메일 지원시 고객사번호,포지션명 기술 (예 : C29-01 해외영업)[등록일 : 01.08] - 미 채용시 최대 2개월까지 진행(지원전 사전에 문자나 이메일주소 부탁-지원서 발송건)* 연 단위로 이직횟수 많은 분은 지원 불가, 반드시 경력 매치되는 분만 지원 요망​반도체용 로봇 및 로봇 응용장비 개발/제조기업 채용건입니다.사원수 70명    설립일 1997(27년차)주요사업 : 반도체용 로봇 및 로봇 응용장비 개발/제조근무지 : 성남시 본사, 화성시 동탄연락주시는 분에게 지원서를 송부드립니다.아래를 클릭하시면 상세 채용 요건을 보실 수 있습니다.(추가 기업들 포지션 포함)==>C02-23 반도체용 로봇 및 로봇 응용장비 개발/제조 기업의 컨트롤러 제어SW 개발/기구설계-IMP(임플란타)개발 과장-이사급 6명이직 적은분 필수 : 인쿠르트 지원은 연락할 수 없습니다. (이력서 에러)-문자나 이메일로 이메일주소 연락주시는분에게 지원서 양식을 송부드립니다.지원서에 현재 및 최종 연봉/희망연봉/핵심역량, 경력 회사별 간략소개, 회사별 이직사유 명기 필수----------------------------------------------------------------------------""사람과 사업을 가치있게 하는 기업!""                            Active HR!----------------------------------------------------------------------------프로매치코리아 대표  송  찬 영***-****-****-e6947abcac72"">HR컨설팅사업부 / 대표컨설턴트                     H.P : ***-****-****E-mail : loveyou@promatch.co.kr******@*******.*** Home : http://www.promatch.co.kr               서울시 강남구 테헤란로 333, 신도벤처타워 10층----------------------------------------------------------------------------
문자나 상기 이메일로 연락주시면 지원서를 송부드리겠습니다.-지원 이력서를 회사 매치포지션 번호와 함께 저의 메일로 보내 주시면 되겠습니다. 이후 지원서를 검토후 상담드리겠습니다PDF파일이나 인쿠르트 이력서로 온라인 지원하시면 상담이 불가합니다.







"
(주)엑사로보틱스,응용프로그래머,,신입/경력(연차무관),로봇제어," 서울특별시 강남구 테헤란로 406 B동 203호 (대치동,샹제리제센터) ","


(주)엑사로보틱스 로봇 소프트웨어 개발 외 신입/경력 정규직 채용 - 인크루트 채용















(주)엑사로보틱스
로봇 소프트웨어 개발 외 신입/경력 정규직 채용



모집부문 및 자격요건






모집부문
담당업무
자격요건
인원




기술연구팀(시스템 설계/제어 개발, 딥러닝, 로봇기구설계, sw엔지니어, SlAM & Navigation Engineer)

[담당업무]업무 부문별 모집 채용시스템 설계/제어 개발	ㆍ로봇 시스템 설계/제어ㆍ모터 제어ㆍ구동부, 제어부, 센서부 SISLAM & Navigation EngineerㆍSLAM 알고리즘 개발ㆍ위치 측위 알고리즘 개발ㆍ경로 생성 알고리즘 개발ㆍ실내 자율주행 로봇 소프트웨어 개발Robotics Perception Engineerㆍ실내외 자율 주행 로봇의 주행로 및 장애물 인식을 위한 딥러닝 기반 Semantic segmentation, Object detection 기술 연구기구 개발ㆍ모빌리티 로봇 기구 설계/ 개발SW 엔지니어ㆍ모빌리티 로봇 SW 개발[근무부서 및 직급/직책]근무부서: 기술연구팀직급/직책: 연구원


[자격요건]경력사항: 신입, 경력(연차무관)학력사항: 대학교(4년)졸업 이상직무기술: 로봇제어, 로봇설계, 알고리즘개발, 소프트웨어개발, 로봇기구설계학력 : ㆍ기계공학계열, 전기, 전자, 제어, 로봇, 소프트웨어 공학 관련 학과의 학위(학사/석사/박사) 소지자경력 : ㆍ로봇 SI 또는 모터제어, 전자회로 관련업종 경력 3년 이상ㆍ로봇(기계 계열) 개발 경력 3년 이상ㆍ3D 설계 가능(Pro-E)ㆍSoftware Engineer 3년 이상 경력ㆍC++개발 경력자 (C, Python 등 다양한 언어 지식보유자)ㆍArchitect & Design SoftwareㆍEmbedded Software개발 경력자ㆍ다양한 언어 기반의 실무 지식(경험) 보유자우대사항 :ㆍComputer vision, Image processing, Machine learning 등 관련 기술에 대한 이해ㆍ멀티 카메라 및 이종 센서 사용 경험ㆍ딥러닝 사용 경험ㆍROS / ROS 2 개발 경험ㆍLocalization 및 Path Planning 관련 개발 유경험자ㆍVisual Odometry & SLAM 관련 개발 유경험자ㆍROS / ROS2 개발 유경험자ㆍModern C++ 프로그래밍 개발 유경험자

0 명





근무조건
고용형태: 정규직(수습기간2개월)근무부서: 기술연구팀급여조건: 면접 후 결정 및 조율 가능근무알시: 주 5일(월~금) 09:30~18:30


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 2차면접진행 > 최종합격추가 제출서류: 이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.











"
(주)유비소시어스,광학·의료장비,,경력10년↑,로봇제어," 서울특별시 금천구 가산디지털2로 123 월드메르디앙2차 1110호, 1116호 ","


코스닥상장 중견기업, 수술로봇 개발팀장 모집 - 인크루트 채용














코스닥상장 중견기업, 수술로봇 개발팀장 모집본 공고에 지원하시면 성심성의껏  진행하겠습니다.




모집부문 및 자격요건






모집부문
담당업무
자격요건 및 우대사항
인원




수술로봇 개발[포지션]- 수술로봇 개발팀장(부장급)[담당업무]* 하기 업무에 전문성을 가지고 로봇 시스템 개발을 리드- 로봇 시스템 개발, Architecture 설계- 로봇 제어 개발

[자격조건]- 학사이상- 전기 전자, 기계, 컴퓨터, 로보틱스 분야 전공자- 로봇 또는 장비 제어 시스템 개발 경력 10년 이상[우대사항]- 석사이상- 관련학과 전공자 우대- 양산 제품 개발 경험 우대- 제품 개발 프로세스 경험 우대- 품질 프로세스 이해자 우대 (국제 표준 및 의료기기 개발 프로세스)[기타사항]- 정규직, 주 5일 근무- 근무지 : 서울 송파구 문정역 근처 

1 명





근무조건
고용형태: 정규직 주 5일 근무근무지: 서울 송파구 문정역 근처, 참고로 서울시 금천구는 HR컨설팅회사 위치입니다.근무부서: 개발팀급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접전형 > 최종심사 > 최종합격


접수방법
채용시 마감
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서, 자유양식담당자 : 오기범 파트너(전무)연락처 : ***-****-****이메일 : linkhuman@naver.com******@*******.*** / gboh@ubsocius.com******@*******.***


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.














"
현대자동차(주),"소프트웨어·하드웨어, 데이터베이스·DBA, 시스템프로그래머",,경력3년↑,로봇제어, 서울특별시 서초구 헌릉로 12 (양재동) ,"


Robotics Engineer [ 서비스 로봇 제어 ] - 인크루트 채용













조직소개로보틱스랩은 로보틱스 기술을 바탕으로 다양한 분야의 전문가들이 하나의 팀을 이루어 로봇 제품을 개발하고 있으며,사람과 함께 할 수 있는, 자체 개발을 통해 차별화된, 나아가 로봇이 존재하는 공간에서의 모든 서비스를 제공하는 로봇으로 확장 가능한 기술을 지향하고 있습니다.그 중 우리 조직은 사람의 편의를 돕고, 사람들에게 서비스를 해 줄 수 있는 첨단 로봇 개발을 추진하고 있으며, 로봇 전문가로서 성장할 수 있는 기회를 제공하고 있습니다.서비스 로봇 기계 설계 및 제어, 테스트 장비 설계 및 제어, 센서 통합장치 개발, 서비스 로봇 회로 설계, 모터 드라이버 설계, 모바일/매니퓰레이터 설계 및 제어 등을 연구 개발하고 있습니다.또한 플랫폼, 기획, 사업 운영 전문가들과 함께 협업하여 기초연구부터 양산개발까지 진행하고 있습니다.우리 로보틱스랩에서는새로운 모빌리티를 함께 만들어 나갈 여러분의 지원을 기대하고 있습니다.더 자세한 정보는 로보틱스랩 웹사이트에서 확인해 보세요.(https://robotics.hyundai.com/)직무상세· 서비스 로봇 SW 개발 및 제어 아키텍처 구축· 서비스 로봇 제어 (매니퓰레이터 or 이동 알고리즘)· SW 기능 검증 및 테스트[임베디드 SW 개발]- SW 개발 방법론 이해 및 관련 Tool 활용- SW Architecture 개념 이해 및 활용- 임베디드 시스템 개념 이해 및 활용[제어 아키텍처 구축]- 신뢰성 높은 고속 제어 로봇 시스템 아키텍쳐 구축- 모터 제어 및 센서 측정을 위한 다양한 입출력 인터페이스 구현 및 검증- 모듈화, 객체 지향 프로그래밍을 통해 재사용성 확보[매니퓰레이터 제어][- Visual Servoing 기술 개발- 센서를 통한 물체 인식, 파지 기술 개발- 물체 조작 기술 개발- 순응 제어 기술 개발[이동 알고리즘 개발]- Path planning, motion control 기술 개발- 군집 로봇 제어 알고리즘 개발- 회피 경로 생성 알고리즘 개발- LiDAR, RGB-D based SLAM 기술 개발""[SW 검증]- SW 기능/구조 검증/최적화- 결함 관리 및 리뷰- 단위/통합 Test Case 작성""지원자격· 석사 이상의 학위 보유자· 기계공학, 컴퓨터 공학, 전자공학 계열 전공자· 유관 분야 3년 이상 업무 경험 보유자· 로봇 제어 SW, 임베디드 SW 개발 경험 보유자· SW 검증 경험 보유자· C/C++, Python, MATLAB (Simulink) 활용 능력 보유자· 최종합격 후, 회사가 지정하는 입사일에 입사 가능하신 분· 해외여행에 결격 사유가 없는 분 (남성의 경우, 회사가 지정한 입사일까지 병역을 마쳤거나 면제되신 분)우대사항· 박사 이상의 학위 보유자· 비즈니스 영어 활용 우수자· 유관분야 5년 이상 업무 경험 보유자· 로보틱스 제어 아키텍쳐 구축/ 매니퓰레이터 제어/ 모터 제어/ 임베디드 시스템 구축/ 로봇 양산 경험 보유자· 로봇 Navigation, SLAM 알고리즘 개발 경험 보유자· 매니퓰레이터 제어 경험 보유자· 로봇 Frontend 개발경험 및 로봇 양산경험 보유자· ROS2 ,Linux, Embedded, RTOS 활용 능력 보유자전형단계1. 서류전형2. Pre-Interview3. 직무면접4. 종합면접5. 채용검진6. 입사기타· 본 공고는 지원서 제출 순서에 따라 전형이 진행되며, 상세 일정은 전형 별 합격자에 한하여 개별 안내드릴 예정입니다. (채용 완료 시 공고가 조기 종료될 수 있습니다.)· 지원서를 포함한 채용 전형 전 과정에서 제출한 내용이 사실과 다르거나 문서로 증빙이 불가할 경우, 혹은 고의적인 기재사항 누락이 확인될 경우 합격이 취소되거나 전형 상의 불이익을 받을 수 있습니다.· 공고 내 직급 수준은 예상 직급으로 변동 가능성이 있으며, 개인별 경력 및 평가를 고려하여 처우협의 과정을 통하여 최종 확정됩니다.· 지원서 접수는 현대자동차 채용 홈페이지를 통해 접수하며, 그 외의 개별 접수는 받지 않습니다.· 취업보호대상자(장애, 보훈 등)는 관계 법령에 의거하여 우대합니다.· 회사 내규상 정상근무가 불가능할 경우 합격이 취소되거나 전형상의 불이익을 받을 수 있습니다.· 채용관련 문의는 ‘1:1 문의하기’ 를 통한 접수 부탁드립니다.






"
(주)피플스카우트,"응용프로그래머, 시스템프로그래머",,경력3~15년,로봇제어, 서울특별시 마포구 삼개로 16 근신빌딩 2신관 501호 (도화동) ,"


[대기업/그룹사]로보틱스&제어 엔지니어/대리-차장급 - 인크루트 채용













◈ 추천회사- 국내 유명 스마트 농업 플랫폼 전문회사(대기업/그룹사 게열)* 국내 Top 농업 및 임업용 기계 제조업 그룹사 계열 ◈ 포지션- [대기업/그룹사]로보틱스&제어  엔지니어/대리-차장급                                         ◈ Job description:  - 로봇 및 차량 시스템의 설계, 개발, 테스트 및 최적화 - 실시간 로봇 및 차량 제어 시스템의 구현 - 다양한 하드웨어 및 소프트웨어 플랫폼과의 인터페이스 개발 ◈ Requirement capability- 학력: 초 대졸 이상자- 경력: 관련 직무 경력 3년 이상자 - CAN/SPI/LAN/GPIO 핸들링 능력 - 임베디드 시스템에 대한 이해 - C/C++, Python 등 프로그래밍 능력 보유자 - RTOS 기반 메인 컨트롤 SW 개발 능력 보유자  - 제어 시스템에 대한 실무 경험  [우대사항]` - 관련 업무 경력 3년이상 - 로봇공학, 기계공학, 전기전자공학, 컴퓨터공학 또는 관련 분야 석사 이상  - 다양한 센서(GPS, IMU, LiDAR, Camera)를 활용한 업무 수행 경험 - SLAM 연구 개발 경험자 - 인공지능, 머신러닝, 컴퓨터 비전에 대한 지식 보유자 [근무지]서울시 서초구 소재  ◈제시 연봉 : 경력에 따라 협의<전형절차>- 서류전형 -≫ 1차면접(실무) -≫ 임원면접 -≫ 최종합격  ◈ 제출서류  - 국문이력서 (자기소개 및 경력기술 내용포함) 1개 파일로 제출요망  - 포토폴리오(해당자에 한함)  - 이력서 제출시 최종연봉,희망연봉 필수 기재,   - 문서이름은 “지원분야?성명”으로 표기  - 경력기술서 작성시 보유기술 및 경험직무에 대해서 상세 기술 요망  ◈ 제출기한 및 근무가능일 : ASAP(채용시 마감)  ◈ 접수방법 ; [담당자 : 임정우 본부장]- e-mail 접수 : hunter@peoplescout.co.kr******@*******.*** - 제출기한 : 선착순 E-mail 접수 분에 한합니다.- 전화문의 : ***-****-**** / ***-****-****- 합격통보 : 합격자에 한하여 개별 연락드리오니 양해바랍니다.






"
