기업이름,기업규모,매출액,평균연봉,자본총계1,자본총계2,자본총계3,매출액1,매출액2,매출액3,순이익1,순이익2,순이익3,기준년도,키워드
코가로보틱스(주),중소기업,37179,4578,2398977,101575,77147,37179,156842,74946,-835304,60623,37414,2022,자율주행
(주)에바,중소기업,724255,0,516447,595736,140888,724255,59086,16479,-79289,-53838,-31853,2022,자율주행
(주)뷰런테크놀로지,중소기업,45919,4763,773070,939785,89852,34091,17350,18852,-266673,-44582,-10186,2022,자율주행
체이시로보틱스(주),중소기업,55922,2676,24567,21618,21484,55922,30082,32682,2948,134,-215,2022,자율주행
포티투닷 주식회사,중소기업,330478,7291,3650495,9432812,2462012,330478,40203,2506,-6118762,-3452141,-2147287,2022,자율주행
(주)피너클써치,중소기업,120793,3384,99679,97840,71001,120793,109519,110621,1839,26838,19394,2018,자율주행
한국교통안전공단,중기업,38479817,4466,23436861,21862975,20816590,38479817,43607780,33865607,63788,1067705,-687089,2022,자율주행
(주) 퓨런티어,중견기업,2690454,5482,3845407,1278420,509576,2690454,2217195,1508163,198182,264179,-217997,2022,자율주행
리뉴피플(주),중소기업,0,2046,-10074,-10086,-9015,44549,42649,26992,11,-1071,-5080,2015,자율주행
(주)텔레칩스,중견기업,15040431,0,16966993,10627672,9244830,15040431,13641773,10073759,4589742,703140,-941309,2022,자율주행
온리원파트너스(주),중소기업,483765,5315,68471,56508,33010,483765,443174,233298,11962,23396,6214,2022,자율주행
현대엠시스템즈(주),중소기업,1075801,4791,375088,432558,379246,1075801,902720,711081,-57469,-123753,1646,2022,자율주행
주식회사 에이치엘클레무브,중견기업,109204107,7119,26838870,22101342,16179280,109204107,54730765,52538658,4767202,620216,461131,2022,자율주행
(재)차세대융합기술연구원,소기업,3014468,5080,786602,960656,911928,3014468,3317537,3022288,-72269,47685,272306,2022,자율주행
주식회사 웨이브엠,중소기업,310363,0,263198,252933,227053,310363,277180,267931,10364,26209,27036,2022,자율주행
안진회계법인,중견기업,50468827,6820,2901847,3552133,2747354,50468827,44770058,37459898,-650285,804791,1315905,2023,자율주행
(주)라닉스,중소기업,1098497,6468,1432198,1945821,1717118,1098497,921469,912700,-506199,-254293,-227959,2022,자율주행
