기업이름,기업규모,매출액,평균연봉,자본총계1,자본총계2,자본총계3,매출액1,매출액2,매출액3,순이익1,순이익2,순이익3,기준년도,키워드
(주)딥엑스,중소기업,81064,0,0,0,0,0,0,0,0,0,0,0,딥러닝
(주)에이치알컨설팅그룹,중소기업,300000,0,0,0,0,0,0,0,0,0,0,0,딥러닝
주식회사 베이리스,중소기업,1691838,6227,481289,257197,302003,1691838,1899189,1757820,111993,-44806,100542,2022,딥러닝
(주)커리어케어,중소기업,1787914,0,463968,455615,163751,1787914,2218597,1585581,164028,369725,61014,2022,딥러닝
(주)커리어앤스카우트,중소기업,305000,0,0,0,0,0,0,0,0,0,0,0,딥러닝
(주)메디픽셀,중소기업,2727,6092,934694,128064,60647,2727,-3566,4636,-148410,-32962,-12444,2021,딥러닝
포인드(주),중소기업,175578,3654,96745,23882,20426,175578,127286,93270,39263,3583,1429,2022,딥러닝
글로빛주식회사,중소기업,0,3949,0,0,0,0,0,0,0,0,0,0,딥러닝
(주)위드브레인,중소기업,48000,2205,0,0,0,0,0,0,0,0,0,0,딥러닝
주식회사 경연파트너스,중소기업,93182,0,6983,-6384,-13622,93182,69082,40750,7418,7737,-1818,2022,딥러닝
(주)대웅기연,중소기업,397248,3851,905579,904872,919383,397248,363911,426659,10771,1136,22707,2022,딥러닝
주식회사 딥브레인에이아이,중소기업,647159,6230,2409251,3507813,198721,647159,321097,265621,-1098532,-391062,-415109,2022,딥러닝
제이엠피코리아(주),중소기업,1072714,2714,245185,211407,208163,1072714,958558,980481,33778,13243,18974,2022,딥러닝
주식회사 라피플코리아리미티드,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,딥러닝
주식회사트윔,중소기업,1956161,0,6598595,7490969,4590436,1956161,2160300,1825956,-531652,218643,291015,2022,딥러닝
(주)스카우트파트너스,중소기업,855603,4515,169197,116080,58451,855603,586943,334395,53117,57628,27402,2022,딥러닝
(주)유비소시어스,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,딥러닝
사피엔스논문컨설팅연구소 주식회사,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,딥러닝
(주)프로써치코리아,중소기업,0,1760,0,0,0,0,0,0,0,0,0,0,딥러닝
(주)카이어,중소기업,30227,6030,-239,3188,4415,30227,18931,5100,-3427,-1084,-5941,2022,딥러닝
주식회사 인브레인에이아이,중소기업,12000,5502,0,0,0,0,0,0,0,0,0,0,딥러닝
(주)하이잡,중소기업,0,4573,0,0,0,0,0,0,0,0,0,0,딥러닝
케이저,중소기업,2447,0,17838,24087,8687,2447,1458,524,1556,-7965,5927,2022,딥러닝
고큐바테크놀로지(주),중소기업,77704,4482,148644,47252,32845,77704,23363,14471,645,9447,13921,2022,딥러닝
(주)고스트패스,중소기업,5656,5292,784,-4235,5415,5656,1000,181,-8007,-15157,-7372,2022,딥러닝
(주)휴먼디지탈,중소기업,80000,1130,0,0,0,0,0,0,0,0,0,0,딥러닝
(주)스카우트,중소기업,2616931,3147,482113,437795,362214,2616931,2237130,1985108,44318,75581,66091,2022,딥러닝
(주)헤드헌트,중소기업,100000,0,0,0,0,0,0,0,0,0,0,0,딥러닝
포티투닷 주식회사,중소기업,330478,7291,3650495,9432812,2462012,330478,40203,2506,-6118762,-3452141,-2147287,2022,딥러닝
서치넷,소기업,0,0,0,0,0,0,0,0,0,0,0,0,딥러닝
엑스다임 (주),중소기업,0,0,0,0,0,0,0,0,0,0,0,0,딥러닝
(주)엑사로보틱스,중소기업,0,4495,0,0,0,0,0,0,0,0,0,0,딥러닝
(주)유니코써치,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,딥러닝
제이앤파트너즈코리아 (주),소기업,0,0,0,0,0,0,0,0,0,0,0,0,딥러닝
(주)아이티엔제이,중소기업,200439,4205,103552,103233,98580,200439,214805,204974,318,4652,2280,2022,딥러닝
주식회사 브랜드미,중소기업,291568,4072,0,0,0,0,0,0,0,0,0,0,딥러닝
세미브레인(주),중소기업,10000,0,42701,10603,16167,2000,2000,1500,-7902,-13963,11311,2022,딥러닝
(주)피플케어코리아,중소기업,350000,0,0,0,0,0,0,0,0,0,0,0,딥러닝
(주)넥슨코리아,대기업,250401322,7121,534940163,596569328,221195756,250401322,193347529,215548216,44426909,452328209,45018199,2022,딥러닝
(주)두원전자통신,중소기업,3343666,4382,1366881,1356231,948731,3343666,4257725,2288521,15420,412499,119822,2022,딥러닝
(주)크래프톤,중견기업,176777581,7160,504230426,459207918,120080269,176777581,182837378,9543703,48714260,54220225,515150,2022,딥러닝
(주)이노메트리,중소기업,7373536,5684,5654811,5404691,4760529,7373536,4465577,2049419,314445,369280,-408356,2022,딥러닝
(주)델토이드,중소기업,5920,3445,0,0,0,0,0,0,0,0,0,0,딥러닝
(주)벤처피플,중소기업,0,5730,0,0,0,0,0,0,0,0,0,0,딥러닝
(주)에이치알맨파워그룹,중소기업,847445,5026,154362,144192,131953,847445,876651,620528,10170,12238,2689,2022,딥러닝
(주)에이치알그룹,중소기업,0,2967,0,0,0,0,0,0,0,0,0,0,딥러닝
맨쉬컨설팅주식회사,중소기업,900000,3243,0,0,0,0,0,0,0,0,0,0,딥러닝
코난테크놀로지,중소기업,1538816,5594,4060608,1431137,439886,1538816,1784909,1400147,-327684,189397,148767,2022,딥러닝
보잉코리아(유),중소기업,5315190,7113,11635718,10797202,9984411,5315190,4260407,4298664,839484,811823,150824,2022,딥러닝
(주)핀커스코리아,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,딥러닝
HR컨설팅(주),중소기업,330000,0,0,0,0,0,0,0,0,0,0,0,딥러닝
드림에이치알,중소기업,81845,3020,0,0,0,0,0,0,0,0,0,0,딥러닝
넷마블컴퍼니(주),대기업,96260479,0,485569256,567329358,514810794,96260479,131959571,137842947,-53376830,43849201,10341958,2022,딥러닝
(주)써로마인드,중소기업,322316,5121,197929,155739,148288,322316,76933,63836,43858,8515,35827,2022,딥러닝
주식회사 와이앤와이,중소기업,60624,5764,32809,29042,11277,60624,100060,72913,4216,18078,3795,2022,딥러닝
(주)클라리파이,중소기업,0,4887,-887078,163087,22508,145038,24149,55122,-511216,-159419,-91096,2022,딥러닝
현대자동차(주),대기업,4915569300,7371,0,0,0,0,0,0,0,0,0,0,딥러닝
(주)타노스,중소기업,168819,5641,355160,383446,385917,168819,146531,447109,28414,988,146484,2020,딥러닝
(주)에이치포테크,중소기업,137927,4235,57608,17054,13246,137927,56349,45046,42090,4451,9753,2022,딥러닝
(주)에바,중소기업,724255,0,516447,595736,140888,724255,59086,16479,-79289,-53838,-31853,2022,딥러닝
제이떠블유커리어,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,딥러닝
서울엔지니어링(주),중소기업,803181,5052,822748,820689,796849,803181,720610,570804,2059,23839,-140627,2022,딥러닝
(주) 에이스파트너스서치펌,중소기업,0,1779,0,0,0,0,0,0,0,0,0,0,딥러닝
(주)딥인스펙션,중소기업,207142,2886,749890,303846,297418,207142,192078,219285,18587,18948,34016,2022,딥러닝
(주)웨슬리퀘스트,중소기업,413506,0,0,0,0,0,0,0,0,0,0,0,딥러닝
삼정KPMG그룹,중견기업,76102013,6087,5300400,5131074,4695364,31907438,30044745,27591978,169326,435709,1017185,2017,딥러닝
굿커리어,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,딥러닝
(주)프로매치코리아,중소기업,423497,3606,114350,82310,78616,423497,265846,325101,33839,3693,12757,2021,딥러닝
피플워크(주),중소기업,0,4970,0,0,0,0,0,0,0,0,0,0,딥러닝
(주)아이케이랩,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,딥러닝
(주)뷰런테크놀로지,중소기업,45919,4763,773070,939785,89852,34091,17350,18852,-266673,-44582,-10186,2022,딥러닝
(주)매크로액트,중소기업,120,3839,0,0,0,0,0,0,0,0,0,0,딥러닝
(주)크라우드웍스,중소기업,1068913,4484,443875,-3259384,-902646,1068913,849281,738923,-1309652,-2447503,-607381,2022,딥러닝
파워에이치알,중소기업,120000,0,0,0,0,0,0,0,0,0,0,0,딥러닝
와디즈(주),중소기업,3414284,3339,199293,2903429,1886636,3414284,1211258,119309,-3065406,-2083944,-7236942,2022,딥러닝
휴먼인써치,,0,0,0,0,0,0,0,0,0,0,0,0,딥러닝
(주)더컴퍼니,중소기업,126556,3982,7627,5014,2939,45601,9338,4123,2613,2075,442,2020,딥러닝
(주)무스마,중소기업,408142,4300,588357,426755,225786,408142,191132,67678,11597,-99021,-38776,2022,딥러닝
(주)에이치엘비파트너스,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,딥러닝
(주)메디씽큐,중소기업,200291,5559,59401,24108,73823,200291,81720,64609,-186796,-224086,-114539,2022,딥러닝
온리원파트너스(주),중소기업,483765,5315,68471,56508,33010,483765,443174,233298,11962,23396,6214,2022,딥러닝
(주)아이아이에스티,중소기업,626474,4382,171677,153507,131889,626474,750111,822898,18169,21896,34425,2022,딥러닝
코가로보틱스(주),중소기업,37179,4578,2398977,101575,77147,37179,156842,74946,-835304,60623,37414,2022,딥러닝
투썬캠퍼스 분당센터,,0,0,0,0,0,0,0,0,0,0,0,0,딥러닝
(주)한국정보기술단,중소기업,3829151,4682,1517542,1352527,790173,3829151,2757914,2243032,165014,240557,177639,2022,딥러닝
(주)쉬모스랩,중소기업,22833,3932,10266,4684,6441,22833,31050,1454,581,5743,-7087,2022,딥러닝
엑스와이지로보틱스 코리아 유한회사,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,딥러닝
(주)여의시스템,중소기업,4981895,5222,3458002,3198613,2919476,4981895,4487212,3921157,284694,321996,297167,2022,딥러닝
유어사이드(주),중소기업,0,0,0,0,0,0,0,0,0,0,0,0,딥러닝
(주)스펠릭스,중소기업,607933,5295,233281,139471,60984,607933,439726,337769,103852,78569,7870,2022,딥러닝
(주)비아이씨티,중소기업,19513,4850,18865,11954,10841,19513,8351,3830,6911,1150,3841,2022,딥러닝
(주)스마트디아그노시스,중소기업,38374,4291,0,0,0,0,0,0,0,0,0,0,딥러닝
KSC&C,중소기업,866988,4280,228764,162545,82254,866988,813154,562338,76219,82290,17508,2022,딥러닝
(주)하나금융티아이,중견기업,28292263,6752,19691102,10596219,10690009,28292263,25536476,22502280,8473290,122618,-10245,2022,딥러닝
SK플래닛 Tacademy,대기업,27786713,0,20713467,32777669,32213419,27786713,28062992,27646171,15808625,600348,130491,2022,딥러닝
나노융합산업연구조합,중소기업,0,6165,0,0,0,0,0,0,0,0,0,0,딥러닝
한국폴리텍대학 성남캠퍼스,대기업,0,0,0,0,0,0,0,0,0,0,0,0,딥러닝
(주) 실리콘스튜디오코리아,중소기업,491500,4552,111974,110541,104593,113107,126323,273118,1611,5947,19971,2016,딥러닝
양정인력개발센터,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,딥러닝
대한상공회의소 인천인력개발원,대기업,8309200,0,0,0,0,0,0,0,0,0,0,0,딥러닝
