기업이름,기업규모,매출액,평균연봉,자본총계1,자본총계2,자본총계3,매출액1,매출액2,매출액3,순이익1,순이익2,순이익3,기준년도,키워드
(주)에어로리서치,중소기업,38507,4125,0,0,0,0,0,0,0,0,0,0,드론
주식회사 한컴어썸텍,중소기업,81460,3877,74292,69776,13347,81460,64024,47401,4516,6428,10865,2022,드론
(주)포디게이트,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,드론
(주)엑스퍼넷,중소기업,3212805,5647,924254,847029,668688,3212805,3276745,2653091,77225,178340,68060,2022,드론
대영드론솔루션 주식회사,중소기업,81685,3539,0,0,0,0,0,0,0,0,0,0,드론
주식회사드론아카데미,중소기업,0,3683,0,0,0,0,0,0,0,0,0,0,드론
주식회사리하이,중소기업,161804,3110,36377,28582,4411,161804,118578,44897,10858,23583,2751,2022,드론
(주)비에이블컨설팅그룹,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,드론
(주)스카우트파트너스,중소기업,855603,4515,169197,116080,58451,855603,586943,334395,53117,57628,27402,2022,드론
(주)피플스카우트,중소기업,650000,0,0,0,0,0,0,0,0,0,0,0,드론
잡앤서비스,중견기업,0,0,0,0,0,0,0,0,0,0,0,0,드론
(주)프리뉴,중소기업,921452,4687,425006,282431,143723,186582,539289,648445,-157424,-41866,33475,2022,드론
(주)와이즈교육,중소기업,816310,3924,66299,50968,28686,816310,896016,701963,15330,22281,-140556,2022,드론
(주)봄날,중소기업,0,2803,0,0,0,0,0,0,0,0,0,0,드론
다스코리아,중소기업,5724536,4838,1182820,1157753,947049,5724536,4600909,3619219,67566,216675,-146660,2022,드론
(주)잡뉴스솔로몬서치,중소기업,0,5242,0,0,0,0,0,0,0,0,0,0,드론
한국씨앤오테크(주),중소기업,1844294,4257,768325,837440,960981,1844294,1167101,1185713,-69115,-123540,-271745,2022,드론
웹뜰 주식회사,중소기업,871814,3621,101237,292137,265947,871814,2574676,2054333,-4127,22190,27748,2022,드론
(주)인스파이어인티그레이티드리조트,중소기업,0,4835,22758154,22706598,5709905,0,0,0,51556,-185292,-163460,2017,드론
(주)유비파이,중소기업,635493,4659,252480,187863,86897,635493,343995,143861,64617,100966,56925,2022,드론
(주)피플렙,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,드론
(주)스타리치어드바이져,중소기업,0,3918,0,0,0,0,0,0,0,0,0,0,드론
(주)유나이티드이미징헬스케어코리아,중소기업,0,6008,0,0,0,0,0,0,0,0,0,0,드론
한국교통안전공단,중기업,38479817,4466,23436861,21862975,20816590,38479817,43607780,33865607,63788,1067705,-687089,2022,드론
세종대학교,중견기업,0,2198,0,0,0,0,0,0,0,0,0,0,드론
(주)비엠더블유모토라드광주,중소기업,400000,0,0,0,0,0,0,0,0,0,0,0,드론
제이앤파트너즈코리아 (주),소기업,0,0,0,0,0,0,0,0,0,0,0,0,드론
(주)트라이디,중소기업,50781,4652,0,0,0,0,0,0,0,0,0,0,드론
(주)프로듀스드바이기억,중소기업,488051,4688,8775,8533,-5951,488051,389758,203861,242,14484,9611,2022,드론
주식회사 제이티체인,중소기업,0,3580,0,0,0,0,0,0,0,0,0,0,드론
오가노이드사이언스(주),중소기업,43824,5769,-3956023,3424975,689449,43824,27025,10186,-2411128,-532567,-140197,2022,드론
에디션M,,0,0,0,0,0,0,0,0,0,0,0,0,드론
네오타이드코리아,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,드론
산수음료(주),중소기업,1592070,4712,415395,738302,723117,1592070,1676206,1646769,-322907,15185,-80486,2022,드론
(주)비전드림교육,중소기업,124614,0,13010,8072,6762,124614,91324,34150,4938,1310,3762,2022,드론
(주)자이드물류,중소기업,0,6210,0,0,0,0,0,0,0,0,0,0,드론
(주)지알엔,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,드론
COAD,중소기업,1500000,0,0,0,0,0,0,0,0,0,0,0,드론
주식회사 온나비,중소기업,14560,4124,0,0,0,0,0,0,0,0,0,0,드론
(주)썬에듀파트너스,중소기업,0,1708,0,0,0,0,0,0,0,0,0,0,드론
(주)더프리마,중소기업,393387,4238,30568998,12725385,12879406,393387,409080,1279919,28983441,-154020,-181128,2022,드론
한국폴리텍대학 충주캠퍼스,대기업,0,0,0,0,0,0,0,0,0,0,0,0,드론
