기업이름,기업규모,매출액,평균연봉,자본총계1,자본총계2,자본총계3,매출액1,매출액2,매출액3,순이익1,순이익2,순이익3,기준년도,키워드
(주)유진로봇,중견기업,4962886,5831,4407152,3913085,4129929,4962886,2764629,2463697,487708,-143454,-1025288,2022,로봇제어
(주)유비소시어스,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)엑사로보틱스,중소기업,0,4495,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)잡뉴스솔로몬서치,중소기업,0,5242,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)투비파트너즈,중소기업,250000,0,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)에바,중소기업,724255,0,516447,595736,140888,724255,59086,16479,-79289,-53838,-31853,2022,로봇제어
(주)피플케어코리아,중소기업,350000,0,0,0,0,0,0,0,0,0,0,0,로봇제어
위즈로봇학원,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
쓰리핸즈,소기업,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)프로매치코리아,중소기업,423497,3606,114350,82310,78616,423497,265846,325101,33839,3693,12757,2021,로봇제어
(주)글로벌로보틱스,중소기업,1471895,4877,582599,682460,313607,1471895,1712280,1911155,-100248,43730,-39806,2022,로봇제어
(주)루덴스파트너스,중소기업,184253,3468,30286,27812,-13429,184253,125177,11960,2614,-23757,-18186,2022,로봇제어
에이치알코어스,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)제타크리젠,중소기업,55301,5583,22695,33739,31689,55301,95773,71630,-11044,2070,1988,2022,로봇제어
(주)마젠타로보틱스,중소기업,192598,4673,26273,20905,16498,192598,106183,60539,5368,4407,3469,2022,로봇제어
주식회사 아이요봇,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)에이알247,중소기업,0,4108,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)아이엠티에프에이,중소기업,410458,0,318703,177044,150361,410458,377300,273021,30835,26683,6401,2022,로봇제어
주식회사 코어포인트,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)조인스에이치알코리아,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)피너클써치,중소기업,120793,3384,99679,97840,71001,120793,109519,110621,1839,26838,19394,2018,로봇제어
드림에이치알,중소기업,81845,3020,0,0,0,0,0,0,0,0,0,0,로봇제어
파운드포(주),중소기업,101453,0,0,0,0,0,0,0,0,0,0,0,로봇제어
㈜에이트테크,중소기업,10000,4652,0,0,0,0,0,0,0,0,0,0,로봇제어
휴머레인컨설팅,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
제일유리주식회사,중소기업,2091211,4429,603967,602382,455339,2091211,2354421,1970398,1585,28828,22955,2022,로봇제어
스타웰즈(주),중소기업,61206,3563,79766,72379,63680,61206,54197,10922,-22418,9839,6769,2022,로봇제어
주식회사 지코어테크,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)디엠테크놀러지,중소기업,1356272,6238,1672847,1626150,1571018,1356272,1020441,1367884,46641,54848,22736,2022,로봇제어
(주)피플스카우트,중소기업,650000,0,0,0,0,0,0,0,0,0,0,0,로봇제어
코웨이(주),중견기업,281348892,5796,197569655,165886246,138597477,281348892,281464816,259254694,37131777,34655918,28055060,2022,로봇제어
(주)매크로액트,중소기업,120,3839,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)프로닉스,중소기업,40097,2450,7906,7223,3333,40097,56453,2700,691,4322,375,2022,로봇제어
메리텍산업,중소기업,191689,0,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)유베이스,중견기업,41483537,0,43116694,43356198,42829078,41483537,38957479,39419956,754269,1382983,-316589,2022,로봇제어
(주)에이치알맨파워그룹,중소기업,847445,5026,154362,144192,131953,847445,876651,620528,10170,12238,2689,2022,로봇제어
자이언트봇,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
에스에프인촌 주식회사,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)이오스시스템,중소기업,879274,4159,156966,123709,10584,879274,663238,429679,35586,22909,-29452,2022,로봇제어
현대자동차(주),대기업,4915569300,7371,0,0,0,0,0,0,0,0,0,0,로봇제어
탑커리어인사이트,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
써치스퀘어,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
코가로보틱스(주),중소기업,37179,4578,2398977,101575,77147,37179,156842,74946,-835304,60623,37414,2022,로봇제어
(주)인성hs,중소기업,1500000,0,0,0,0,0,0,0,0,0,0,0,로봇제어
