기업이름,분야,평점,연봉,2차산업군
한국토지주택공사 ,건설업,3.7,3547,건설업
한전KPS(주) ,건설업,3.9,3958,건설업
현대엔지니어링(주) ,건설업,3.4,6122,건설업
현대건설(주) ,건설업,3.3,6178,건설업
삼성물산(주) 건설부문 ,건설업,3.3,6239,건설업
(주)대우건설 ,건설업,3.5,5523,건설업
지에스건설(주) ,건설업,3.1,6444,건설업
에스케이에코플랜트(주) ,건설업,3.3,5694,건설업
주택관리공단(주) ,건설업,2.3,2781,건설업
디엘(주) ,건설업,3.2,5779,건설업
(주)포스코이앤씨 ,건설업,3.5,5586,건설업
한국도로공사 ,건설업,3.8,4168,건설업
롯데건설(주) ,건설업,3.1,5760,건설업
(주)국보디자인 ,건설업,2.2,3312,건설업
(주)한국가스기술공사 ,건설업,2.9,4018,건설업
(주)보미건설 ,건설업,2.9,4551,건설업
(주)서희건설 ,건설업,1.9,4054,건설업
(주)수산인더스트리 ,건설업,3.2,3939,건설업
(주)도화엔지니어링 ,건설업,3.0,4729,건설업
한양이엔지(주) ,건설업,2.7,4183,건설업
(주)금화피에스시 ,건설업,2.9,4167,건설업
휴먼터치(주) ,건설업,1.8,3007,건설업
(주)부영주택 ,건설업,2.1,4902,건설업
(주)호반건설 ,건설업,2.8,4846,건설업
코오롱글로벌(주) ,건설업,3.1,5220,건설업
(주)한화건설 ,건설업,3.2,5555,건설업
(주)케이씨씨건설 ,건설업,2.5,4933,건설업
대방건설(주) ,건설업,2.5,4620,건설업
(주)에이치제이중공업 ,건설업,2.8,5412,건설업
한신공영(주) ,건설업,2.3,5000,건설업
(주)케이알산업 ,건설업,2.4,5331,건설업
계룡건설산업(주) ,건설업,2.7,5044,건설업
(주)희림종합건축사사무소 ,건설업,2.7,3739,건설업
(주)유신 ,건설업,2.9,4248,건설업
에스지씨이테크건설(주) ,건설업,3.0,5050,건설업
코레일테크(주) ,건설업,2.2,3144,건설업
금호건설(주) ,건설업,2.9,5279,건설업
세보엠이씨(주) ,건설업,2.4,3660,건설업
아이에스동서(주) ,건설업,2.9,4480,건설업
우미건설(주) ,건설업,3.5,5128,건설업
(주)금강주택 ,건설업,2.0,5395,건설업
(주)한국종합기술 ,건설업,3.3,4498,건설업
(주)반도건설 ,건설업,2.6,5264,건설업
태영건설(주) ,건설업,3.0,5904,건설업
(주)서한 ,건설업,2.7,3945,건설업
한국산업단지공단 ,건설업,3.8,4110,건설업
(주)다원앤컴퍼니 ,건설업,2.4,3358,건설업
(주)해안종합건축사사무소 ,건설업,3.6,4143,건설업
(주)동해종합기술공사 ,건설업,2.5,3847,건설업
씨비알이코리아(주) ,건설업,3.4,4637,건설업
교보리얼코(주) ,건설업,2.6,3869,건설업
한솔이엠이(주) ,건설업,2.3,3802,건설업
두산건설(주) ,건설업,3.2,5389,건설업
(주)태성환경연구소 ,건설업,2.1,3038,건설업
벽산엔지니어링(주) ,건설업,2.5,4357,건설업
쌍용건설(주) ,건설업,3.3,5574,건설업
삼호개발(주) ,건설업,2.4,3889,건설업
(주)한양 ,건설업,2.8,5075,건설업
동부건설(주) ,건설업,3.2,5335,건설업
(주)수성엔지니어링 ,건설업,2.6,3934,건설업
브니엘네이처(주) ,건설업,2.8,2889,건설업
아세아환경조경 ,건설업,2.0,3367,건설업
현대산업개발(주) ,건설업,3.1,5021,건설업
강산건설(주) ,건설업,2.1,4477,건설업
자이에스앤디(주) ,건설업,3.1,4629,건설업
(주)선진엔지니어링종합건축사사무소 ,건설업,2.6,3589,건설업
존스랑라살(주) ,건설업,2.7,3774,건설업
존슨콘트롤즈인터내셔널코리아(주) ,건설업,2.6,3665,건설업
케이지엔지니어링종합건축사사무소(주) ,건설업,2.9,4128,건설업
동일기술공사(주) ,건설업,2.5,3579,건설업
(주)우리피앤에스 ,건설업,3.0,3377,건설업
(주)휴머스원 ,건설업,2.9,4187,건설업
지에스네오텍(주) ,건설업,3.3,5196,건설업
제일건설(주) ,건설업,3.0,5041,건설업
(주)서영엔지니어링 ,건설업,2.8,4037,건설업
디엘건설(주) ,건설업,3.2,5224,건설업
(주)정림건축종합건축사사무소 ,건설업,3.2,4082,건설업
롯데자산개발(주) ,건설업,2.6,5073,건설업
(주)대혜건축 ,건설업,2.7,3478,건설업
한방유비스(주) ,건설업,2.5,3019,건설업
경호엔지니어링종합건축사사무소(주) ,건설업,2.3,3862,건설업
듀어코리아(주) ,건설업,2.4,4129,건설업
(주)포스코플랜텍 ,건설업,2.8,4918,건설업
(주)금성백조주택 ,건설업,2.3,4284,건설업
(주)은민에스엔디 ,건설업,2.4,3393,건설업
(주)제일엔지니어링종합건축사사무소 ,건설업,2.6,3561,건설업
대우조선해양건설(주) ,건설업,2.7,4792,건설업
두원이에프씨(주) ,건설업,2.3,3681,건설업
에이치엘디앤아이한라(주) ,건설업,3.4,5705,건설업
한미글로벌건축사사무소(주) ,건설업,3.2,4540,건설업
(주)행림종합건축사사무소 ,건설업,2.2,3374,건설업
두양건축(주) ,건설업,2.6,3197,건설업
이웨이(주) ,건설업,1.9,2740,건설업
건일엠이씨(주) ,건설업,1.8,3195,건설업
(주)계선 ,건설업,2.7,3753,건설업
간삼건축종합건축사사무소(주) ,건설업,3.0,3850,건설업
(주)신안 ,건설업,2.0,3645,건설업
평화엔지니어링(주) ,건설업,2.3,4195,건설업
(주)디에이그룹엔지니어링종합건축사사무소 ,건설업,2.6,3963,건설업
경기주택도시공사 ,건설업,4.0,3560,건설업
(주)서해종합건설 ,건설업,2.9,5250,건설업
(주)동아지질 ,건설업,1.9,3804,건설업
(주)타워피엠씨 ,건설업,2.6,3036,건설업
신세계건설(주) ,건설업,3.2,5252,건설업
(주)삼원에스앤디 ,건설업,2.5,3157,건설업
