기업이름,분야,평점,연봉,2차산업군
포스코홀딩스(주) ,제조/화학,3.3,5526,금속/재료/철강
현대제철(주) ,제조/화학,2.9,5520,금속/재료/철강
(주)와이지-원 ,제조/화학,1.8,3648,금속/재료/철강
엘아이지넥스원(주) ,제조/화학,3.5,5365,금속/재료/철강
원익큐엔씨(주) ,제조/화학,2.9,3850,금속/재료/철강
(주)풍산 ,제조/화학,3.5,5403,금속/재료/철강
현대종합금속(주) ,제조/화학,2.6,4596,금속/재료/철강
동국홀딩스(주) ,제조/화학,3.3,4952,금속/재료/철강
이화다이아몬드공업(주) ,제조/화학,2.4,4458,금속/재료/철강
(주)포스코퓨처엠 ,제조/화학,3.5,5285,금속/재료/철강
(주)진합 ,제조/화학,2.3,3345,금속/재료/철강
(주)솔리티 ,제조/화학,1.7,4524,금속/재료/철강
(주)삼우코리아 ,제조/화학,2.3,2996,금속/재료/철강
노벨리스코리아(주) ,제조/화학,3.3,4358,금속/재료/철강
강림중공업(주) ,제조/화학,2.5,3649,금속/재료/철강
한국야금(주) ,제조/화학,3.3,4262,금속/재료/철강
고려아연(주) ,제조/화학,3.2,5003,금속/재료/철강
롯데알미늄(주) ,제조/화학,2.6,3918,금속/재료/철강
세원이앤씨(주) ,제조/화학,2.5,3557,금속/재료/철강
로얄앤컴퍼니(주) ,제조/화학,1.8,3647,금속/재료/철강
유진기업(주) ,제조/화학,2.7,4491,금속/재료/철강
(주)영풍 ,제조/화학,2.1,3588,금속/재료/철강
티씨케이(주) ,제조/화학,2.7,3988,금속/재료/철강
신양금속공업(주) ,제조/화학,1.6,3269,금속/재료/철강
전기초자코리아(주) ,제조/화학,2.6,4523,금속/재료/철강
일진제강(주) ,제조/화학,2.4,4133,금속/재료/철강
파주전기초자(주) ,제조/화학,2.4,4206,금속/재료/철강
고려제강(주) ,제조/화학,2.4,3976,금속/재료/철강
신한다이아몬드공업(주) ,제조/화학,2.9,3665,금속/재료/철강
새솔다이아몬드공업(주) ,제조/화학,2.5,3834,금속/재료/철강
케이지스틸(주) ,제조/화학,2.7,4309,금속/재료/철강
(주)엔케이 ,제조/화학,2.3,3849,금속/재료/철강
(주)태웅 ,제조/화학,2.2,3792,금속/재료/철강
엘에스엠앤엠(주) ,제조/화학,3.2,5293,금속/재료/철강
(주)창성 ,제조/화학,2.7,4066,금속/재료/철강
경동원(주) ,제조/화학,2.5,4426,금속/재료/철강
크나우프석고보드(주) ,제조/화학,2.8,4533,금속/재료/철강
삼표(주) ,제조/화학,2.3,4052,금속/재료/철강
삼목에스폼(주) ,제조/화학,2.1,3535,금속/재료/철강
(주)한국화이바 ,제조/화학,2.9,3692,금속/재료/철강
대한제강(주) ,제조/화학,3.3,4970,금속/재료/철강
(주)덕신하우징 ,제조/화학,1.7,4184,금속/재료/철강
(주)마팔하이테코 ,제조/화학,2.5,3679,금속/재료/철강
하이록코리아(주) ,제조/화학,2.5,3786,금속/재료/철강
(주)세아베스틸 ,제조/화학,3.4,4786,금속/재료/철강
(주)포인트엔지니어링 ,제조/화학,2.1,3362,금속/재료/철강
금강공업(주) ,제조/화학,2.7,3574,금속/재료/철강
오제이씨(주) ,제조/화학,2.4,3337,금속/재료/철강
(주)벽산 ,제조/화학,3.1,4498,금속/재료/철강
아반스트레이트코리아(주) ,제조/화학,2.2,3555,금속/재료/철강
다인정공(주) ,제조/화학,3.1,4053,금속/재료/철강
(주)영광와이케이엠씨 ,제조/화학,1.9,3343,금속/재료/철강
(주)코스틸 ,제조/화학,1.8,3871,금속/재료/철강
한국내화(주) ,제조/화학,3.2,4667,금속/재료/철강
현대비앤지스틸(주) ,제조/화학,2.7,4777,금속/재료/철강
조선내화(주) ,제조/화학,3.0,4740,금속/재료/철강
씨케이코퍼레이션즈(주) ,제조/화학,2.3,3346,금속/재료/철강
쌍용씨앤이(주) ,제조/화학,3.2,5188,금속/재료/철강
서보산업(주) ,제조/화학,1.9,2959,금속/재료/철강
(주)세아제강 ,제조/화학,3.4,4592,금속/재료/철강
(주)엘엑스글라스 ,제조/화학,2.7,4237,금속/재료/철강
태광(주) ,제조/화학,2.4,4423,금속/재료/철강
유니슨이테크(주) ,제조/화학,2.2,4050,금속/재료/철강
휴스틸(주) ,제조/화학,2.5,4186,금속/재료/철강
에스케이오션플랜트(주) ,제조/화학,2.3,3459,금속/재료/철강
(주)삼우 ,제조/화학,2.6,3784,금속/재료/철강
다스코(주) ,제조/화학,2.3,3798,금속/재료/철강
성신양회(주) ,제조/화학,2.8,4738,금속/재료/철강
(주)아주 ,제조/화학,2.7,4192,금속/재료/철강
세아에프에스(주) ,제조/화학,2.1,5112,금속/재료/철강
한국통산(주) ,제조/화학,2.7,3711,금속/재료/철강
(주)세아특수강 ,제조/화학,3.1,4752,금속/재료/철강
