기업이름,분야,평점,연봉,2차산업군
현대자동차(주) ,제조/화학,3.8,5745,기계/설비/자동차
현대모비스(주) ,제조/화학,3.5,5698,기계/설비/자동차
기아(주) ,제조/화학,4,5685,기계/설비/자동차
두산에너빌리티(주) ,제조/화학,3.3,5916,기계/설비/자동차
(주)바디프랜드 ,제조/화학,2.8,3454,기계/설비/자동차
(주)유라코퍼레이션 ,제조/화학,2.9,4784,기계/설비/자동차
캐논코리아(주) ,제조/화학,2.7,3912,기계/설비/자동차
에스엘(주) ,제조/화학,2.9,5492,기계/설비/자동차
에이치디현대인프라코어(주) ,제조/화학,3.3,5810,기계/설비/자동차
한국후지필름비즈니스이노베이션(주) ,제조/화학,2.4,3840,기계/설비/자동차
르노코리아자동차(주) ,제조/화학,2.8,4775,기계/설비/자동차
(주)경동나비엔 ,제조/화학,2.5,4788,기계/설비/자동차
크린팩토메이션(주) ,제조/화학,3.1,3522,기계/설비/자동차
(주)일진글로벌홀딩스 ,제조/화학,3.1,4899,기계/설비/자동차
(주)모베이스전자 ,제조/화학,2,4779,기계/설비/자동차
현대트랜시스(주) ,제조/화학,3.2,5661,기계/설비/자동차
에이치엘만도(주) ,제조/화학,3.1,5851,기계/설비/자동차
(주)테크윙 ,제조/화학,2.1,3516,기계/설비/자동차
도쿄일렉트론코리아(주) ,제조/화학,3.8,4389,기계/설비/자동차
한국지엠(주) ,제조/화학,3.5,5638,기계/설비/자동차
씨에스케이(주) ,제조/화학,2.7,3673,기계/설비/자동차
현대로템(주) ,제조/화학,3.1,5146,기계/설비/자동차
(주)성우하이텍 ,제조/화학,2.8,4525,기계/설비/자동차
쿠쿠전자(주) ,제조/화학,2.3,4045,기계/설비/자동차
(주)신도리코 ,제조/화학,2.6,4527,기계/설비/자동차
엘에스엠트론(주) ,제조/화학,2.7,5165,기계/설비/자동차
(주)위니아전자 ,제조/화학,2.3,4526,기계/설비/자동차
현대엘리베이터(주) ,제조/화학,3,5174,기계/설비/자동차
현대위아(주) ,제조/화학,3,5449,기계/설비/자동차
서진산업(주) ,제조/화학,1.9,4006,기계/설비/자동차
하이에어코리아(주) ,제조/화학,2.1,3614,기계/설비/자동차
(주)글로벌스탠다드테크놀로지 ,제조/화학,2.1,3428,기계/설비/자동차
인지컨트롤스(주) ,제조/화학,2.1,3968,기계/설비/자동차
주성엔지니어링(주) ,제조/화학,2.8,4116,기계/설비/자동차
한화에어로스페이스(주) ,제조/화학,3.1,5204,기계/설비/자동차
엘에스오토모티브(주) ,제조/화학,2.5,4644,기계/설비/자동차
(주)바텍 ,제조/화학,2.3,4255,기계/설비/자동차
(주)귀뚜라미 ,제조/화학,1.8,3331,기계/설비/자동차
(주)인바디 ,제조/화학,2.6,4665,기계/설비/자동차
오티스엘리베이터(유) ,제조/화학,2.9,3848,기계/설비/자동차
(주)탑엔지니어링 ,제조/화학,2.4,4052,기계/설비/자동차
한온시스템(주) ,제조/화학,3.4,5242,기계/설비/자동차
(주)에이치비테크놀러지 ,제조/화학,2.5,3746,기계/설비/자동차
한국로버트보쉬(주) ,제조/화학,3.6,4863,기계/설비/자동차
에코캡(주) ,제조/화학,1.7,3350,기계/설비/자동차
핸즈코퍼레이션(주) ,제조/화학,2.3,4192,기계/설비/자동차
콘티넨탈오토모티브일렉트로닉스(유) ,제조/화학,3.4,5113,기계/설비/자동차
(주)우진플라임 ,제조/화학,2,3433,기계/설비/자동차
에스티엑스중공업(주) ,제조/화학,2.7,4063,기계/설비/자동차
고영테크놀러지(주) ,제조/화학,2.7,4571,기계/설비/자동차
(주)동보 ,제조/화학,1.8,3827,기계/설비/자동차
(주)에스에프에이 ,제조/화학,2.8,4677,기계/설비/자동차
삼성메디슨(주) ,제조/화학,2.9,4935,기계/설비/자동차
명화공업(주) ,제조/화학,2.3,4314,기계/설비/자동차
케이지모빌리티 (주) ,제조/화학,2.9,5597,기계/설비/자동차
효성티앤에스(주) ,제조/화학,3,5169,기계/설비/자동차
(주)톱텍 ,제조/화학,2.3,3710,기계/설비/자동차
한국엔에스케이(주) ,제조/화학,2.5,4740,기계/설비/자동차
한국알박(주) ,제조/화학,3.1,4033,기계/설비/자동차
파킹클라우드(주) ,제조/화학,2.1,3502,기계/설비/자동차
태양금속공업(주) ,제조/화학,2.1,4082,기계/설비/자동차
한솔아이원스(주) ,제조/화학,2.4,3468,기계/설비/자동차
코미코(주) ,제조/화학,2.8,3663,기계/설비/자동차
태광후지킨(주) ,제조/화학,2.7,3507,기계/설비/자동차
비테스코테크놀로지스코리아유한책임회사 ,제조/화학,3.5,6064,기계/설비/자동차
덴소코리아(주) ,제조/화학,2.1,4903,기계/설비/자동차
계양전기(주) ,제조/화학,2.5,5673,기계/설비/자동차
한국알프스(주) ,제조/화학,2.5,4228,기계/설비/자동차
참엔지니어링(주) ,제조/화학,2.5,3759,기계/설비/자동차
(주)에이치엘클레무브 ,제조/화학,3.3,6013,기계/설비/자동차
오텍캐리어(주) ,제조/화학,2.3,3765,기계/설비/자동차
유니크(주) ,제조/화학,2.4,4591,기계/설비/자동차
(주)유도 ,제조/화학,2.2,4112,기계/설비/자동차
동희산업(주) ,제조/화학,2.8,4324,기계/설비/자동차
(주)미래컴퍼니 ,제조/화학,2.7,4106,기계/설비/자동차
모트렉스(주) ,제조/화학,2.6,4655,기계/설비/자동차
화신(주) ,제조/화학,3.3,4442,기계/설비/자동차
(주)로보스타 ,제조/화학,2.5,3571,기계/설비/자동차
