기업이름,분야,평점,연봉,2차산업군
동원산업(주) ,제조/화학,2.2,3914,농업/어업/임업/광업
농업회사법인조인(주) ,제조/화학,2.6,3355,농업/어업/임업/광업
(주)체리부로 ,제조/화학,2.2,3196,농업/어업/임업/광업
농업회사법인아시아종묘(주) ,제조/화학,2.2,3654,농업/어업/임업/광업
한국석유공사 ,제조/화학,3.5,5148,농업/어업/임업/광업
사조산업(주) ,제조/화학,1.6,3930,농업/어업/임업/광업
신라교역(주) ,제조/화학,2.4,4222,농업/어업/임업/광업
농업회사법인(주)농우바이오 ,제조/화학,2.8,3980,농업/어업/임업/광업
농업회사법인만나씨이에이(주) ,제조/화학,3.1,3266,농업/어업/임업/광업
농업회사법인(주)넥스트온 ,제조/화학,2.4,3028,농업/어업/임업/광업
농업회사법인(주)다비육종 ,제조/화학,2.7,3489,농업/어업/임업/광업
코린도 ,제조/화학,3.1,6250,농업/어업/임업/광업
(주)서울바이오 ,제조/화학,3.0,3176,농업/어업/임업/광업
대한석탄공사 ,제조/화학,2.8,4205,농업/어업/임업/광업
농업회사법인(주)피피에스 ,제조/화학,2.8,3550,농업/어업/임업/광업
(주)농업회사법인온브릭스 ,제조/화학,2.8,2736,농업/어업/임업/광업
성화산업(주) ,제조/화학,2.8,4428,농업/어업/임업/광업
록야(주) ,제조/화학,2.3,3894,농업/어업/임업/광업
참손푸드(주) ,제조/화학,3.0,3220,농업/어업/임업/광업
(주)농경 ,제조/화학,2.3,3433,농업/어업/임업/광업
쌍용자원개발(주) ,제조/화학,2.1,7055,농업/어업/임업/광업
퀸타일즈 ,제조/화학,2.4,5315,농업/어업/임업/광업
한국의집 ,제조/화학,3.6,2460,농업/어업/임업/광업
인성실업(주) ,제조/화학,3.5,4136,농업/어업/임업/광업
(주)한림농원 농업회사법인 ,제조/화학,2.3,0,농업/어업/임업/광업
(주)동원 ,제조/화학,3.0,3218,농업/어업/임업/광업
경북햇살농원영농조합법인 ,제조/화학,3.0,0,농업/어업/임업/광업
내추럴초이스(주) ,제조/화학,3.5,0,농업/어업/임업/광업
에스엔이 ,제조/화학,2.5,2620,농업/어업/임업/광업
태흥종축영농조합법인 ,제조/화학,2.0,2803,농업/어업/임업/광업
휴미템 ,제조/화학,5.0,0,농업/어업/임업/광업
(주)에이디수산 ,제조/화학,5.0,0,농업/어업/임업/광업
구례군산림조합 ,제조/화학,2.0,3965,농업/어업/임업/광업
세종특별자치시산림조합 ,제조/화학,4.0,0,농업/어업/임업/광업
에스엠알(주) ,제조/화학,1.0,0,농업/어업/임업/광업
이레푸드 ,제조/화학,4.0,0,농업/어업/임업/광업
토마토 ,제조/화학,3.0,3567,농업/어업/임업/광업
(주)이너팜 ,제조/화학,0.0,0,농업/어업/임업/광업
더푸른채영농조합법인 ,제조/화학,0.0,0,농업/어업/임업/광업
무경산업 ,제조/화학,0.0,2440,농업/어업/임업/광업
소래영농조합법인 ,제조/화학,0.0,0,농업/어업/임업/광업
신농영농조합법인 ,제조/화학,0.0,0,농업/어업/임업/광업
영농조합법인자연농산 ,제조/화학,0.0,0,농업/어업/임업/광업
영농조합법인한국농원 ,제조/화학,0.0,2092,농업/어업/임업/광업
영농조합법인화성21 ,제조/화학,0.0,0,농업/어업/임업/광업
영천양잠농업협동조합 ,제조/화학,0.0,0,농업/어업/임업/광업
일이축산영농조합법인 ,제조/화학,0.0,2231,농업/어업/임업/광업
임진강영어조합법인 ,제조/화학,0.0,0,농업/어업/임업/광업
정읍양잠농업협동조합 ,제조/화학,0.0,0,농업/어업/임업/광업
제석영농조합법인 ,제조/화학,0.0,1800,농업/어업/임업/광업
제주양계영농조합법인 ,제조/화학,0.0,2214,농업/어업/임업/광업
창진영농조합법인 ,제조/화학,0.0,3623,농업/어업/임업/광업
텃골영농조합법인 ,제조/화학,0.0,2653,농업/어업/임업/광업
피그진코리아(주) ,제조/화학,0.0,3510,농업/어업/임업/광업
하늘농산영농조합법인 ,제조/화학,0.0,0,농업/어업/임업/광업
함양지리산영농조합법인 ,제조/화학,0.0,0,농업/어업/임업/광업
호남버섯영농조합법인 ,제조/화학,0.0,0,농업/어업/임업/광업
