기업이름,분야,평점,연봉,2차산업군
엘지디스플레이(주) ,제조/화학,3.1,5022,반도체/디스플레이
에스케이하이닉스(주) ,제조/화학,3.6,5093,반도체/디스플레이
앰코테크놀로지코리아(주) ,제조/화학,2.7,3825,반도체/디스플레이
(유)스태츠칩팩코리아 ,제조/화학,2.6,3782,반도체/디스플레이
삼성디스플레이(주) ,제조/화학,3.4,5250,반도체/디스플레이
유니셈(주) ,제조/화학,2.3,3240,반도체/디스플레이
에스케이실트론(주) ,제조/화학,3.0,4528,반도체/디스플레이
(주)네패스 ,제조/화학,2.9,4072,반도체/디스플레이
(주)엠씨넥스 ,제조/화학,2.0,3786,반도체/디스플레이
(주)원익아이피에스 ,제조/화학,2.7,4646,반도체/디스플레이
(주)케이씨텍 ,제조/화학,3.0,4139,반도체/디스플레이
온세미컨덕터코리아(주) ,제조/화학,2.9,4055,반도체/디스플레이
한미반도체(주) ,제조/화학,2.3,3871,반도체/디스플레이
세메스(주) ,제조/화학,3.3,5237,반도체/디스플레이
(주)휴맥스 ,제조/화학,2.8,4586,반도체/디스플레이
어플라이드머티어리얼즈코리아(주) ,제조/화학,3.6,4976,반도체/디스플레이
(주)이오테크닉스 ,제조/화학,1.9,4126,반도체/디스플레이
(주)디비하이텍 ,제조/화학,2.7,4275,반도체/디스플레이
서울반도체(주) ,제조/화학,2.5,4962,반도체/디스플레이
에이에스엠엘코리아(주) ,제조/화학,3.8,5410,반도체/디스플레이
(주)세코닉스 ,제조/화학,2.2,4051,반도체/디스플레이
시그네틱스(주) ,제조/화학,2.1,3681,반도체/디스플레이
하나마이크론(주) ,제조/화학,2.6,3944,반도체/디스플레이
(주)신성이엔지 ,제조/화학,2.5,3684,반도체/디스플레이
엠이엠씨코리아(주) ,제조/화학,3.6,3880,반도체/디스플레이
(주)아이씨디 ,제조/화학,2.4,4040,반도체/디스플레이
(주)제우스 ,제조/화학,3.5,4052,반도체/디스플레이
(주)에스에프에이반도체 ,제조/화학,2.5,3878,반도체/디스플레이
매그나칩반도체(유) ,제조/화학,3.0,4430,반도체/디스플레이
(주)인터로조 ,제조/화학,2.3,3995,반도체/디스플레이
(주)엘아이에스 ,제조/화학,2.3,3829,반도체/디스플레이
(주)아이아이컴바인드 ,제조/화학,3.1,3782,반도체/디스플레이
에이피시스템(주) ,제조/화학,2.7,4009,반도체/디스플레이
(주)나래나노텍 ,제조/화학,2.5,3966,반도체/디스플레이
(주)엘엠에스 ,제조/화학,2.0,3929,반도체/디스플레이
케이맥(주) ,제조/화학,2.3,3649,반도체/디스플레이
(주)엘엑스세미콘 ,제조/화학,2.7,4875,반도체/디스플레이
(주)코텍 ,제조/화학,2.3,4210,반도체/디스플레이
웅진에너지(주) ,제조/화학,2.5,4145,반도체/디스플레이
스테코(주) ,제조/화학,3.0,4099,반도체/디스플레이
광전자(주) ,제조/화학,2.3,3113,반도체/디스플레이
(주)에프에스티 ,제조/화학,3.2,3917,반도체/디스플레이
(주)인터엠 ,제조/화학,2.3,3066,반도체/디스플레이
(주)케이이씨 ,제조/화학,2.5,3949,반도체/디스플레이
(주)루멘스 ,제조/화학,2.3,3610,반도체/디스플레이
일진디스플레이(주) ,제조/화학,2.5,4063,반도체/디스플레이
(주)하이비젼시스템 ,제조/화학,2.8,4432,반도체/디스플레이
크레신(주) ,제조/화학,2.7,4635,반도체/디스플레이
(주)그린광학 ,제조/화학,2.0,3181,반도체/디스플레이
에스피반도체통신(주) ,제조/화학,2.1,3238,반도체/디스플레이
하나머티리얼즈(주) ,제조/화학,2.9,3929,반도체/디스플레이
(주)큐엠씨 ,제조/화학,2.2,3492,반도체/디스플레이
희성전자(주) ,제조/화학,2.5,4857,반도체/디스플레이
서울바이오시스(주) ,제조/화학,2.3,4854,반도체/디스플레이
(주)메카로 ,제조/화학,2.9,3696,반도체/디스플레이
윈팩(주) ,제조/화학,2.2,3605,반도체/디스플레이
램리서치코리아(유) ,제조/화학,3.8,4714,반도체/디스플레이
(주)싸이노스 ,제조/화학,2.6,3694,반도체/디스플레이
한국호야전자(주) ,제조/화학,2.6,3367,반도체/디스플레이
(주)디에이치오토웨어 ,제조/화학,2.3,4125,반도체/디스플레이
(주)옵트론텍 ,제조/화학,2.4,3654,반도체/디스플레이
(주)에이팩트 ,제조/화학,2.7,3801,반도체/디스플레이
(주)상보 ,제조/화학,2.5,3639,반도체/디스플레이
이엘케이(주) ,제조/화학,2.5,3444,반도체/디스플레이
재영솔루텍(주) ,제조/화학,2.5,3481,반도체/디스플레이
(주)테크엘 ,제조/화학,2.6,3385,반도체/디스플레이
케이엘에이텐코코리아(주) ,제조/화학,3.9,5456,반도체/디스플레이
(주)싸이맥스 ,제조/화학,3.1,4024,반도체/디스플레이
인켈(주) ,제조/화학,2.2,3801,반도체/디스플레이
인테그리스코리아(주) ,제조/화학,3.2,4669,반도체/디스플레이
인피니언테크놀로지스파워세미텍(주) ,제조/화학,3.1,4597,반도체/디스플레이
(주)선익시스템 ,제조/화학,2.3,3576,반도체/디스플레이
(주)뉴옵틱스 ,제조/화학,2.5,4395,반도체/디스플레이
엘티소재(주) ,제조/화학,2.5,4465,반도체/디스플레이
와이엠씨(주) ,제조/화학,2.3,3320,반도체/디스플레이
아바텍(주) ,제조/화학,2.2,3531,반도체/디스플레이
(주)케이씨이노베이션 ,제조/화학,2.9,3680,반도체/디스플레이
코웰전자(주) ,제조/화학,2.0,5319,반도체/디스플레이
(주)인지디스플레이 ,제조/화학,2.4,3887,반도체/디스플레이
(주)휴비츠 ,제조/화학,2.6,4491,반도체/디스플레이
글로텍(주) ,제조/화학,1.9,3419,반도체/디스플레이
(주)비에스이 ,제조/화학,1.9,3947,반도체/디스플레이
(주)미래보 ,제조/화학,2.6,3036,반도체/디스플레이
(주)나노엔텍 ,제조/화학,3.0,3667,반도체/디스플레이
(주)오디텍 ,제조/화학,2.5,3781,반도체/디스플레이
이오시스템(주) ,제조/화학,2.1,4114,반도체/디스플레이
엠케이에스코리아(유) ,제조/화학,3.4,3672,반도체/디스플레이
(주)범천정밀 ,제조/화학,2.4,3925,반도체/디스플레이
에이티아이(주) ,제조/화학,3.1,3915,반도체/디스플레이
(주)넥솔론 ,제조/화학,2.9,3430,반도체/디스플레이
에스텍(주) ,제조/화학,2.5,3886,반도체/디스플레이
엠케이전자(주) ,제조/화학,2.7,3841,반도체/디스플레이
(주)미코세라믹스 ,제조/화학,2.4,3972,반도체/디스플레이
(주)인화이엔지 ,제조/화학,1.8,3022,반도체/디스플레이
(주)테스 ,제조/화학,3.3,4557,반도체/디스플레이
대곤코퍼레이션(주) ,제조/화학,2.7,4262,반도체/디스플레이
방주광학(주) ,제조/화학,2.0,3566,반도체/디스플레이
(주)도우인시스 ,제조/화학,1.8,3774,반도체/디스플레이
멜콘(주) ,제조/화학,3.4,3221,반도체/디스플레이
에이치디현대에너지솔루션(주) ,제조/화학,2.2,4927,반도체/디스플레이
지스마트글로벌(주) ,제조/화학,1.7,3388,반도체/디스플레이
링크플로우(주) ,제조/화학,3.1,3257,반도체/디스플레이
엠티아이(주) ,제조/화학,1.9,3728,반도체/디스플레이
(주)이지엠인터내셔널 ,제조/화학,2.9,3128,반도체/디스플레이
덕산하이메탈(주) ,제조/화학,2.6,4435,반도체/디스플레이
씨게이트코리아(유) ,제조/화학,3.7,6512,반도체/디스플레이
휴맥스오토모티브 ,제조/화학,2.6,4676,반도체/디스플레이
(주)티로보틱스 ,제조/화학,2.5,3660,반도체/디스플레이
디엔에프(주) ,제조/화학,3.1,3936,반도체/디스플레이
알에프세미(주) ,제조/화학,2.5,3010,반도체/디스플레이
(주)에스엔텍 ,제조/화학,1.8,3584,반도체/디스플레이
(주)케이에스엠컴포넌트 ,제조/화학,2.7,3506,반도체/디스플레이
일진엘이디(주) ,제조/화학,2.6,2990,반도체/디스플레이
에이엠에스티(주) ,제조/화학,2.5,3340,반도체/디스플레이
해성옵틱스(주) ,제조/화학,2.5,3598,반도체/디스플레이
제너셈(주) ,제조/화학,2.4,3981,반도체/디스플레이
(주)앤씨앤 ,제조/화학,2.6,4407,반도체/디스플레이
(주)에스엘에너지 ,제조/화학,2.8,3795,반도체/디스플레이
(주)오로스테크놀로지 ,제조/화학,3.7,4731,반도체/디스플레이
코아리버(주) ,제조/화학,2.4,2813,반도체/디스플레이
큐알티(주) ,제조/화학,3.0,5026,반도체/디스플레이
(주)노블엠앤비 ,제조/화학,2.2,4008,반도체/디스플레이
(주)동원파츠 ,제조/화학,2.6,3380,반도체/디스플레이
오씨아이스페셜티(주) ,제조/화학,2.2,3936,반도체/디스플레이
한국호야렌즈(주) ,제조/화학,2.5,3921,반도체/디스플레이
(주)동운아나텍 ,제조/화학,2.5,4513,반도체/디스플레이
(주)와이투솔루션 ,제조/화학,2.2,3116,반도체/디스플레이
에스이앤에스(주) ,제조/화학,2.2,3242,반도체/디스플레이
웰킵스하이텍(주) ,제조/화학,2.5,3116,반도체/디스플레이
브릴리언츠(주) ,제조/화학,2.7,3975,반도체/디스플레이
어보브반도체(주) ,제조/화학,2.8,4489,반도체/디스플레이
(주)키파운드리 ,제조/화학,2.7,4714,반도체/디스플레이
지나인제약(주) ,제조/화학,2.3,3343,반도체/디스플레이
(주)삼양옵틱스 ,제조/화학,2.9,4251,반도체/디스플레이
(주)케이에스엠 ,제조/화학,2.8,4016,반도체/디스플레이
퓨렉스(주) ,제조/화학,2.4,3184,반도체/디스플레이
(주)네오비젼 ,제조/화학,2.0,3000,반도체/디스플레이
(주)피타소프트 ,제조/화학,2.5,3917,반도체/디스플레이
(주)티엘아이 ,제조/화학,3.0,4168,반도체/디스플레이
보부하이테크(주) ,제조/화학,2.5,3465,반도체/디스플레이
엠피닉스(주) ,제조/화학,2.8,3294,반도체/디스플레이
(주)넥스트칩 ,제조/화학,2.7,4751,반도체/디스플레이
디에이치(주) ,제조/화학,2.0,4029,반도체/디스플레이
코레노(주) ,제조/화학,2.8,3975,반도체/디스플레이
(주)디라직 ,제조/화학,2.5,3345,반도체/디스플레이
더블유티테크놀로지코리아(주) ,제조/화학,3.1,4570,반도체/디스플레이
산리츠코리아(주) ,제조/화학,3.1,3847,반도체/디스플레이
열림기술(주) ,제조/화학,2.8,3937,반도체/디스플레이
(주)아이컴포넌트 ,제조/화학,2.7,3529,반도체/디스플레이
(주)제이쓰리 ,제조/화학,1.5,3391,반도체/디스플레이
코스텔(주) ,제조/화학,1.9,3669,반도체/디스플레이
한국전광(주) ,제조/화학,2.7,3866,반도체/디스플레이
(주)신지모루 ,제조/화학,2.9,3002,반도체/디스플레이
(주)에이디테크놀로지 ,제조/화학,3.2,4533,반도체/디스플레이
