기업이름,분야,평점,연봉,2차산업군
한국전력공사 ,제조/화학,3.9,4176,석유/화학/에너지
(주)LG화학 ,제조/화학,3.5,5158,석유/화학/에너지
(주)아모레퍼시픽 ,제조/화학,3.5,5236,석유/화학/에너지
(주)케이씨씨 ,제조/화학,2.6,4689,석유/화학/에너지
(주)엘지생활건강 ,제조/화학,3.2,5117,석유/화학/에너지
한국수력원자력(주) ,제조/화학,4.0,5529,석유/화학/에너지
한국콜마(주) ,제조/화학,2.6,4219,석유/화학/에너지
삼성엔지니어링(주) ,제조/화학,3.2,6135,석유/화학/에너지
한국수자원공사 ,제조/화학,3.5,4072,석유/화학/에너지
코스맥스(주) ,제조/화학,2.7,4286,석유/화학/에너지
금호타이어(주) ,제조/화학,2.8,4599,석유/화학/에너지
한국에스지에스(주) ,제조/화학,3.0,3534,석유/화학/에너지
(주)에이블씨엔씨 ,제조/화학,2.5,4367,석유/화학/에너지
(주)엘엑스하우시스 ,제조/화학,3.2,5107,석유/화학/에너지
(주)한화 ,제조/화학,3.0,5239,석유/화학/에너지
(주)동진쎄미켐 ,제조/화학,2.2,4295,석유/화학/에너지
동우화인켐(주) ,제조/화학,3.4,4808,석유/화학/에너지
한화큐셀앤드첨단소재(주) 큐셀부문 ,제조/화학,2.7,4005,석유/화학/에너지
롯데케미칼(주) ,제조/화학,3.0,5216,석유/화학/에너지
한전산업개발(주) ,제조/화학,3.0,4329,석유/화학/에너지
한국인터텍테스팅서비스(주) ,제조/화학,1.9,3125,석유/화학/에너지
(재)한국화학융합시험연구원 ,제조/화학,3.1,4443,석유/화학/에너지
한국가스안전공사 ,제조/화학,4.0,4298,석유/화학/에너지
메디앙스(주) ,제조/화학,1.9,3593,석유/화학/에너지
한국타이어(주) ,제조/화학,2.9,5277,석유/화학/에너지
(주)이엔에프테크놀로지 ,제조/화학,2.3,3620,석유/화학/에너지
한국가스공사 ,제조/화학,4.2,4897,석유/화학/에너지
오씨아이홀딩스(주) ,제조/화학,3.1,4938,석유/화학/에너지
넥센타이어(주) ,제조/화학,2.7,5000,석유/화학/에너지
(주)락앤락 ,제조/화학,2.7,4309,석유/화학/에너지
한국전력기술(주) ,제조/화학,4.0,4455,석유/화학/에너지
(사)코티티시험연구원 ,제조/화학,2.1,3704,석유/화학/에너지
(재)한국건설생활환경시험연구원 ,제조/화학,3.4,4690,석유/화학/에너지
국도화학(주) ,제조/화학,2.4,4459,석유/화학/에너지
더블유스코프코리아(주) ,제조/화학,2.6,3972,석유/화학/에너지
(주)토니모리 ,제조/화학,2.3,3973,석유/화학/에너지
(주)에이피알 ,제조/화학,2.7,3544,석유/화학/에너지
한국니토옵티칼(주) ,제조/화학,2.9,4221,석유/화학/에너지
에스케이이노베이션(주) ,제조/화학,4.0,5749,석유/화학/에너지
솔브레인홀딩스(주) ,제조/화학,2.9,4180,석유/화학/에너지
(주)포스코디엑스 ,제조/화학,3.0,4705,석유/화학/에너지
한국남부발전(주) ,제조/화학,4.1,4759,석유/화학/에너지
(주)디섹 ,제조/화학,2.3,3860,석유/화학/에너지
도레이첨단소재(주) ,제조/화학,3.1,4977,석유/화학/에너지
한국남동발전(주) ,제조/화학,4.3,5043,석유/화학/에너지
삼화페인트공업(주) ,제조/화학,2.7,4589,석유/화학/에너지
클리오(주) ,제조/화학,3.0,4055,석유/화학/에너지
한국미우라공업(주) ,제조/화학,2.0,3745,석유/화학/에너지
(주)대현에스티 ,제조/화학,1.9,3925,석유/화학/에너지
한국중부발전(주) ,제조/화학,4.3,4493,석유/화학/에너지
한국지역난방공사 ,제조/화학,4.0,4557,석유/화학/에너지
한화솔루션(주) ,제조/화학,3.3,5699,석유/화학/에너지
한국서부발전(주) ,제조/화학,4.1,4731,석유/화학/에너지
에이치디현대오일뱅크(주) ,제조/화학,3.2,5574,석유/화학/에너지
(주)연우 ,제조/화학,2.5,3600,석유/화학/에너지
아미코스메틱(주) ,제조/화학,2.0,3650,석유/화학/에너지
(주)디에스단석 ,제조/화학,2.1,3978,석유/화학/에너지
