기업이름,분야,평점,연봉,2차산업군
에이치디현대중공업(주) ,제조/화학,2.9,4970,조선/항공/우주
삼성중공업(주) ,제조/화학,2.8,4892,조선/항공/우주
한화오션(주) ,제조/화학,3.1,4746,조선/항공/우주
한국항공우주산업(주) ,제조/화학,3.7,5789,조선/항공/우주
(주)케이조선 ,제조/화학,2.7,4206,조선/항공/우주
성동조선해양(주) ,제조/화학,2.9,4323,조선/항공/우주
(주)아스트 ,제조/화학,1.9,3666,조선/항공/우주
쏘테크(주) ,제조/화학,2.1,3688,조선/항공/우주
(주)현대미포조선 ,제조/화학,3.2,5004,조선/항공/우주
하이즈항공(주) ,제조/화학,2.2,3106,조선/항공/우주
(주)세진중공업 ,제조/화학,2.4,4079,조선/항공/우주
현대삼호중공업(주) ,제조/화학,3.0,5298,조선/항공/우주
(주)파나시아 ,제조/화학,3.0,3696,조선/항공/우주
(주)에이스브이 ,제조/화학,2.3,3688,조선/항공/우주
(주)동성화인텍 ,제조/화학,2.8,3916,조선/항공/우주
에스피피조선(주) ,제조/화학,2.9,4137,조선/항공/우주
칸(주) ,제조/화학,2.5,3763,조선/항공/우주
티엔오디앤씨(주) ,제조/화학,2.5,4003,조선/항공/우주
(주)쎄트렉아이 ,제조/화학,3.9,5800,조선/항공/우주
한라아이엠에스(주) ,제조/화학,2.8,3403,조선/항공/우주
켄코아에어로스페이스(주) ,제조/화학,2.1,3353,조선/항공/우주
대양전기공업(주) ,제조/화학,3.1,4038,조선/항공/우주
대한조선(주) ,제조/화학,2.6,4322,조선/항공/우주
도담시스템스(주) ,제조/화학,2.5,4108,조선/항공/우주
유콘시스템(주) ,제조/화학,2.4,3686,조선/항공/우주
하나아이티엠(주) ,제조/화학,2.0,3319,조선/항공/우주
금용기계(주) ,제조/화학,2.8,3771,조선/항공/우주
(주)비츠로넥스텍 ,제조/화학,2.7,4327,조선/항공/우주
대화항공산업(주) ,제조/화학,1.9,2972,조선/항공/우주
에이치엘비(주) ,제조/화학,2.5,3422,조선/항공/우주
마르센(주) ,제조/화학,1.8,2921,조선/항공/우주
삼영기계(주) ,제조/화학,2.6,3442,조선/항공/우주
오리엔탈정공(주) ,제조/화학,2.8,3578,조선/항공/우주
세진기술산업 ,제조/화학,2.7,3505,조선/항공/우주
대명엔지니어링(주) ,제조/화학,2.0,3191,조선/항공/우주
종합해사(주) ,제조/화학,2.5,2927,조선/항공/우주
(유)프라이그파이스트 ,제조/화학,2.5,3858,조선/항공/우주
케이에스비세일(주) ,제조/화학,3.4,3693,조선/항공/우주
오리온테크놀리지(주) ,제조/화학,3.2,3648,조선/항공/우주
한국복합소재(주) ,제조/화학,1.8,2770,조선/항공/우주
(주)아이엠티 ,제조/화학,2.7,4204,조선/항공/우주
(주)이노스페이스 ,제조/화학,3.5,3629,조선/항공/우주
(주)우남마린 ,제조/화학,1.6,3668,조선/항공/우주
세우항공(주) ,제조/화학,1.5,3291,조선/항공/우주
(주)나라스페이스테크놀로지 ,제조/화학,4.7,4910,조선/항공/우주
루미르(주) ,제조/화학,1.4,4532,조선/항공/우주
(주)니어스랩 ,제조/화학,3.1,4886,조선/항공/우주
